Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	R1	R2
SRX063252	2011-05-16 14:22:03	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer II	SRR208051	SRP006795	PRJNA140271	140271	SRS193209	SAMN00618967	SRA036837	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	73360	GSE29264	GSM723311	21612627	618967	PCC 7942																	
SRX063253	2011-05-16 14:25:03	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer II	SRR208052	SRP006795	PRJNA140271	140271	SRS193210	SAMN00618968	SRA036837	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	73361	GSE29264	GSM723312	21612627	618968	PCC 7942																	
SRX063254	2011-05-16 14:26:04	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer II	SRR208053	SRP006795	PRJNA140271	140271	SRS193211	SAMN00618969	SRA036837	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	73362	GSE29264	GSM723313	21612627	618969	PCC 7942																	
SRX1652180	2017-03-22 00:00:06	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx	SRR3283347	SRP072154	PRJNA315938	315938	SRS1353666	SAMN04571940	SRA391063	RNA-Seq	other	TRANSCRIPTOMIC		KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY	0	0	2370879				4571940	PCC 7942																	
SRX1655390	2017-03-22 00:00:10	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx	SRR3283835	SRP072154	PRJNA315938	315938	SRS1353666	SAMN04571940	SRA391063	RNA-Seq	other	TRANSCRIPTOMIC		KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY	0	0	2374089				4571940	PCC 7942																	
SRX1655391	2017-03-22 00:00:10	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx	SRR3283837	SRP072154	PRJNA315938	315938	SRS1353666	SAMN04571940	SRA391063	RNA-Seq	other	TRANSCRIPTOMIC		KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY	0	0	2374090				4571940	PCC 7942																	
SRX1655392	2017-03-22 00:00:10	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx	SRR3283838	SRP072154	PRJNA315938	315938	SRS1353666	SAMN04571940	SRA391063	RNA-Seq	other	TRANSCRIPTOMIC		KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY	0	0	2374091				4571940	PCC 7942																	
SRX1655393	2017-03-22 00:00:10	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx	SRR3283839	SRP072154	PRJNA315938	315938	SRS1353666	SAMN04571940	SRA391063	RNA-Seq	other	TRANSCRIPTOMIC		KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY	0	0	2374092				4571940	PCC 7942																	
SRX1655394	2017-03-22 00:00:10	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	PAIRED	ILLUMINA	Illumina Genome Analyzer IIx	SRR3283840	SRP072154	PRJNA315938	315938	SRS1353666	SAMN04571940	SRA391063	RNA-Seq	other	TRANSCRIPTOMIC		KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY	0	0	2374093				4571940	PCC 7942																	
SRX2356912	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031863	SRP093663	PRJNA354335	354335	SRS1805772	SAMN06033584	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439800	GSE89999	GSM2395359	28430105	6033584		"""clock rescue"""																
SRX2356913	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031864	SRP093663	PRJNA354335	354335	SRS1805773	SAMN06033583	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439801	GSE89999	GSM2395360	28430105	6033583		"""clock rescue"""																
SRX2356914	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031865	SRP093663	PRJNA354335	354335	SRS1805774	SAMN06033606	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439802	GSE89999	GSM2395361	28430105	6033606		"""clock rescue"""																
SRX2356915	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031866	SRP093663	PRJNA354335	354335	SRS1805775	SAMN06033605	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439803	GSE89999	GSM2395362	28430105	6033605		"""clock rescue"""																
SRX2356916	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031867	SRP093663	PRJNA354335	354335	SRS1805776	SAMN06033604	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439804	GSE89999	GSM2395363	28430105	6033604		"""clock rescue"""																
SRX2356917	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031868	SRP093663	PRJNA354335	354335	SRS1805777	SAMN06033603	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439805	GSE89999	GSM2395364	28430105	6033603		"""clock rescue"""																
SRX2356918	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031869	SRP093663	PRJNA354335	354335	SRS1805778	SAMN06033602	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439806	GSE89999	GSM2395365	28430105	6033602		"""clock rescue"""																
SRX2356919	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031870	SRP093663	PRJNA354335	354335	SRS1805779	SAMN06033601	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439807	GSE89999	GSM2395366	28430105	6033601		"""clock rescue"""																
SRX2356920	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031871	SRP093663	PRJNA354335	354335	SRS1805780	SAMN06033600	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439808	GSE89999	GSM2395367	28430105	6033600		"""clock rescue"""																
SRX2356921	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031872	SRP093663	PRJNA354335	354335	SRS1805781	SAMN06033599	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439809	GSE89999	GSM2395368	28430105	6033599		"""clock rescue"""																
SRX2356922	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031873	SRP093663	PRJNA354335	354335	SRS1805782	SAMN06033598	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439810	GSE89999	GSM2395369	28430105	6033598		"""clock rescue"""																
SRX2356923	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031874	SRP093663	PRJNA354335	354335	SRS1805783	SAMN06033597	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439811	GSE89999	GSM2395370	28430105	6033597		"""clock rescue"""																
SRX2356924	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031875	SRP093663	PRJNA354335	354335	SRS1805784	SAMN06033596	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439812	GSE89999	GSM2395371	28430105	6033596		"rpaA- ""clock rescue"""																
SRX2356925	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031876	SRP093663	PRJNA354335	354335	SRS1805785	SAMN06033595	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439813	GSE89999	GSM2395372	28430105	6033595		"rpaA- ""clock rescue"""																
SRX2356926	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031877	SRP093663	PRJNA354335	354335	SRS1805786	SAMN06033594	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439814	GSE89999	GSM2395373	28430105	6033594		"rpaA- ""clock rescue"""																
SRX2356927	2017-02-15 16:19:00	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031878	SRP093663	PRJNA354335	354335	SRS1805787	SAMN06033593	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439815	GSE89999	GSM2395374	28430105	6033593		"rpaA- ""clock rescue"""																
SRX2356928	2017-02-15 16:19:01	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031879	SRP093663	PRJNA354335	354335	SRS1805788	SAMN06033592	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439816	GSE89999	GSM2395375	28430105	6033592		"rpaA- ""clock rescue"""																
