	mRNA-sense	mRNA-antisense	rRNA-sense	rRNA-antisense	tRNA-sense	tRNA-antisense	ncRNA-sense	ncRNA-antisense	unannotated	total-reads	unaligned	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX063252	634029.0	1032.0	5303084.0	0.0	5555612.0	0.0	0.0	0.0	1149919.0	15165120.0	2521444.0	SRX063252_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15165120.0	0.0	20-32	49.0	12.5974664086696	30.981743962461227	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	15369396	14035849	15369396	491820672	5943905	471492793	4.1331892206434135	0.92	0.0796	0.0004		
SRX063253	811064.0	162911.0	6943511.0	0.0	5813172.0	0.0	0.0	0.0	2438947.0	20226226.0	4056621.0	SRX063253_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20226226.0	0.0	20-42	38.0	14.144605938537467	40.764229767827175	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	20441541	20032337	20441541	858544722	11817199	826671169	3.7125093408937175	0.9649	0.0351	0.0		
SRX063254	808945.0	162514.0	6926480.0	0.0	5798914.0	0.0	0.0	0.0	2433134.0	20172997.0	4043010.0	SRX063254_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20172997.0	0.0	20-42	38.0	13.866865083237176	40.77559462285153	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	20384186	20000597	20384186	856135812	11398963	824716283	3.669923458358964	0.9219	0.0781	0.0		
SRX1652180																																25392105	7317935	25392105	1269605250	7829230	1250586396	1.4980131816562667					
SRX1655390																																35708317	8406479	35708317	35708317	1465170	25836668	27.645237382652336					
SRX1655391																																30000000	8842853	30000000	1500000000	7986071	1478980750	1.4012833333333334					
SRX1655392																																30000000	6565823	30000000	30000000	1402144	22032033	26.559890000000006					
SRX1655393																																27491888	8134954	27491888	1374594400	8343048	1353542862	1.5314727020566938					
SRX1655394																																34007799	7745618	34007799	34007799	1476015	24786166	27.116230015356184					
SRX2356912	808070.0	1863.0	8912803.0	0.0	0.0	0.0	0.0	0.0	303460.0	10296549.0	270353.0	SRX2356912_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10296549.0	0.0	20-50	55.0	4.970643741504315	49.54894023230502	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	10298512	2239647	10298512	514925600	1679896	510200575	0.9176131464429036	0.0305	0.9673	0.0022		
SRX2356913	516757.0	1343.0	7726002.0	0.0	0.0	0.0	0.0	0.0	258225.0	8723592.0	221265.0	SRX2356913_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8723592.0	0.0	20-50	55.0	4.292737996316164	49.5305285941846	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8726787	1886495	8726787	436339350	1415078	432101274	0.9712798077918025	0.0304	0.9670000000000001	0.0026		
SRX2356914	586239.0	2680.0	8750739.0	0.0	0.0	0.0	0.0	0.0	293338.0	9920031.0	287035.0	SRX2356914_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9920031.0	0.0	20-50	55.0	4.2822872348861365	49.53872442535714	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9922316	2125687	9922316	496115800	1559706	491444906	0.9414926918271904	0.0304	0.9667	0.0029		
SRX2356915	574169.0	3066.0	10376408.0	0.0	0.0	0.0	0.0	0.0	344307.0	11636035.0	338085.0	SRX2356915_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11636035.0	0.0	20-50	54.0	3.6136311569804733	49.56440187744365	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11638212	2444040	11638212	581910600	1853519	576754529	0.8860589581973588	0.0417	0.9551	0.0033		
SRX2356916	335194.0	1315.0	7600427.0	0.0	0.0	0.0	0.0	0.0	332756.0	8490206.0	220514.0	SRX2356916_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8490206.0	0.0	20-50	54.0	3.672063894024132	49.53677837734444	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8493090	1817167	8493090	424654500	1351128	420593304	0.9563529881350604	0.0486	0.9474	0.004		
SRX2356917	321131.0	1024.0	9626623.0	0.0	0.0	0.0	0.0	0.0	636391.0	10897421.0	312252.0	SRX2356917_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10897421.0	0.0	20-50	54.0	3.3249975168888266	49.54891914334594	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	10900565	2343140	10900565	545028250	1759553	539975549	0.927053047250303	0.0456	0.9515	0.003		
SRX2356918	205168.0	869.0	9101549.0	0.0	0.0	0.0	0.0	0.0	709321.0	10417045.0	400138.0	SRX2356918_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10417045.0	0.0	20-50	54.0	3.1159219346805958	49.52756938268003	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	10419250	2310798	10419250	520962500	1660139	515949972	0.9621667586438564	0.063	0.9361	0.0009		
SRX2356919	363109.0	1902.0	16106349.0	0.0	0.0	0.0	0.0	0.0	1434671.0	18379529.0	473498.0	SRX2356919_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18379529.0	0.0	20-50	54.0	2.6457631557282784	49.56447969912613	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	18382592	3990385	18382592	919129600	2859581	911002241	0.8842451597685463	0.0548	0.9386	0.0066		
SRX2356920	263795.0	1155.0	11336668.0	0.0	0.0	0.0	0.0	0.0	1435127.0	13539891.0	503146.0	SRX2356920_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13539891.0	0.0	20-50	54.0	3.319095501049423	49.525583551595794	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	13544128	3172770	13544128	677206400	2100382	670592078	0.9767069537440874	0.0761	0.9175	0.0064		
