,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_sample,post_induction_time,replicate_id,strain_description,base_media,carbon_source,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,pH,growth_phase,entraintment_cycles,entraintment_period_per_cycle,OD_wavelength,OD,light_condition,light_intensity ,submission,publication,notes,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,Unnamed: 62,Unnamed: 63,Unnamed: 64,full_name,passed_similar_replicates
SRX259777,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807396,SRP020509,PRJNA196229,196229,SRS408053,SAMN01999000,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364625,GSE45762,GSM1113860,23919451.0,1999000,PCC 7942,wild type,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,wt_100h,wt_100h,100h,1.0,wild type,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:wt_100h,True
SRX259778,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807397,SRP020509,PRJNA196229,196229,SRS408054,SAMN01999001,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364626,GSE45762,GSM1113861,23919451.0,1999001,PCC 7942,wild type,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,wt_100h,wt_100h,100h,2.0,wild type,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:wt_100h,True
SRX259779,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807398,SRP020509,PRJNA196229,196229,SRS408055,SAMN01999002,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364627,GSE45762,GSM1113862,23919451.0,1999002,PCC 7942,wild type,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,wt_100h,wt_100h,100h,3.0,wild type,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:wt_100h,True
SRX259780,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807399,SRP020509,PRJNA196229,196229,SRS408056,SAMN01999003,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364628,GSE45762,GSM1113863,23919451.0,1999003,PCC 7942,wild type,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,wt_240h,wt_100h,240h,1.0,wild type,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:wt_240h,True
SRX259781,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807400,SRP020509,PRJNA196229,196229,SRS408057,SAMN01999004,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364629,GSE45762,GSM1113864,23919451.0,1999004,PCC 7942,wild type,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,wt_240h,wt_100h,240h,2.0,wild type,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:wt_240h,True
SRX259782,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807401,SRP020509,PRJNA196229,196229,SRS408058,SAMN01999005,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364630,GSE45762,GSM1113865,23919451.0,1999005,PCC 7942,wild type,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,wt_240h,wt_100h,240h,3.0,wild type,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:wt_240h,True
SRX259783,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807402,SRP020509,PRJNA196229,196229,SRS408059,SAMN01999006,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364631,GSE45762,GSM1113866,23919451.0,1999006,SE01,aas-,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_100h,wt_100h,100h,1.0,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_100h,True
SRX259784,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807403,SRP020509,PRJNA196229,196229,SRS408060,SAMN01999007,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364632,GSE45762,GSM1113867,23919451.0,1999007,SE01,aas-,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_100h,wt_100h,100h,2.0,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_100h,True
SRX259785,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807404,SRP020509,PRJNA196229,196229,SRS408061,SAMN01999008,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364633,GSE45762,GSM1113868,23919451.0,1999008,SE01,aas-,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_100h,wt_100h,100h,3.0,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_100h,True
SRX259786,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807405,SRP020509,PRJNA196229,196229,SRS408062,SAMN01999009,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364634,GSE45762,GSM1113869,23919451.0,1999009,SE01,aas-,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_240h,wt_100h,240h,1.0,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_240h,True
