	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX063252	15165120.0	667044.0	4470409.0	5327724.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4663354.0	35795.0	794.0	4.398540862189024	15165120.0	9837396.0	64.87	5327724.0	35.13	SRX063252_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15165120.0	0.0	20-32	49.0	12.5974664086696	30.981743962461227	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	15369396	14035849	15369396	491820672	5943905	471492793	4.1331892206434135	0.3813	0.4958	0.1229		
SRX063253	20226226.0	58955.0	416146.0	19485961.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262981.0	2128.0	55.0	0.2914780048438102	20226226.0	740265.0	3.66	19485961.0	96.34	SRX063253_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20226226.0	0.0	20-42	38.0	14.144605938537467	40.764229767827175	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	20441541	20032337	20441541	858544722	11817199	826671169	3.7125093408937175	0.4291	0.4347	0.1362		
SRX063254	20172997.0	57162.0	402000.0	19457855.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253905.0	2039.0	36.0	0.2833589872640144	20172997.0	715142.0	3.55	19457855.0	96.45	SRX063254_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20172997.0	0.0	20-42	38.0	13.866865083237176	40.77559462285153	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	20384186	20000597	20384186	856135812	11398963	824716283	3.669923458358964	0.4724	0.4	0.1276		
SRX1652180																																											25392105	7317935	25392105	1269605250	7829230	1250586396	1.4980131816562667					
SRX1655390																																											35708317	8406479	35708317	35708317	1465170	25836668	27.645237382652336					
SRX1655391																																											30000000	8842853	30000000	1500000000	7986071	1478980750	1.4012833333333334					
SRX1655392																																											30000000	6565823	30000000	30000000	1402144	22032033	26.559890000000006					
SRX1655393																																											27491888	8134954	27491888	1374594400	8343048	1353542862	1.5314727020566938					
SRX1655394																																											34007799	7745618	34007799	34007799	1476015	24786166	27.116230015356184					
SRX2356912	10296549.0	768309.0	8869417.0	306168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278650.0	73570.0	435.0	7.461810748436201	10296549.0	9990381.0	97.03	306168.0	2.97	SRX2356912_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10296549.0	0.0	20-50	55.0	4.970643741504315	49.54894023230502	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	10298512	2239647	10298512	514925600	1679896	510200575	0.9176131464429036	0.0364	0.726	0.2375		
