,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,project,condition,ref_condition,post_induction_time,replicate_id,sample,strain_description,media,carbon_ml/min,carbon_source,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,pH,growth_phase,entraintment,post_entraintment_condition,OD_wavelength,OD,fluorescent light,light_flux_umol/m2s,light_flux_mol/m2s,light_intensity,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_global_correlation.1,Source,full_name,passed_similar_replicates
SRX359366,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001850,SRP030395,PRJNA221220,221220,SRS487002,SAMN02362680,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508543,2362680,GSE51112,GSM1238982,24315105,EOC113,,clock,wt_24h,wt_24h,ZT 24h,,clock_wt_24h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:wt_24h,False
SRX359367,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001851,SRP030395,PRJNA221220,221220,SRS487001,SAMN02362695,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508544,2362695,GSE51112,GSM1238983,24315105,EOC113,,clock,wt_28h,wt_24h,ZT 28h,,clock_wt_28h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:wt_28h,False
SRX359368,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001852,SRP030395,PRJNA221220,221220,SRS487003,SAMN02362687,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508545,2362687,GSE51112,GSM1238984,24315105,EOC113,,clock,wt_32h,wt_24h,ZT 32h,,clock_wt_32h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:wt_32h,False
SRX359369,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001853,SRP030395,PRJNA221220,221220,SRS487004,SAMN02362681,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508546,2362681,GSE51112,GSM1238985,24315105,EOC113,,clock,wt_36h,wt_24h,ZT 36h,,clock_wt_36h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:wt_36h,False
SRX359370,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001854,SRP030395,PRJNA221220,221220,SRS487005,SAMN02362692,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508547,2362692,GSE51112,GSM1238986,24315105,EOC113,,clock,wt_40h,wt_24h,ZT 40h,,clock_wt_40h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:wt_40h,False
SRX359371,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001855,SRP030395,PRJNA221220,221220,SRS487006,SAMN02362691,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508548,2362691,GSE51112,GSM1238987,24315105,EOC113,,clock,wt_44h,wt_24h,ZT 44h,,clock_wt_44h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:wt_44h,False
SRX359372,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001856,SRP030395,PRJNA221220,221220,SRS487007,SAMN02362683,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508549,2362683,GSE51112,GSM1238988,24315105,EOC346,,clock,kaiBC-_IPTG_00h,wt_24h,0h,,clock_kaiBC-_IPTG_00h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_IPTG_00h,False
SRX359373,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001857,SRP030395,PRJNA221220,221220,SRS487008,SAMN02362697,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508550,2362697,GSE51112,GSM1238989,24315105,EOC346,,clock,kaiBC-_IPTG_0.5h,wt_24h,0.5h,,clock_kaiBC-_IPTG_0.5h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_IPTG_0.5h,False
SRX359374,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001858,SRP030395,PRJNA221220,221220,SRS487009,SAMN02362688,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508551,2362688,GSE51112,GSM1238990,24315105,EOC346,,clock,kaiBC-_IPTG_02h,wt_24h,2h,,clock_kaiBC-_IPTG_02h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_IPTG_02h,False
SRX359375,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001859,SRP030395,PRJNA221220,221220,SRS487010,SAMN02362682,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508552,2362682,GSE51112,GSM1238991,24315105,EOC346,,clock,kaiBC-_IPTG_03h,wt_24h,3h,,clock_kaiBC-_IPTG_03h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_IPTG_03h,False
