,imodulon,gene_ontology,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size
0,RpaB-1,entrainment of circadian clock,8.233502120082749e-07,2.6347206784264798e-05,0.6666666666666666,1.0,0.8,2.0,3.0,2.0
1,RpaB-1,identical protein binding,2.744500706694259e-06,4.3912011307108145e-05,0.4,1.0,0.5714285714285715,2.0,15.0,2.0
2,RpaB-1,protein binding,7.684601978743906e-06,8.196908777326834e-05,0.25,1.0,0.4,2.0,57.0,2.0
3,RpaB-1,negative regulation of circadian rhythm,0.000740740740738064,0.0033862433862311496,1.0,0.5,0.6666666666666666,1.0,2.0,2.0
4,RpaB-1,negative regulation of phosphorylation,0.000740740740738064,0.0033862433862311496,1.0,0.5,0.6666666666666666,1.0,1.0,2.0
5,RpaB-1,regulation of circadian rhythm,0.000740740740738064,0.0033862433862311496,1.0,0.5,0.6666666666666666,1.0,1.0,2.0
6,RpaB-1,regulation of phosphorelay signal transduction system,0.000740740740738064,0.0033862433862311496,1.0,0.5,0.6666666666666666,1.0,1.0,2.0
7,CmpR,bicarbonate transmembrane transporter activity,0.0025925925925930522,0.08296296296297767,1.0,0.14285714285714285,0.25,1.0,1.0,7.0
8,Carboxysome,carboxysome,8.19954277600761e-14,2.6238536883224353e-12,0.6,0.6,0.6,6.0,11.0,10.0
9,Carboxysome,structural constituent of carboxysome,3.3089237040852934e-09,5.2942779265364694e-08,0.5714285714285714,0.4,0.47058823529411764,4.0,9.0,10.0
10,Carboxysome,carbonate dehydratase activity,1.2350253180155545e-05,0.00013173603392165916,1.0,0.2,0.33333333333333337,2.0,2.0,10.0
