,gene_id,database,kegg_id
1440,SYNPCC7942_RS00005,KEGG_pathway,map00230
1441,SYNPCC7942_RS00005,KEGG_pathway,map00240
1442,SYNPCC7942_RS00005,KEGG_pathway,map01100
1443,SYNPCC7942_RS00005,KEGG_pathway,map03030
1444,SYNPCC7942_RS00005,KEGG_pathway,map03430
1445,SYNPCC7942_RS00005,KEGG_pathway,map03440
1450,SYNPCC7942_RS00015,KEGG_pathway,map00230
1451,SYNPCC7942_RS00015,KEGG_pathway,map01100
1452,SYNPCC7942_RS00015,KEGG_pathway,map01110
1453,SYNPCC7942_RS00015,KEGG_pathway,map01130
1459,SYNPCC7942_RS00020,KEGG_pathway,map00230
1460,SYNPCC7942_RS00020,KEGG_pathway,map00250
1461,SYNPCC7942_RS00020,KEGG_pathway,map01100
1462,SYNPCC7942_RS00020,KEGG_pathway,map01110
1463,SYNPCC7942_RS00020,KEGG_pathway,map01130
1471,SYNPCC7942_RS00045,KEGG_pathway,map00220
1472,SYNPCC7942_RS00045,KEGG_pathway,map00250
1473,SYNPCC7942_RS00045,KEGG_pathway,map01100
1474,SYNPCC7942_RS00045,KEGG_pathway,map01110
1475,SYNPCC7942_RS00045,KEGG_pathway,map01130
1476,SYNPCC7942_RS00045,KEGG_pathway,map01230
1477,SYNPCC7942_RS00045,KEGG_pathway,map05418
1479,SYNPCC7942_RS00060,KEGG_pathway,map03010
1485,SYNPCC7942_RS00090,KEGG_pathway,map00030
1486,SYNPCC7942_RS00090,KEGG_pathway,map00630
1487,SYNPCC7942_RS00090,KEGG_pathway,map01100
1488,SYNPCC7942_RS00090,KEGG_pathway,map01120
1489,SYNPCC7942_RS00090,KEGG_pathway,map01200
1491,SYNPCC7942_RS00095,KEGG_pathway,map00970
1495,SYNPCC7942_RS00100,KEGG_pathway,map00920
1496,SYNPCC7942_RS00100,KEGG_pathway,map01100
1497,SYNPCC7942_RS00100,KEGG_pathway,map01120
1500,SYNPCC7942_RS00110,KEGG_pathway,map00860
1501,SYNPCC7942_RS00110,KEGG_pathway,map01100
1504,SYNPCC7942_RS00140,KEGG_pathway,map00780
1505,SYNPCC7942_RS00140,KEGG_pathway,map01100
1508,SYNPCC7942_RS00145,KEGG_pathway,map00780
1509,SYNPCC7942_RS00145,KEGG_pathway,map01100
1512,SYNPCC7942_RS00150,KEGG_pathway,map00780
1513,SYNPCC7942_RS00150,KEGG_pathway,map01100
1516,SYNPCC7942_RS00155,KEGG_pathway,map00780
1517,SYNPCC7942_RS00155,KEGG_pathway,map01100
1520,SYNPCC7942_RS00160,KEGG_pathway,map00780
1521,SYNPCC7942_RS00160,KEGG_pathway,map01100
1529,SYNPCC7942_RS00195,KEGG_pathway,map00030
1530,SYNPCC7942_RS00195,KEGG_pathway,map00480
1531,SYNPCC7942_RS00195,KEGG_pathway,map01100
1532,SYNPCC7942_RS00195,KEGG_pathway,map01110
1533,SYNPCC7942_RS00195,KEGG_pathway,map01120
1534,SYNPCC7942_RS00195,KEGG_pathway,map01130
1535,SYNPCC7942_RS00195,KEGG_pathway,map01200
1538,SYNPCC7942_RS00200,KEGG_pathway,map00790
1539,SYNPCC7942_RS00200,KEGG_pathway,map01100
1541,SYNPCC7942_RS00210,KEGG_pathway,map03010
1543,SYNPCC7942_RS00240,KEGG_pathway,map02020
1545,SYNPCC7942_RS00245,KEGG_pathway,map02020
1547,SYNPCC7942_RS00280,KEGG_pathway,map00520
1551,SYNPCC7942_RS00290,KEGG_pathway,map00521
1552,SYNPCC7942_RS00290,KEGG_pathway,map00523
1553,SYNPCC7942_RS00290,KEGG_pathway,map01130
1555,SYNPCC7942_RS00305,KEGG_pathway,map00520
1559,SYNPCC7942_RS00310,KEGG_pathway,map00500
