iModulon Name,color,Function
SphR,green,metabolism
IdiB,blue,stress
RpaB,red,circadian
CmpR,green,metabolism
PhoSig,gold,signaling
Phage_related,blue,stress
CysR,green,metabolism
CatTnprt,green,metabolism
Translation,green,metabolism
Biofilm,green,metabolism
NtcA-1,blue,stress
RpaA/RpaB,red,circadian
DNA-repair-related,black,unknown
NatComp,green,metabolism
STR,gold,signaling
HSR,blue,stress
NatComp-related,black,unknown
U_1,black,unknown
Carboxysome,green,metabolism
U_2,black,unknown
PS,red,circadian
U_3,black,unknown
DNA_repair,blue,stress
OxiTol,blue,stress
U_4,black,unknown
U_5,black,unknown
U_6,black,unknown
Cytc,green,metabolism
ciTransport,green,metabolism
Fur,blue,stress
NtcA-2,green,metabolism
U_7,black,unknown
U_8,black,unknown
U_9,black,unknown
U_10,black,unknown
U_11,black,unknown
U_12,black,unknown
U_13,black,unknown
U_14,black,unknown
NtcA-3,black,unknown
NtcA-4,black,unknown
U_15,black,unknown
U_16,black,unknown
