,SRX3159653,SRX3159654,SRX3159655,SRX3159656,SRX3176780,SRX3176781,SRX3176782,SRX3176783,SRX3176784,SRX3176785,SRX3176786,SRX3176787,SRX3176788,SRX3176798,SRX3176799,SRX3176800,SRX3176801,SRX3176802,SRX3176803,SRX3176804,SRX3176805,SRX3176806,SRX3159657,SRX3159658,SRX3159659,SRX3159660,SRX3176789,SRX3176790,SRX3176791,SRX3176792,SRX3176793,SRX3176794,SRX3176795,SRX3176796,SRX3176797,SRX3176807,SRX3176808,SRX3176809,SRX3176810,SRX3176811,SRX3176812,SRX3176813,SRX3176814,SRX3176815
Phosphate-starvation,-0.30170281344276595,0.3017028134427658,0.01324613360571527,0.6145951952312381,1.9534076318009288,-0.3362073404168959,-2.1896465082532544,-2.532547194446311,-1.430553716541319,0.48747187941255005,2.1784939921882076,-1.718444552982657,-2.5372989676274917,10.920470996445838,7.178670840885028,4.678048654267384,1.7515534039423009,2.54776140530292,2.9747409370612656,2.468755196743195,-1.3890756584597996,-2.4098551530906946,-2.797914504973489,-2.3487552949795423,-3.923476132492663,-3.8585665680367414,-6.345180087504483,-8.105161641564662,-5.743808433098965,-3.7167901308029174,-0.8577300281667883,0.0741952839884959,2.326736967137521,3.7257187511604366,16.56389690487981,-5.857294853032333,-6.181234066993134,-5.596730990433033,-5.253676016535987,13.344906665448137,12.924917551985708,14.809280486277537,16.07684128298045,17.727107578311415
IdiB,0.2347403413075907,-0.2347403413075927,-2.017330997203647,-2.3946097818771315,4.147853562741232,4.631774071416115,4.322779063917386,3.2972397719498487,2.479897496016096,1.7331344619178612,1.1801649943189816,-0.2195909773102957,-0.5382310694477099,-1.3766249222602216,1.7479726372308884,1.0998618741770891,1.6123367958841814,1.7327665552438454,2.5217803738341793,1.7798838480706427,-0.2475932292181281,2.3090470557587874,-4.252031995295753,-4.702333736165861,-4.370778955990182,-4.142437518731942,-3.0174748205171413,-3.46272919458889,-1.923856497888297,-2.8158934651373535,-2.6229158256752694,-2.8291493452723397,-2.5951615893152136,-2.623638924569625,6.075001562924591,-5.959659661296268,-5.232037813006048,-5.11122352415028,-4.668456663887712,6.381246653175218,7.298763368430024,6.891483751594279,7.576492436376018,7.9633930924126926
RpaB,-0.04225919410340502,0.042259194103405104,0.18018153775014029,-0.043696346517828444,0.5186821519231702,-0.9253266710967917,-0.39071892750030335,-0.29971406204543,-1.7186239258505154,-2.8954269854068695,-4.144280435908573,-3.887641014434586,-3.7278562963934183,2.4571384414866952,0.4940012412314987,0.03111700476552348,-1.6425598742493837,-3.054164801466936,-4.2139684416519305,-4.717703310049876,-4.879191553921201,-6.094102862184603,4.049478800938675,3.5713653739713904,2.455397224457217,1.7423026416704073,3.244230162074607,3.774267309021362,3.0331195121421106,2.0946460025581017,0.24549747057582322,-2.471809485501942,-4.123635141679408,-5.008028563731713,-8.839276015049755,5.574733508763722,6.048652164935006,5.738748519399149,3.477078838130987,-3.767123886349061,-4.616338425494203,-4.973279888248836,-6.044027589736975,-1.6446261515912046
CmpR,0.3734504003042298,-0.37345040030422955,1.3982978940094128,-1.0092323984327853,6.636905893720217,6.328309794561196,1.7940119536702746,-0.5567599040228611,-5.382358029890226,-6.807521165202492,-8.288906212317496,-12.634478756684587,-11.301925888167611,5.288411761408849,4.87524943283776,3.133576697707689,-2.075714491622667,-6.5878645257933055,-5.961657118730413,-5.821633155209616,-9.78928102563295,-7.760318580414891,-0.9862591970589331,0.04158259146127122,-1.6505967807197277,-1.057255272924531,6.547032514251156,7.720375747629485,5.675219233931231,1.0153022294593876,-3.7992562436359005,-5.860737684376229,-5.307711941374078,-4.632310563006207,2.056590740061057,-6.680425957599238,-5.834329985052051,-6.475436885934337,-8.957586103068085,-1.9202519974688754,0.30938175361013864,0.8910998692594987,-1.005871865070097,3.389405483564038
Phototaxis signaling,0.019418540064456737,-0.01941854006445665,0.7632108707072152,0.34242219168286125,0.25543793276133253,-1.7092476180773153,-9.606207687205782,-13.13665326781535,-13.005352304902843,-10.599556087782693,-9.883528454252437,-12.49648827070114,-12.681745203174453,2.1759175952501377,-1.950815642285418,-7.536791526583299,-9.774235239302254,-7.261168605936979,-4.914989641327647,-7.482697131699812,-10.263389096856683,-9.784941544473934,1.5372386192277823,1.3937564996622327,-0.5007685576558263,0.43539547488715963,0.9108835575026675,0.14501716918121843,-1.633965641810772,-3.8493797465489785,-4.501053230602631,-4.158376714895708,-3.4620296621745776,-5.659369950490485,3.9375871190328136,2.5183767495632843,-0.8699503600587521,-3.8821030905886666,-8.406671440788214,0.5135103719320046,-0.3145823350992093,-0.044273757505759126,-1.7398810567773673,1.8255584861003036
Phage-related,-0.31703324182260684,0.3170332418226071,1.4029288573465521,1.4625507964286726,0.7017970925054535,2.5067432913086707,2.5310605493256877,2.1691169129553756,3.619240484466367,2.8470228279676624,3.6139761084118622,3.931660260170425,2.951391753267095,1.6525863492780146,2.2870137884717963,3.5906664313631236,3.582406997314177,4.742890466259821,3.1866861967234916,4.096886586231807,1.9309382851520438,2.095121471326893,-7.701877626346508,-6.976647355653657,-5.63082811940045,-6.325055925988391,-4.722588575089518,-3.4124371600534467,-4.046767971335272,-4.446611442668294,-3.8218983029540397,-2.4014064723088593,-0.7862977957168157,0.6632209721090006,7.720820678432032,12.2434816885049,13.150451924307568,13.018387493222493,11.935556274068029,4.22803963579342,4.368354683947574,5.028911141715217,6.372141488043227,4.233269149837849
CysR,-0.10593249599146723,0.10593249599146787,-2.827836422029522,1.0840016046025078,-7.481637901215464,-9.756469986758017,-11.413520810670585,-11.58127706350659,-13.05370261768134,-12.780082410701196,-12.01502836350007,-14.650904440203787,-14.804654857015233,1.118328935464469,-2.518838320787332,-6.926496417396754,-11.381141362353425,-11.670208623791911,-11.095007295856727,-12.005930327392873,-14.31201355816056,-14.412654219121535,-8.292364894052987,-7.527424577241238,-4.96068452464286,-9.956134685575819,-8.448627948079412,-11.336533815096093,-13.218814907973009,-13.487212961003422,-14.416549411672278,-14.113832910219386,-15.077402354832746,-13.741938957868946,-11.553346042999733,-13.541746592407561,-14.44256212403283,-15.886764308257474,-16.50283901967637,-11.897286127292094,-9.967157635072114,-8.692555878616092,-11.61675342643961,-9.42760672678802
Putative/ ion transporting system,-0.07467783658411736,0.07467783658411617,2.0888101109894515,2.246799025858007,0.5367597865830105,2.373250270785383,4.239792976638758,5.802257963016457,6.862244138093429,6.237836650641928,5.437135507526701,1.8428127358187378,1.248339905554567,0.018843505237436223,2.855638487374181,4.174493466001039,5.776160488986603,7.106546672867521,8.391207283913548,4.540231528826692,2.5478469412457785,-0.21880175531242874,-3.2872768091393345,-2.7940529960656764,1.6496264245431196,2.6432618588348946,3.534188839187388,4.308709660011129,4.724518555927949,6.725497301416077,7.698567187520825,6.236572805612151,4.755528933090196,1.231867563648229,3.1616467592394044,6.2404591781715935,7.874472913933484,6.952421783768432,5.6613260781356605,7.90891455249224,6.549430201339289,5.20479388481129,4.760267277877946,3.8137389805492212
Translation machinery,-0.5546759902161535,0.5546759902161524,-4.521788830717092,-2.5118671362996414,-7.2846081511752026,-1.8395758041465173,-2.2126822564568993,-5.658387657651234,-10.728655786473224,-9.73833529716068,-7.8912261065938685,-4.16345502574018,-6.167676414694547,1.5733221138424485,1.8026855075745232,-0.6621588712043105,-9.385517993061029,-13.096490345774253,-13.279048051776124,-12.261250836422967,-7.377314702174047,-9.096669170258368,1.0145527341332494,1.4900484219053098,-0.6685430345006825,1.0238325880350203,4.2012295494139185,6.494616423150156,4.450810170103975,3.2119392479436057,0.6095773127589474,-2.0280173893628684,-3.6723737372028733,-4.049399139204022,-32.81525484069907,4.492988221994882,6.944551833033285,7.015822396538878,1.8534634167282116,-25.81399165029606,-29.15191514872059,-30.14623518136387,-33.630105790415996,-33.65942481898028
Putative/ phosphate-related,-0.035026840596783966,0.03502684059678416,1.6918479489809002,1.940388189991754,1.2042715007772835,1.002235817706309,3.106294148194775,5.3247540485182325,7.729307557705666,8.693996350767454,6.7135324820261575,5.842065870774708,7.65767993236771,2.040276386488614,1.9185644431338884,4.683367488451198,6.629828087563725,7.7060457588804585,6.604345219484131,5.632582081014934,4.5038273681159,5.952131508383414,0.6239722320424997,0.3603084402798413,0.830798242697151,-0.3053531334651601,0.797558213628158,1.195566258707639,1.7321080646464229,1.0295548492205708,2.9553124101416075,3.8538930970916248,2.565769353606366,2.116823619034205,7.184244561466474,1.5398106378904153,1.850129189450604,3.1098017862653022,4.627747274408741,5.318786799191229,6.4961411668894655,8.368524513990659,4.2662504059384005,4.925987953107852
