,0
HKK26_RS00005,anL01
HKK26_RS00010,anL02
HKK26_RS00015,anL05
HKK26_RS00020,anL06
HKK26_RS00025,
HKK26_RS00030,anL11
HKK26_RS00035,anL12
HKK26_RS00040,anL15
HKK26_RS00045,anL15.5
HKK26_RS00050,anL16
HKK26_RS00055,anL18
HKK26_RS00060,anL19
HKK26_RS00065,anL21
HKK26_RS00070,anL22
HKK26_RS00075,anL23
HKK26_RS00080,anL24
HKK26_RS00085,anL25
HKK26_RS00090,anL28
HKK26_RS00095,anL29
HKK26_RS00100,anL29.5
HKK26_RS00105,anL30
HKK26_RS00110,anL31
HKK26_RS00115,anL32
HKK26_RS00120,anL33
HKK26_RS00125,anL34
HKK26_RS00130,anL35
HKK26_RS00135,anL36
HKK26_RS00140,anL38
HKK26_RS00145,anL39
HKK26_RS00150,anL40
HKK26_RS00155,anL42
HKK26_RS00160,anL43
HKK26_RS00165,anL44
HKK26_RS00170,anL45
HKK26_RS00175,anL46
HKK26_RS00180,anL47
HKK26_RS00185,anL48
HKK26_RS00190,anL49
HKK26_RS00195,anL50
HKK26_RS00200,anL51
HKK26_RS00205,anL52
HKK26_RS00210,anL53
HKK26_RS00215,anL54
HKK26_RS00220,anL55
HKK26_RS00225,anL56
HKK26_RS00230,anL56.5
HKK26_RS00235,anL58
HKK26_RS00240,anL59
SYNPCC7942_RS00005,Synpcc7942_0001
SYNPCC7942_RS00010,Synpcc7942_0002
SYNPCC7942_RS00015,Synpcc7942_0003
SYNPCC7942_RS00020,Synpcc7942_0004
SYNPCC7942_RS00025,Synpcc7942_0005
SYNPCC7942_RS00030,Synpcc7942_0006
SYNPCC7942_RS00035,Synpcc7942_0007
SYNPCC7942_RS00040,Synpcc7942_0008
SYNPCC7942_RS00045,Synpcc7942_0009
SYNPCC7942_RS00050,Synpcc7942_0010
SYNPCC7942_RS00055,Synpcc7942_0011
SYNPCC7942_RS00060,Synpcc7942_0012
SYNPCC7942_RS00065,Synpcc7942_0013
SYNPCC7942_RS00070,Synpcc7942_0014
SYNPCC7942_RS00075,Synpcc7942_0015
SYNPCC7942_RS00080,
SYNPCC7942_RS00085,Synpcc7942_0016
SYNPCC7942_RS00090,Synpcc7942_0017
SYNPCC7942_RS00095,Synpcc7942_0018
SYNPCC7942_RS00100,Synpcc7942_0019
SYNPCC7942_RS00105,Synpcc7942_0020
SYNPCC7942_RS00110,Synpcc7942_0021
SYNPCC7942_RS00115,Synpcc7942_0022
SYNPCC7942_RS00120,Synpcc7942_0023
SYNPCC7942_RS00125,Synpcc7942_0024
SYNPCC7942_RS00130,
SYNPCC7942_RS00135,Synpcc7942_0026
SYNPCC7942_RS00140,Synpcc7942_0027
SYNPCC7942_RS00145,Synpcc7942_0028
SYNPCC7942_RS00150,Synpcc7942_0029
SYNPCC7942_RS00155,Synpcc7942_0030
SYNPCC7942_RS00160,Synpcc7942_0031
SYNPCC7942_RS00165,Synpcc7942_0032
SYNPCC7942_RS13645,Synpcc7942_0033
SYNPCC7942_RS00170,
SYNPCC7942_RS00175,Synpcc7942_0035
SYNPCC7942_RS00180,
SYNPCC7942_RS00185,Synpcc7942_0037
SYNPCC7942_RS00190,Synpcc7942_0038
SYNPCC7942_RS00195,Synpcc7942_0039
SYNPCC7942_RS00200,Synpcc7942_0040
SYNPCC7942_RS00205,Synpcc7942_0041
SYNPCC7942_RS00210,Synpcc7942_0042
SYNPCC7942_RS00215,Synpcc7942_0043
