,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,n_regs,Function,Category,single_gene
YieP,,,,,,,,11,1,Unknown,Regulator Discovery,
GlpR,glpR,0.0,,1.0,1.0,4.0,9.0,9,1,Glycerol catabolism,Carbon Source Utilization,
YgbI,,,,,,,,9,1,Unknown Function,Regulator Discovery,
efeU-repair,,,,,,,,8,0,Accounts for repair and expression of efeU operon,Genomic Alterations,
ydcI-KO,,,,,,,,3,0,Accounts for ydcI knock-out,Genomic Alterations,1.0
BW25113,,,,,,,,17,0,Transcriptional difference between BW25113 and MG1655,Genomic Alterations,
proVWX,,,,,,,,4,0,Glycine betaine transport,Biological Enrichment,
DhaR/Mlc,dhaR/mlc,3.57e-19,,0.7272727273,0.5714285714,6.25,8.0,11,2,Dihydroxyacetone kinase and phosphotransferase systems,Carbon Source Utilization,
ArgR,argR,6.030000000000001e-18,,0.9230769231,0.09836065570000001,22.5,12.0,13,1,Arginine biosynthesis,Amino Acid and Nucleotide Biosynthesis,
YneJ,,,,,,,,5,1,Unknown Function,Regulator Discovery,
NarL,narL,1.3799999999999998e-40,,0.9310344828,0.2288135593,10.8888888889,27.0,29,1,Nitrate respiration,Energy Metabolism,
e14-deletion,,,,,,,,11,0,Removal of e14 prophage,Genomic Alterations,
MalT,malT,2.93e-22,,0.8888888889000001,0.8,4.75,8.0,9,1,Maltose catabolism,Carbon Source Utilization,
OxyR,oxyR,2.28e-16,,1.0,0.17021276600000002,13.75,8.0,8,1,Peroxide reductases,Stress Response,
Crp-2,crp,0.0,,0.7000000000000001,0.0477001704,44.7857142857,28.0,40,1,Various carbon source catabolism,Carbon Source Utilization,
AtoC,atoC,0.0,,0.6666666667000001,1.0,5.0,4.0,6,1,Acetoacetate degradation,Miscellaneous Metabolism,
PurR-1,purR,1.5500000000000002e-25,,0.8125,0.3611111111,8.0,13.0,16,1,Purine Biosynthesis,Amino Acid and Nucleotide Biosynthesis,
yheO-KO,,,,,,,,16,0,Accounts for yheO knock-out,Genomic Alterations,
CsqR,csqR,0.0,,0.5,1.0,6.0,5.0,10,1,Sulfoquinovose catabolism,Miscellaneous Metabolism,
MetJ,metJ,2.0099999999999998e-25,,0.6470588235,0.7333333333000001,5.8181818182,11.0,17,1,Methionine biosynthesis,Amino Acid and Nucleotide Biosynthesis,
entC-menF-KO,,,,,,,,3,0,Accounts for entC and menF knock-outs,Genomic Alterations,
uncharacterized-6,,,,,,,,54,0,Unknown Function,Uncharacterized,
PurR-2,purR,0.0,,0.7000000000000001,0.1944444444,13.1428571429,7.0,10,1,Pyrimidine biosynthesis,Amino Acid and Nucleotide Biosynthesis,
Cbl+CysB,cbl+cysB,2.93e-22,,0.8,0.8888888889000001,4.75,8.0,10,2,Aliphatic sulfonate utilization,Miscellaneous Metabolism,
GlcC,glcC,1.3900000000000003e-18,,1.0,0.8571428571,4.3333333333,6.0,6,1,Glycolate catabolism,Carbon Source Utilization,
Crp-1,crp,7.000000000000001e-10,,0.4833333333,0.0494037479,44.6206896552,29.0,60,1,Miscellaneous functions,Miscellaneous Metabolism,
YiaJ,yiaJ,4.679999999999999e-29,,1.0,0.9090909091,4.2,10.0,10,1,Ascorbate utilization,Carbon Source Utilization,
GcvA,gcvA,1.6e-09,,0.75,0.75,5.3333333333,3.0,4,1,Glycine cleavage system,Miscellaneous Metabolism,
XylR,xylR,0.0,,0.4615384615,0.8571428571,6.6666666667,6.0,13,1,Xylose catabolism,Carbon Source Utilization,
fur-KO,,,,,,,,13,0,Accounts for fur knock-out,Genomic Alterations,1.0
RpoH,rpoH,5.9e-20,,1.0,0.0955882353,22.9230769231,13.0,13,1,Heat shock response,Stress Response,
GadEWX,gadE+gadW+gadX,9.08e-25,,0.5882352941,0.9090909091,5.6,10.0,17,3,Acid stress response,Stress Response,
translation,,,,,,,,24,0,Enriched in translation machinery,Biological Enrichment,
PrpR,prpR,0.0,,0.6666666667000001,0.8,5.5,4.0,6,1,Propionate catabolism,Carbon Source Utilization,
GadWX,gadX+gadW,4.66e-21,,1.0,0.5333333333,5.75,8.0,8,2,Acid stress response,Stress Response,
fimbriae,,,,,,,,8,0,Fimbriae assembly,Biological Enrichment,
CecR,cecR,0.0,,1.0,1.0,4.0,5.0,5,1,Related to antibiotic sensitivity,Stress Response,
uncharacterized-4,,,,,,,,10,0,Unknown Function,Uncharacterized,
ArcA-1,arcA,6.42e-20,,0.66,0.0726872247,30.5454545455,33.0,50,1,Anaerobic response,Energy Metabolism,
nitrate-related,,,,,,,,14,0,Nitric oxide response,Biological Enrichment,
Fnr,fnr,3.3700000000000004e-27,,0.85,0.0770975057,28.2941176471,34.0,40,1,Anaerobic response,Energy Metabolism,
CdaR,cdaR,1.6600000000000002e-26,,0.9,1.0,4.2222222222,9.0,10,1,Glucarate catabolism,Carbon Source Utilization,
Pyruvate,btsR/ypdB/pdhR,8.49e-07,,0.5,0.09302326,0.15686275100000002,4.0,8,3,Pyruvate transport and metabolism,Carbon Source Utilization,1.0
SrlR+GutM,srlR+gutM,0.0,,1.0,0.7142857143,4.8,5.0,5,2,Sorbitol catabolism,Carbon Source Utilization,
NagC/TyrR,nagC/tyrR,3.8700000000000006e-31,,0.9411764706,0.3265306122,8.25,16.0,17,2,N-acetylglucosamine catabolism and tyrosine biosynthesis,Carbon Source Utilization,
CpxR,cpxR,1e-10,,0.4705882353,0.1290322581,19.75,8.0,17,1,Various stress responses,Stress Response,
thrA-KO,,,,,,,,3,0,Accounts for thrA knock-out,Genomic Alterations,1.0
Lrp,lrp,1.2600000000000001e-37,,0.8648648649,0.16,14.8125,32.0,37,1,Amino acid and peptide transport,Amino Acid and Nucleotide Biosynthesis,
deletion-1,,,,,,,,41,0,Large deletion of 39 genes during evolution,Genomic Alterations,
Leu/Ile,ile-tRNA/ilvY/leu-tRNA,4.06e-33,,0.9285714286000001,0.7647058824,4.7692307692,13.0,14,3,Branched-chain amino acid biosynthesis,Amino Acid and Nucleotide Biosynthesis,
deletion-2,,,,,,,,110,0,Large deletion of 171 genes during evolution,Genomic Alterations,
Fur-1,fur,5.46e-55,,0.8958333333,0.2457142857,10.3720930233,43.0,48,1,Iron homeostasis,Metal Homeostasis,
uncharacterized-5,,,,,,,,4,0,Unknown Function,Uncharacterized,
Thiamine,TPP,0.0,,1.0,1.0,4.0,11.0,11,1,Thiamine biosynthesis,Miscellaneous Metabolism,
CysB,cysB,4.1200000000000005e-32,,0.7619047619,0.5161290323000001,6.5,16.0,21,1,Inorganic sulfate assimilation,Amino Acid and Nucleotide Biosynthesis,
FliA,fliA,4.46e-54,,0.9666666667,0.44615384620000004,6.5517241379,29.0,30,1,Chemotaxis,Structural Components,
PuuR,puuR,0.0,,1.0,1.0,4.0,7.0,7,1,Putrescine catabolism,Miscellaneous Metabolism,
