new,old
HKK26_RS00005,anL01
HKK26_RS00010,anL02
HKK26_RS00015,anL05
HKK26_RS00020,anL06
HKK26_RS00025,anL10
HKK26_RS00030,anL11
HKK26_RS00035,anL12
HKK26_RS00040,anL15
HKK26_RS00045,anL15.5
HKK26_RS00050,anL16
HKK26_RS00055,anL18
HKK26_RS00060,anL19
HKK26_RS00065,anL21
HKK26_RS00070,anL22
HKK26_RS00075,anL23
HKK26_RS00080,anL24
HKK26_RS00085,anL25
HKK26_RS00090,anL28
HKK26_RS00095,anL29
HKK26_RS00100,anL29.5
HKK26_RS00105,anL30
HKK26_RS00110,anL31
HKK26_RS00115,anL32
HKK26_RS00120,anL33
HKK26_RS00125,anL34
HKK26_RS00130,anL35
HKK26_RS00135,anL36
HKK26_RS00140,anL38
HKK26_RS00145,anL39
HKK26_RS00150,anL40
HKK26_RS00155,anL42
HKK26_RS00160,anL43
HKK26_RS00165,anL44
HKK26_RS00170,anL45
HKK26_RS00175,anL46
HKK26_RS00180,anL47
HKK26_RS00185,anL48
HKK26_RS00190,anL49
HKK26_RS00195,anL50
HKK26_RS00200,anL51
HKK26_RS00205,anL52
HKK26_RS00210,anL53
HKK26_RS00215,anL54
HKK26_RS00220,anL55
HKK26_RS00225,anL56
HKK26_RS00230,anL56.5
HKK26_RS00235,anL58
HKK26_RS00240,anL59
ST32046_p4,ST32046_p4
ST32046_p5,ST32046_p5
ST32046_p7,ST32046_p7
ST32046_p8,ST32046_p8
ST32046_p9,ST32046_p9_1
