,0,SG_MPN_RS03590,SG_MPN_RS00295,SG_MPN_RS00580,4,5,SG_MPN_RS03665,SG_MPN_RS00765,8,SG_MPN_RS02405,SG_MPN_RS03490,GntR,SG_MPN_RS00635,13,14,SG_MPN_RS02090,16,WhiA,SG_MPN_RS02795,SG_MPN_RS01660,20,SG_MPN_RS02665,SG_MPN_RS00585,SG_MPN_RS00300,24,25,SG_MPN_RS00470,SG_MPN_RS03555,SG_MPN_RS02230,29,30,SG_MPN_RS03305,SG_MPN_RS01630,HrcA,34,35,36,37,SG_MPN_RS00480,39,SG_MPN_RS01555,SG_MPN_RS03265,42,43,44,SG_MPN_RS01955,CorB,SG_MPN_RS00760,SG_MPN_RS00520,49,SG_MPN_RS00465,SG_MPN_RS00650,YlxM,53,SG_MPN_RS02910,55,56,57,58,SG_MPN_RS00485
MPN_RS00005,0.0515857045,0.0174538903,-0.013115435100000001,0.0159638962,-0.0038082188,0.07729636670000001,0.048221923,0.05458397500000001,-0.0471074547,0.018581278,0.0316092269,0.0129675493,-0.0535928358,0.0007062339,0.049198552000000007,0.0040168846,-0.0559053081,-0.0044615559,-0.0007507691,-0.027566072900000002,0.0051377995,-0.0178608871,-0.0201524012,-0.0091517215,0.0051854443000000005,0.0124634709,-0.018758878,-0.0127488298,-0.0305759526,0.0655630836,0.034450275100000004,0.0048314882,0.0291444798,0.0383328943,-0.0515998654,0.0826498209,-0.0039503429,0.017709999900000002,0.0133861051,-0.0071457433,-0.0045196554,-0.0013586379,-0.0010971911,-0.021533355900000002,0.0149189443,-0.0213773354,0.023946071700000002,-0.0042747543,0.0128953031,0.0501565074,0.004903551700000001,-0.0393492228,0.0086228398,-0.0131243891,-0.0678839738,0.0042419524,0.049481435500000004,0.0103581351,-0.0340513701,-0.0186964436
MPN_RS00010,0.0052892241,-0.0035239211,-0.0116956874,0.023364935400000002,-0.0108654563,0.1679712733,0.030207074700000003,0.0092547696,-0.050539213000000006,0.0898123038,0.0370245524,0.0281386513,-0.06621852980000001,-0.0548941146,0.0369283541,-0.0018988370000000002,-0.0390817282,-0.0189202521,-0.0037883964,-0.0085716297,-0.005363270900000001,-0.0222323488,-0.0084773447,-0.0023524149,0.0206373867,-0.0067027718,-0.0095062076,-0.0045707369000000005,-0.016205515900000002,0.0507177217,0.0389619024,0.0025885365,0.0171936079,0.050668905300000004,-0.0529255796,0.0824845708,-0.0075008301000000005,0.0024470018,0.0044542462,0.0024648046,-0.006796326300000001,-0.0020175511000000003,0.0139512392,-0.02595835,0.0074766696,-0.042956236200000004,0.0148953755,-0.0047103008,0.0272455944,0.0857692045,0.0189443719,-0.0105755246,-0.0254979119,0.050434102700000004,-0.0486496407,0.0191374484,-0.0325102725,-0.0071697021000000005,-0.0809170201,0.0333945737
MPN_RS00015,0.037697317200000004,0.012598899,-0.000511347,0.031716936700000004,-0.0704867372,0.039183802600000005,0.0088469294,-0.0243977875,-0.0533711221,-0.0226255684,-0.0228527109,0.0272782541,-0.019268764100000002,0.0261589336,-0.0125896511,-0.0077970374,0.0246215631,0.0065103541,-0.007103922,-0.001001853,0.0007351857,-0.051489578,-0.0271516946,0.011010816100000001,0.0114827785,0.0036175496,0.008802790500000001,-0.0039518395,-0.0334480823,0.0298567651,0.0121624873,-0.0019162598,0.0181653003,-0.0011283977,-0.0012901792,0.0052864584,0.032175281800000004,-0.018153248400000002,0.0136649608,-0.0424487015,-0.0112401748,-0.0101074032,6.67936e-05,-0.015340885200000001,0.0036491909,0.0228626545,-0.0022933851000000002,-0.0102185196,0.0044671,-0.0001424016,0.0040098361,-0.0020464978000000003,-0.0250774768,0.0058638505,0.0155997987,-0.0189579094,-0.0184525151,-0.0003488392,-0.0977201984,0.0324214429
MPN_RS00020,0.0083784809,-0.0090570783,0.008516168900000001,0.0101905599,-0.0099058926,0.022574026,0.0101746033,-0.0220875905,-0.033092814400000004,0.0086011748,0.0056057634,0.0110434794,-0.0056066869,0.0081491843,-0.025377881300000002,-0.0008122724,-0.009892617900000001,0.0181409942,-0.008670707,-0.039786053200000004,0.0001776516,-0.0081895057,-0.0056384486,0.0069152721000000006,0.0063784272,-0.0207262694,0.0040037392,-0.0021922407,-0.0141117238,-0.009694675,0.0182960339,-0.0004146248,-0.0059553478,0.0087245932,0.0376706442,0.0108942863,0.0262196734,0.0085964464,0.003911722,-0.029279040500000002,-0.0019222807,0.006162628900000001,-0.0123728246,-0.0081245569,0.014879173,0.003324408,-0.003088546,0.0182060895,-0.0024000495,-0.0033681353,0.0027381675000000003,-0.0094937224,-0.0141029099,-0.0018948339000000002,0.0159180188,-0.0059583465,-0.0054068217,0.007941525100000001,-0.0681656946,0.0357909022
MPN_RS00025,-0.018407629000000002,0.0094808845,0.0051985898,0.0005717654,0.001912976,0.0060021402000000005,0.0178267099,0.0084863165,-0.0336322618,-0.0120419879,0.0071866887,-0.0176217059,0.0026253092000000002,-0.028540306,-0.0338143288,-0.0076143119,-0.0142119944,0.0086500185,-0.0039910302000000005,-0.0238607041,-0.0067745922,-0.0020005524,-0.0007295329000000001,-0.0001063633,-0.0125919288,-0.0277876293,0.0027261159,-0.0025861108000000002,-0.0169515608,-0.019634657,0.0245662392,0.0028157848000000003,0.012337832600000001,0.0042138855,0.0275841333,0.025561830400000003,0.0189045199,0.030777840400000003,0.0024573994,-0.0261286982,-0.0035826308,-0.014695295700000001,-0.019058062100000002,-0.0095885434,0.0239243814,-0.0034686464000000003,-0.0141086843,0.0097367207,-0.0309075384,0.008025387,-0.004460536,-0.016104510500000002,-0.0152614064,0.0116501365,0.0013069625,-0.0082887267,-4.7605900000000004e-05,-0.007005944300000001,-0.0541748978,0.0180036483
MPN_RS00030,-0.0234100258,-0.0201319282,0.0002706437,0.0051543582000000004,-0.0203595512,0.0353735352,-0.0008133588,0.0024753475,-0.02914617,0.0119447554,0.0016703881000000001,-0.01449043,0.0023125083,-0.0222644982,-0.025015927400000002,0.0043663782,0.0005665222,0.0175896946,0.0016946630000000001,0.0059826464000000005,-0.00032684690000000003,0.0002447772,0.0012263245,-0.0007540037000000001,0.0132789076,-0.0505906423,0.0056674204,-0.0011335972000000001,-0.0005778328,-0.0016547264000000002,-0.0140094693,0.0018034938,0.0125690864,-0.007720719500000001,0.0446346646,0.0224038604,0.0197143949,0.0287445669,0.0008180444,-0.020590118100000002,-0.0027165591,6.47053e-05,-0.0264030556,-0.0048451345,-0.0243174208,-0.0032860053,0.0017051306,0.0112148361,-0.029319102000000003,0.0290803385,-0.006702538300000001,-0.0285327677,-0.006269840400000001,-0.0135160991,-0.012897648900000001,-0.0059191839000000005,-0.0148241922,0.0010781247,-0.026925515400000002,0.027883551700000002
MPN_RS00035,-0.0129498267,-0.0006194055,-0.0060578612,0.026765785400000002,0.0866754691,-0.0333948508,-0.0153298198,-0.0183554516,-0.0016403107,-0.0051581565,-0.0114816931,0.0258198671,-0.0109309588,-0.0558063922,-0.023226980100000003,-0.0029276192000000003,-0.0073230414,0.0072421382000000005,-0.008750849,0.0267390381,0.0055263496,-0.0048055842,-0.0123291235,0.005359384500000001,0.0148583861,-0.0455672452,-0.008186515200000001,-0.012114175500000001,-0.0068549518,-0.0112635727,-0.0048444139,-8.67817e-05,0.027108839000000003,-0.0287373544,0.0727882701,0.035809959,-0.0345666161,0.0390814321,-0.0142447279,-0.0235971113,-0.0103920485,-0.0028849039,-0.0248031345,-0.0188397743,-0.0163404366,0.0084451202,-0.0049714192,-0.0024731811,0.014014444000000001,0.0564756069,-0.00038390930000000003,-0.0068387035,-0.0058255911,-0.0146263847,0.0374916631,-0.0221074499,0.0006909837000000001,-0.0286846659,-0.024700545600000002,0.0155182675
MPN_RS00040,-0.0369890898,0.0179379121,-0.0044705689,0.0058774155,-0.0025228188000000003,0.0100537097,-0.0165652888,-0.0313799896,-0.017782203400000002,0.014307833,-0.0013115141,-0.0049936205000000004,0.0067111871,-0.09249904240000001,-0.0108535475,-0.0176692335,0.0205793909,-0.0006336052,-0.0061353891,0.028353496000000002,-0.0006980647,0.0236935655,-0.0067971354,-0.00023614260000000002,0.017865735,0.0130706007,0.008534649600000001,-0.0176362995,-0.0064342392000000005,0.0142325212,-0.017029987400000002,0.0013750042,0.021542158500000002,-0.040413047,0.06777130690000001,0.0097692574,0.0010659953,0.0238338602,0.0032429336,0.0006546607000000001,-0.0091461669,-0.0079289841,-0.006935378000000001,-0.0029155949,-0.0026802532,-0.0270071799,-0.0074063566,0.0157536457,-0.0142286862,0.0564058769,0.0013186798,-0.0032510119,-0.0334983733,0.0042744614,0.055876723600000004,-0.0094430237,-0.0174943038,0.0050997888,-0.0004260293,0.0309962722
MPN_RS00045,0.0092818506,0.0060146873,-0.0054401678,-0.0077624477,-0.0583156292,0.011584442,-0.0177701724,-0.0282980595,0.0083599199,-0.0080149606,0.017381861000000002,-0.021190642200000002,-0.0347955903,-0.047543485,-0.018788957800000002,-0.0083811192,0.0049763434,-0.0163607123,-0.010306831300000001,0.010937147500000001,-0.0144346205,0.0033637102000000003,0.0131814941,-0.0035381054000000003,0.0052023588,-0.0496529163,-0.0067601284,-0.0010072369,-0.007126467300000001,-0.0190453357,-0.0489248833,-0.0063212114,-0.0143500497,-0.0449201595,0.0665480477,-0.0020223542,-0.0122566784,0.0126802005,-0.014545955800000001,-0.0121241071,0.0077272204,0.0262347969,-0.0433358475,-0.0040819886,-0.010303031300000001,-0.0119503422,0.0365163274,-0.0001491005,0.0161479562,0.0841498484,0.0062996306,-0.014458754800000001,-0.0078321819,0.0078920469,0.027199154700000002,0.0034055486,-0.041895488200000004,-0.0274508844,0.046183460600000004,0.0083612102
MPN_RS00050,-0.0308007305,0.0381680402,-0.015007871400000001,0.0431854334,0.0165419826,-0.029087107600000002,0.0084024422,0.0267326498,0.0151025798,0.0044213769,-0.0347878747,-0.048304132,-0.018042427700000002,-0.021298282,0.0270708706,-0.0042787806000000005,0.0185559591,-0.0315207361,0.0009913087,-0.019992058,0.0339236811,-0.0124521305,-0.0055284069,0.0058984673,-0.0007711606,-0.0227052446,0.0048689248000000004,-0.0011188172,-0.0216171465,0.0906175944,0.0533942564,0.007219223,0.010953765300000001,0.0050532877,-0.0161985418,-0.011479806700000001,-0.023053999500000002,0.0256091121,-0.0427810363,-0.0483784036,0.0017451743,-0.025195146300000002,-0.0099046197,-0.0127849029,-0.035815016400000003,0.0199195515,0.0036804446,-0.0054754077000000005,0.0126068,-0.0008815589,0.0055886253,0.0040708115,0.0038183942,-0.0116684662,0.0252161264,0.0084249554,-0.0142075968,-0.0772490101,-0.0001588548,-0.054738013
