,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_replicate_corr,passed_similar_replicates
SRX063252,2011-05-16 14:22:03,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR208051,SRP006795,PRJNA140271,140271,SRS193209,SAMN00618967,SRA036837,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,73360,618967,GSE29264,GSM723311,21612627,PCC 7942,,,,True,True,True,False,False
SRX063253,2011-05-16 14:25:03,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR208052,SRP006795,PRJNA140271,140271,SRS193210,SAMN00618968,SRA036837,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,73361,618968,GSE29264,GSM723312,21612627,PCC 7942,,,,True,False,True,True,True
SRX063254,2011-05-16 14:26:04,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR208053,SRP006795,PRJNA140271,140271,SRS193211,SAMN00618969,SRA036837,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,73362,618969,GSE29264,GSM723313,21612627,PCC 7942,,,,True,False,True,True,True
SRX2356912,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031863,SRP093663,PRJNA354335,354335,SRS1805772,SAMN06033584,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439800,6033584,GSE89999,GSM2395359,28430105,,"""clock rescue""",,,True,True,True,False,True
SRX2356913,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031864,SRP093663,PRJNA354335,354335,SRS1805773,SAMN06033583,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439801,6033583,GSE89999,GSM2395360,28430105,,"""clock rescue""",,,True,False,True,True,True
SRX2356914,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031865,SRP093663,PRJNA354335,354335,SRS1805774,SAMN06033606,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439802,6033606,GSE89999,GSM2395361,28430105,,"""clock rescue""",,,True,True,True,False,True
SRX2356915,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031866,SRP093663,PRJNA354335,354335,SRS1805775,SAMN06033605,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439803,6033605,GSE89999,GSM2395362,28430105,,"""clock rescue""",,,True,True,True,False,True
SRX2356916,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031867,SRP093663,PRJNA354335,354335,SRS1805776,SAMN06033604,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439804,6033604,GSE89999,GSM2395363,28430105,,"""clock rescue""",,,True,False,True,True,True
SRX2356917,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031868,SRP093663,PRJNA354335,354335,SRS1805777,SAMN06033603,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439805,6033603,GSE89999,GSM2395364,28430105,,"""clock rescue""",,,True,False,True,True,True
SRX2356918,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031869,SRP093663,PRJNA354335,354335,SRS1805778,SAMN06033602,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439806,6033602,GSE89999,GSM2395365,28430105,,"""clock rescue""",,,True,False,True,True,True
SRX2356919,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031870,SRP093663,PRJNA354335,354335,SRS1805779,SAMN06033601,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439807,6033601,GSE89999,GSM2395366,28430105,,"""clock rescue""",,,True,False,True,True,True
SRX2356920,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031871,SRP093663,PRJNA354335,354335,SRS1805780,SAMN06033600,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439808,6033600,GSE89999,GSM2395367,28430105,,"""clock rescue""",,,True,False,True,True,True
SRX2356921,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031872,SRP093663,PRJNA354335,354335,SRS1805781,SAMN06033599,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439809,6033599,GSE89999,GSM2395368,28430105,,"""clock rescue""",,,True,True,True,False,True
SRX2356922,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031873,SRP093663,PRJNA354335,354335,SRS1805782,SAMN06033598,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439810,6033598,GSE89999,GSM2395369,28430105,,"""clock rescue""",,,True,True,True,False,True
SRX2356923,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031874,SRP093663,PRJNA354335,354335,SRS1805783,SAMN06033597,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439811,6033597,GSE89999,GSM2395370,28430105,,"""clock rescue""",,,True,True,True,False,True
SRX2356924,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031875,SRP093663,PRJNA354335,354335,SRS1805784,SAMN06033596,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439812,6033596,GSE89999,GSM2395371,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX2356925,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031876,SRP093663,PRJNA354335,354335,SRS1805785,SAMN06033595,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439813,6033595,GSE89999,GSM2395372,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX2356926,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031877,SRP093663,PRJNA354335,354335,SRS1805786,SAMN06033594,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439814,6033594,GSE89999,GSM2395373,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX2356927,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031878,SRP093663,PRJNA354335,354335,SRS1805787,SAMN06033593,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439815,6033593,GSE89999,GSM2395374,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX2356928,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031879,SRP093663,PRJNA354335,354335,SRS1805788,SAMN06033592,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439816,6033592,GSE89999,GSM2395375,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX2356929,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031880,SRP093663,PRJNA354335,354335,SRS1805789,SAMN06033591,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439817,6033591,GSE89999,GSM2395376,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX2356930,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031881,SRP093663,PRJNA354335,354335,SRS1805790,SAMN06033590,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439818,6033590,GSE89999,GSM2395377,28430105,,"rpaA- ""clock rescue""",,,True,False,True,True,True
SRX2356931,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031882,SRP093663,PRJNA354335,354335,SRS1805791,SAMN06033589,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439819,6033589,GSE89999,GSM2395378,28430105,,"rpaA- ""clock rescue""",,,True,False,True,True,True
SRX2356932,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031883,SRP093663,PRJNA354335,354335,SRS1805792,SAMN06033588,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439820,6033588,GSE89999,GSM2395379,28430105,,"rpaA- ""clock rescue""",,,True,False,True,True,True
