,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_sample,post_induction_time,replicate_id,strain_description,base_media,carbon_source,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,pH,growth_phase,entraintment_cycles,entraintment_period_per_cycle,OD_wavelength,OD,light_condition,light_intensity ,submission,publication,notes,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,,,
SRX063252,2011-05-16 14:22:03,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR208051,SRP006795,PRJNA140271,140271,SRS193209,SAMN00618967,SRA036837,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,73360,GSE29264,GSM723311,21612627,618967,PCC 7942,wild type,,antibiotics,wt_1,wt_1,,1,wt_AMC_408,BG-11,CO2,FeNH4 citrate,,aerobic,,citric acid,30 C,,,2,12 hr,750,0.15,,25umol photons m-2 s-1,Harvard University,"Vijayan V et al., ""A high resolution map of a cyanobacterial transcriptome."", Genome Biol, 2011;12(5):R47",OD wavelength: 750nm,True,True,True,True,,,
SRX063253,2011-05-16 14:25:03,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR208052,SRP006795,PRJNA140271,140271,SRS193210,SAMN00618968,SRA036837,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,73361,GSE29264,GSM723312,21612627,618968,PCC 7942,wild type,,antibiotics,wt_2,wt_1,,2,wt_AMC_408,BG-11,CO2,FeNH4 citrate,,aerobic,,citric acid,30 C,,,2,12 hr,750,0.15,,25umol photons m-2 s-1,Harvard University,"Vijayan V et al., ""A high resolution map of a cyanobacterial transcriptome."", Genome Biol, 2011;12(5):R47",OD wavelength: 750nm,True,True,True,True,,,
SRX063254,2011-05-16 14:26:04,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR208053,SRP006795,PRJNA140271,140271,SRS193211,SAMN00618969,SRA036837,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,73362,GSE29264,GSM723313,21612627,618969,PCC 7942,wild type,,antibiotics,wt_3,wt_1,,3,wt_AMC_408,BG-11,CO2,FeNH4 citrate,,aerobic,,citric acid,30 C,,,2,12 hr,750,0.15,,25umol photons m-2 s-1,Harvard University,"Vijayan V et al., ""A high resolution map of a cyanobacterial transcriptome."", Genome Biol, 2011;12(5):R47",OD wavelength: 750nm,True,True,True,True,,,
SRX2356912,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031863,SRP093663,PRJNA354335,354335,SRS1805772,SAMN06033584,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439800,GSE89999,GSM2395359,28430105,6033584,PCC 7942,clock_rescure,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,wt_dusk_ZT_12h,wt_dusk_ZT_12h,12h,,"P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night. ZT = freezing and filtering ,True,True,True,True
SRX2356913,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031864,SRP093663,PRJNA354335,354335,SRS1805773,SAMN06033583,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439801,GSE89999,GSM2395360,28430105,6033583,PCC 7942,clock_rescure,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,wt_dark_5m,wt_dusk_ZT_12h,5m,,"P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356914,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031865,SRP093663,PRJNA354335,354335,SRS1805774,SAMN06033606,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439802,GSE89999,GSM2395361,28430105,6033606,PCC 7942,clock_rescure,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,wt_dark_15m,wt_dusk_ZT_12h,15m,,"P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356915,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031866,SRP093663,PRJNA354335,354335,SRS1805775,SAMN06033605,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439803,GSE89999,GSM2395362,28430105,6033605,PCC 7942,clock_rescure,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,wt_dark_30m,wt_dusk_ZT_12h,30m,,"P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356921,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031872,SRP093663,PRJNA354335,354335,SRS1805781,SAMN06033599,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439809,GSE89999,GSM2395368,28430105,6033599,PCC 7942,clock_rescure,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,wt_dawn_5m,wt_dusk_ZT_12h,5m,,"P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356922,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031873,SRP093663,PRJNA354335,354335,SRS1805782,SAMN06033598,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439810,GSE89999,GSM2395369,28430105,6033598,PCC 7942,clock_rescure,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,wt_dawn_15m,wt_dusk_ZT_12h,15m,,"P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356923,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031874,SRP093663,PRJNA354335,354335,SRS1805783,SAMN06033597,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439811,GSE89999,GSM2395370,28430105,6033597,PCC 7942,clock_rescure,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,wt_dawn_30m,wt_dusk_ZT_12h,30m,,"P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
