,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,SYNPCC7942_RS00005,STM3837,26.738000000000003,374,265,5,16,388,1,366,1.56e-38,139.0,390,0.958974358974359,<=>
3,SYNPCC7942_RS00020,STM2362,39.019,469,260,13,27,473,2,466,6.259999999999998e-103,314.0,493,0.9513184584178499,<=>
13,SYNPCC7942_RS00095,STM3655,35.804,715,409,13,4,712,6,676,1.2399999999999998e-123,382.0,728,0.9821428571428571,<=>
14,SYNPCC7942_RS00100,STM2947,36.594,593,328,13,3,577,8,570,9.259999999999997e-122,370.0,624,0.9503205128205128,<=>
16,SYNPCC7942_RS00110,STM2026,29.218000000000004,243,136,11,4,224,6,234,6.54e-16,72.0,246,0.9878048780487805,<=>
19,SYNPCC7942_RS00135,STM2406,33.548,310,172,15,8,298,17,311,9.72e-30,113.0,325,0.9538461538461539,<=>
27,SYNPCC7942_RS00140,STM0795,41.292,356,203,4,32,383,27,380,1.6099999999999999e-68,218.0,388,0.9175257731958762,<=>
29,SYNPCC7942_RS00150,STM0796,25.506,247,160,10,18,253,18,251,0.00016,39.3,273,0.9047619047619048,<=>
30,SYNPCC7942_RS00155,STM0797,35.149,202,109,6,9,189,4,204,1.5799999999999998e-22,88.6,210,0.9619047619047619,<=>
32,SYNPCC7942_RS00160,STM0793,39.286,420,237,7,6,419,12,419,8.409999999999998e-94,286.0,424,0.9905660377358491,<=>
41,SYNPCC7942_RS00195,STM2081,57.415,472,195,5,1,471,1,467,0.0,541.0,471,1.0021231422505308,<=>
46,SYNPCC7942_RS00200,STM3206,24.793000000000003,121,88,2,1,121,2,119,1.26e-09,49.7,125,0.968,<=>
53,SYNPCC7942_RS00210,STM3728,42.254,71,41,0,1,71,1,71,1.04e-12,54.7,78,0.9102564102564102,<=>
64,SYNPCC7942_RS00305,STM2091,43.103,348,181,5,1,346,2,334,7.789999999999998e-103,305.0,368,0.9456521739130435,<=>
69,SYNPCC7942_RS00310,STM2092,65.891,258,86,2,1,257,1,257,2.7199999999999992e-126,356.0,257,1.0038910505836576,<=>
158,SYNPCC7942_RS00350,STM2297,38.542,384,204,9,24,393,18,383,2.4799999999999993e-74,233.0,399,0.9624060150375939,<=>
163,SYNPCC7942_RS00360,STM0049,28.570999999999998,343,179,10,55,392,1,282,6.02e-24,98.2,398,0.8618090452261307,<=>
164,SYNPCC7942_RS00370,STM3058,42.563,437,234,8,7,437,5,430,4.569999999999999e-112,333.0,437,1.0,<=>
167,SYNPCC7942_RS00375,STM0830,27.6,250,162,8,10,252,9,246,2.43e-21,87.0,253,0.9881422924901185,<=>
176,SYNPCC7942_RS00385,STM4250,38.095,147,79,2,4,149,3,138,2.5099999999999995e-24,89.0,149,0.9865771812080537,<=>
179,SYNPCC7942_RS00405,STM0984,35.067,519,323,6,80,591,69,580,6.389999999999998e-102,318.0,593,0.8752107925801011,<=>
262,SYNPCC7942_RS00420,STM3852,30.374000000000002,214,147,2,4,216,2,214,3.2499999999999996e-30,108.0,228,0.9385964912280702,<=>
267,SYNPCC7942_RS00425,STM3537,46.62,577,281,13,17,582,7,567,7.929999999999998e-152,452.0,694,0.8314121037463977,<=>
283,SYNPCC7942_RS00470,STM1200,39.423,208,120,3,5,211,4,206,8.749999999999999e-39,130.0,215,0.9674418604651163,<=>
320,SYNPCC7942_RS00500,STM1888,39.751999999999995,483,260,6,8,471,6,476,3.839999999999999e-102,315.0,594,0.8131313131313131,<=>
323,SYNPCC7942_RS00515,STM1211,28.971999999999998,428,259,9,9,405,7,420,1.4e-42,152.0,444,0.963963963963964,<=>
326,SYNPCC7942_RS00540,STM0645,28.365,208,122,8,4,185,6,212,7.790000000000001e-07,44.7,192,1.0833333333333333,<=>
327,SYNPCC7942_RS00555,STM0831,26.0,150,107,2,19,167,21,167,3.39e-07,45.1,168,0.8928571428571429,<=>
333,SYNPCC7942_RS00570,STM0709,39.186,467,255,13,6,458,5,456,2.1499999999999994e-94,291.0,484,0.9648760330578512,<=>
334,SYNPCC7942_RS00585,STM4066,30.795,302,199,5,24,323,16,309,6.72e-28,107.0,324,0.9320987654320988,<=>
346,SYNPCC7942_RS00620,STM4264,32.941,510,327,8,3,505,6,507,5.799999999999999e-76,246.0,525,0.9714285714285714,<=>
363,SYNPCC7942_RS00640,STM1700,50.391000000000005,256,123,2,4,258,4,256,5.149999999999999e-90,264.0,258,0.9922480620155039,<=>
380,SYNPCC7942_RS00695,STM0489,33.439,314,195,7,3,311,5,309,1.75e-43,150.0,387,0.8113695090439277,<=>
382,SYNPCC7942_RS00705,STM3901,49.385,569,255,11,13,574,2,544,0.0,525.0,612,0.9297385620915033,<=>
390,SYNPCC7942_RS00715,STM0408,32.381,315,180,8,11,313,21,314,2.1199999999999998e-42,146.0,314,1.0031847133757963,<=>
442,SYNPCC7942_RS00770,STM0125,38.73,315,157,9,71,361,48,350,1.0399999999999998e-58,191.0,368,0.8559782608695652,<=>
450,SYNPCC7942_RS00810,STM2580,37.966,295,173,6,17,306,8,297,2.51e-59,189.0,311,0.9485530546623794,<=>
464,SYNPCC7942_RS00880,STM2546,26.482,253,165,8,15,260,4,242,2.15e-15,71.6,289,0.8754325259515571,<=>
465,SYNPCC7942_RS00885,STM3263,51.103,272,129,2,9,278,14,283,1.0499999999999998e-76,233.0,292,0.9315068493150684,<=>
550,SYNPCC7942_RS00915,STM2747,28.358,268,167,9,25,279,15,270,6.329999999999999e-19,81.6,290,0.9241379310344827,<=>
551,SYNPCC7942_RS00920,STM2746,28.788,462,273,17,1,452,1,416,6.72e-48,167.0,457,1.0109409190371992,<=>
