locus_tag,old_locus_tag,gene_name,cycbio_gene_name,cycbio_gene_product,gene_product,COG,uniprot,start,end,strand
SYNPCC7942_RS00005,Synpcc7942_0001,SYNPCC7942_RS00005,SYNPCC7942_RS00005,SYNPCC7942_RS00005,DNA polymerase III subunit beta,"Replication, recombination and repair",UPI000049B79B,65,1237,+
SYNPCC7942_RS00010,Synpcc7942_0002,SYNPCC7942_RS00010,SYNPCC7942_0002,hypothetical protein,hypothetical protein,Function unknown,A0A0H3K3Q0,1262,2134,+
SYNPCC7942_RS00015,Synpcc7942_0003,purL,purL,phosphoribosylformylglycinamidine synthase II,phosphoribosylformylglycinamidine synthase subunit PurL,Nucleotide transport and metabolism,Q55041,2178,4511,+
SYNPCC7942_RS00020,Synpcc7942_0004,SYNPCC7942_RS00020,purF,amidophosphoribosyltransferase,amidophosphoribosyltransferase,Nucleotide transport and metabolism,A0A0H3K6A8,4596,6077,+
SYNPCC7942_RS00025,Synpcc7942_0005,SYNPCC7942_RS00025,SYNPCC7942_0005,conserved hypothetical protein,permease,Inorganic ion transport and metabolism,Q31SD2,6111,7706,-
SYNPCC7942_RS00030,Synpcc7942_0006,SYNPCC7942_RS00030,SYNPCC7942_0006,hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K345,7779,8192,-
SYNPCC7942_RS00035,Synpcc7942_0007,SYNPCC7942_RS00035,SYNPCC7942_0007,hypothetical protein,YtxH domain-containing protein,Function unknown,Q31SD0,8189,8539,-
SYNPCC7942_RS00040,Synpcc7942_0008,SYNPCC7942_RS00040,SYNPCC7942_0008,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31SC9,8536,8859,-
SYNPCC7942_RS00045,Synpcc7942_0009,SYNPCC7942_RS00045,argG,argininosuccinate synthase,argininosuccinate synthase,Nucleotide transport and metabolism,Q31SC8,8964,10166,+
SYNPCC7942_RS00050,Synpcc7942_0010,SYNPCC7942_RS00050,SYNPCC7942_0010,conserved hypothetical protein,DedA family protein,Function unknown,A0A0H3K6A2,10252,10878,-
SYNPCC7942_RS00055,Synpcc7942_0011,SYNPCC7942_RS00055,SYNPCC7942_0011,conserved hypothetical protein,hypothetical protein,No COG annotation,UPI00003A077D,10998,11489,-
SYNPCC7942_RS00060,Synpcc7942_0012,SYNPCC7942_RS00060,rpsF,30S ribosomal subunit protein S6,30S ribosomal protein S6,"Translation, ribosomal structure and biogenesis",Q31SC5,11641,11964,-
SYNPCC7942_RS00065,Synpcc7942_0013,SYNPCC7942_RS00065,SYNPCC7942_0013,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K340,12321,13028,+
SYNPCC7942_RS00070,Synpcc7942_0014,SYNPCC7942_RS00070,SYNPCC7942_0014,conserved hypothetical protein,hypothetical protein,Signal transduction mechanisms,A0A0H3K9S2,13067,13411,-
SYNPCC7942_RS00075,Synpcc7942_0015,SYNPCC7942_RS00075,phyA1,prolyl 4-hydroxylase,Fe2+-dependent dioxygenase,Energy production and conversion,Q31SC2,13577,14248,-
SYNPCC7942_RS00080,,SYNPCC7942_RS00080,SYNPCC7942_RS00080,SYNPCC7942_RS00080,hypothetical protein,No COG annotation,UPI00003A0778,14425,14628,+
SYNPCC7942_RS00085,Synpcc7942_0016,SYNPCC7942_RS00085,SYNPCC7942_0016,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K3N8,15020,15604,+
SYNPCC7942_RS00090,Synpcc7942_0017,SYNPCC7942_RS00090,eda,2-dehydro-3-deoxyphosphogluconate aldolase,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,Carbohydrate transport and metabolism,A0A0H3K697,15630,16193,-
SYNPCC7942_RS00095,Synpcc7942_0018,SYNPCC7942_RS00095,glyS,"glycyl-tRNA synthetase, beta subunit",glycine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",Q31SB9,16206,18392,-
