locus_tag,gene_name,start,end,strand,gene_product,uniprot,COG,KEGG_ko
SYNPCC7942_RS00005,SYNPCC7942_RS00005,65,1237,+,DNA polymerase III subunit beta,UPI000049B79B,L,K02338
SYNPCC7942_RS00010,SYNPCC7942_RS00010,1262,2134,+,hypothetical protein,A0A0H3K3Q0,S,
SYNPCC7942_RS00015,purL,2178,4511,+,phosphoribosylformylglycinamidine synthase subunit PurL,Q55041,F,K01952
SYNPCC7942_RS00020,SYNPCC7942_RS00020,4596,6077,+,amidophosphoribosyltransferase,A0A0H3K6A8,F,K00764
SYNPCC7942_RS00025,SYNPCC7942_RS00025,6111,7706,-,permease,Q31SD2,P,K06901
SYNPCC7942_RS00030,SYNPCC7942_RS00030,7779,8192,-,hypothetical protein,A0A0H3K345,X,
SYNPCC7942_RS00035,SYNPCC7942_RS00035,8189,8539,-,hypothetical protein,Q31SD0,S,
SYNPCC7942_RS00040,SYNPCC7942_RS00040,8536,8859,-,hypothetical protein,Q31SC9,X,
SYNPCC7942_RS00045,SYNPCC7942_RS00045,8964,10166,+,argininosuccinate synthase,Q31SC8,F,K01940
SYNPCC7942_RS00050,SYNPCC7942_RS00050,10252,10878,-,DedA family protein,A0A0H3K6A2,S,
SYNPCC7942_RS00055,SYNPCC7942_RS00055,10998,11489,-,hypothetical protein,UPI00003A077D,X,
SYNPCC7942_RS00060,SYNPCC7942_RS00060,11641,11964,-,30S ribosomal protein S6,Q31SC5,J,K02990
SYNPCC7942_RS00065,SYNPCC7942_RS00065,12321,13028,+,hypothetical protein,A0A0H3K340,X,
SYNPCC7942_RS00070,SYNPCC7942_RS00070,13067,13411,-,hypothetical protein,A0A0H3K9S2,T,
SYNPCC7942_RS00075,SYNPCC7942_RS00075,13577,14248,-,Fe2+-dependent dioxygenase,Q31SC2,C,K07336
SYNPCC7942_RS00080,SYNPCC7942_RS00080,14425,14628,+,hypothetical protein,UPI00003A0778,X,
SYNPCC7942_RS00085,SYNPCC7942_RS00085,15020,15604,+,hypothetical protein,A0A0H3K3N8,X,
SYNPCC7942_RS00090,SYNPCC7942_RS00090,15630,16193,-,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,A0A0H3K697,G,K01625
SYNPCC7942_RS00095,SYNPCC7942_RS00095,16206,18392,-,glycine--tRNA ligase subunit beta,Q31SB9,J,K01879
SYNPCC7942_RS00100,sir,18615,20489,+,sulfite reductase%2C ferredoxin dependent,P30008,C,K00392
SYNPCC7942_RS00105,SYNPCC7942_RS00105,20490,21092,+,hypothetical protein,A0A0H3K9R7,X,
SYNPCC7942_RS00110,SYNPCC7942_RS00110,21134,21874,-,cobalt-precorrin-6A reductase,A0A0H3K3N2,H,K05895
SYNPCC7942_RS00115,SYNPCC7942_RS00115,21880,23049,-,pentapeptide repeat-containing protein,Q31SB5,S,
SYNPCC7942_RS00120,cax,23057,24121,-,calcium/proton exchanger,A0A0H3K375,P,K07300
SYNPCC7942_RS00125,SYNPCC7942_RS00125,24181,25371,-,DUF4336 domain-containing protein,Q31SB3,S,
SYNPCC7942_RS00130,SYNPCC7942_RS00130,25416,27122,+,alpha/beta hydrolase,Q31SB2,S,
SYNPCC7942_RS00135,SYNPCC7942_RS00135,27082,28059,-,aldo/keto reductase,A0A0H3K3M5,C,
SYNPCC7942_RS00140,SYNPCC7942_RS00140,28184,29350,+,8-amino-7-oxononanoate synthase,A0A0H3K680,E,K00652
SYNPCC7942_RS00145,SYNPCC7942_RS00145,29347,30015,+,alpha/beta hydrolase,Q31SA9,I,K19560
SYNPCC7942_RS00150,SYNPCC7942_RS00150,30012,30833,+,methyltransferase domain-containing protein,A0A0H3K326,S,K02169
