,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,Synpcc7942_0001,b3701,26.738000000000003,374,265,5,16,388,1,366,9.15e-40,142.0,390,0.958974358974359,<=>
3,Synpcc7942_0004,b2312,39.232,469,259,13,27,473,2,466,4.3999999999999995e-102,312.0,493,0.9513184584178499,<=>
5,Synpcc7942_0009,b3172,29.351,385,245,11,4,368,11,388,3.0699999999999994e-36,134.0,400,0.9625,<=>
12,Synpcc7942_0015,b0804,45.089,224,122,1,1,223,1,224,2.9999999999999994e-57,178.0,223,1.0044843049327354,<=>
14,Synpcc7942_0017,b4477,31.791999999999998,173,115,3,14,184,9,180,7.22e-20,80.1,187,0.9251336898395722,<=>
15,Synpcc7942_0018,b3559,35.714,714,411,13,4,712,6,676,4.4299999999999975e-124,383.0,728,0.9807692307692307,<=>
16,Synpcc7942_0019,b2763,35.516999999999996,580,331,12,3,569,8,557,2.7299999999999995e-117,358.0,624,0.9294871794871795,<=>
19,Synpcc7942_0026,b1771,32.024,331,187,10,9,315,6,322,2.69e-38,135.0,325,1.0184615384615385,<=>
28,Synpcc7942_0027,b0776,39.376999999999995,353,208,4,35,383,30,380,5.1299999999999995e-67,214.0,388,0.9097938144329897,<=>
31,Synpcc7942_0029,b0777,28.017,232,139,11,18,237,18,233,0.00028399999999999996,38.1,273,0.8498168498168498,<=>
32,Synpcc7942_0030,b0778,35.071,211,116,7,8,198,3,212,1.8300000000000003e-24,93.6,210,1.0047619047619047,<=>
34,Synpcc7942_0031,b0774,39.192,421,232,9,6,417,12,417,3.729999999999999e-89,274.0,424,0.9929245283018868,<=>
44,Synpcc7942_0039,b2029,57.839,472,193,5,1,471,1,467,0.0,546.0,471,1.0021231422505308,<=>
49,Synpcc7942_0040,b3058,24.793000000000003,121,88,2,1,121,1,118,3.29e-10,51.2,125,0.968,<=>
52,Synpcc7942_0042,b3637,42.254,71,41,0,1,71,1,71,7.4e-13,55.1,78,0.9102564102564102,<=>
72,Synpcc7942_0065,b1718,49.091,165,83,1,18,181,14,178,1.9499999999999999e-44,142.0,184,0.8967391304347826,<=>
167,Synpcc7942_0071,b2253,36.649,382,214,7,24,393,18,383,2.0899999999999994e-63,205.0,399,0.9573934837092731,<=>
171,Synpcc7942_0073,b0029,28.324,346,182,10,55,395,1,285,9.93e-24,97.4,398,0.8693467336683417,<=>
172,Synpcc7942_0075,b2908,42.403999999999996,441,237,8,3,437,4,433,2.2499999999999998e-113,337.0,437,1.0091533180778032,<=>
176,Synpcc7942_0076,b0811,28.125,256,165,8,4,252,3,246,3.02e-22,89.4,253,1.0118577075098814,<=>
183,Synpcc7942_0078,b4056,38.775999999999996,147,78,2,4,149,3,138,7.41e-32,107.0,149,0.9865771812080537,<=>
187,Synpcc7942_0082,b0448,34.17,518,334,3,63,579,60,571,9.669999999999999e-91,288.0,582,0.8900343642611683,<=>
283,Synpcc7942_0086,b3431,46.153999999999996,585,272,16,17,582,7,567,9.109999999999998e-147,439.0,694,0.8429394812680115,<=>
297,Synpcc7942_0093,b1098,37.981,208,123,3,5,211,4,206,2.9899999999999998e-36,124.0,215,0.9674418604651163,<=>
329,Synpcc7942_0098,b1854,39.751999999999995,483,260,6,8,471,6,476,9.49e-103,317.0,594,0.8131313131313131,<=>
332,Synpcc7942_0101,b1109,29.206,428,258,9,9,405,7,420,3.43e-43,154.0,444,0.963963963963964,<=>
336,Synpcc7942_0106,b0639,27.404,208,124,10,4,185,6,212,2.7699999999999996e-05,40.0,192,1.0833333333333333,<=>
339,Synpcc7942_0109,b0812,25.333000000000002,150,108,2,19,167,21,167,1.54e-06,43.1,168,0.8928571428571429,<=>
344,Synpcc7942_0112,b0708,39.413000000000004,477,259,13,6,468,5,465,2.9999999999999997e-96,296.0,484,0.9855371900826446,<=>
348,Synpcc7942_0116,b3752,26.545,275,180,9,4,271,3,262,6.15e-09,53.1,324,0.8487654320987654,<=>
356,Synpcc7942_0122,b4061,31.991999999999997,522,339,6,8,519,9,524,3.209999999999999e-74,241.0,525,0.9942857142857143,<=>
375,Synpcc7942_0126,b1288,49.608999999999995,256,125,2,4,258,4,256,2.779999999999999e-88,259.0,258,0.9922480620155039,<=>
393,Synpcc7942_0137,b0475,32.399,321,203,7,3,318,5,316,7.649999999999999e-39,138.0,387,0.8294573643410853,<=>
396,Synpcc7942_0139,b0077,49.281000000000006,556,273,5,13,563,5,556,0.0,551.0,612,0.9084967320261438,<=>
403,Synpcc7942_0141,b0409,31.511,311,188,7,11,313,21,314,3.24e-41,143.0,314,0.9904458598726115,<=>
455,Synpcc7942_0152,b0087,38.73,315,157,8,68,358,48,350,2.38e-56,185.0,365,0.863013698630137,<=>
465,Synpcc7942_0160,b2566,38.644,295,171,7,17,306,8,297,7.159999999999998e-61,193.0,311,0.9485530546623794,<=>
481,Synpcc7942_0174,b3146,51.471000000000004,272,128,2,9,278,14,283,7.239999999999999e-82,246.0,292,0.9315068493150684,<=>
