,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,BSU_00010,Synpcc7942_1100,47.02,453,222,4,7,445,28,476,1.9499999999999994e-151,435.0,446,1.015695067264574,<=>
1,BSU_00020,Synpcc7942_0001,28.721,383,255,8,1,376,16,387,1.14e-49,168.0,378,1.0132275132275133,<=>
2,BSU_00030,Synpcc7942_0081,40.678000000000004,59,35,0,5,63,1,59,3.12e-09,44.7,71,0.8309859154929577,<=>
3,BSU_00040,Synpcc7942_2250,35.294000000000004,374,229,5,1,368,1,367,7.3e-57,187.0,370,1.0108108108108107,<=>
5,BSU_00060,Synpcc7942_2491,58.571000000000005,630,253,4,6,627,3,632,0.0,718.0,638,0.987460815047022,<=>
6,BSU_00070,Synpcc7942_0254,48.888999999999996,855,398,8,1,821,1,850,0.0,829.0,821,1.0414129110840438,<=>
14,BSU_00130,Synpcc7942_0449,50.465,430,206,4,1,425,16,443,1.6599999999999996e-153,438.0,425,1.011764705882353,<=>
20,BSU_00180,Synpcc7942_1856,40.411,146,87,0,7,152,20,165,3.0799999999999995e-37,122.0,161,0.906832298136646,<=>
26,BSU_00210,Synpcc7942_1369,53.571000000000005,196,90,1,3,198,16,210,3.9099999999999995e-72,214.0,198,0.98989898989899,<=>
27,BSU_00270,Synpcc7942_0707,34.946999999999996,475,268,16,1,453,1,456,3.749999999999999e-69,225.0,480,0.9895833333333334,<=>
28,BSU_00280,Synpcc7942_0093,31.308000000000003,214,138,3,3,209,4,215,7.29e-37,124.0,212,1.009433962264151,<=>
31,BSU_00360,Synpcc7942_0174,43.382,272,144,3,17,285,9,273,2.64e-77,234.0,292,0.9315068493150684,<=>
41,BSU_00390,Synpcc7942_1521,35.798,257,159,4,2,254,3,257,1.5299999999999999e-53,171.0,255,1.007843137254902,<=>
42,BSU_00420,Synpcc7942_0311,34.444,270,166,4,23,287,4,267,7.15e-39,134.0,292,0.9246575342465754,<=>
43,BSU_00460,Synpcc7942_0310,35.165,273,161,4,7,263,8,280,1.4599999999999999e-44,150.0,289,0.9446366782006921,<=>
45,BSU_00480,Synpcc7942_0972,58.14,129,49,5,1,124,1,129,1.18e-44,138.0,125,1.032,<=>
47,BSU_00500,Synpcc7942_0288,41.441,444,254,2,8,449,6,445,1.2999999999999998e-119,353.0,456,0.9736842105263158,<=>
53,BSU_00510,Synpcc7942_2113,55.449,312,137,2,7,316,19,330,3.0599999999999992e-127,363.0,317,0.9842271293375394,<=>
54,BSU_00530,Synpcc7942_0227,43.75,192,101,3,3,187,8,199,1.98e-57,176.0,188,1.0212765957446808,<=>
55,BSU_00550,Synpcc7942_1326,37.976,1077,615,16,30,1090,31,1070,0.0,733.0,1177,0.9150382327952421,<=>
67,BSU_00690,Synpcc7942_0297,51.55,613,278,8,1,603,1,604,0.0,621.0,637,0.9623233908948194,<=>
75,BSU_00710,Synpcc7942_0559,40.484,289,165,5,2,285,3,289,9.229999999999998e-66,204.0,291,0.993127147766323,<=>
76,BSU_00730,Synpcc7942_1466,58.199,311,124,5,1,306,14,323,4.3799999999999986e-105,306.0,308,1.0097402597402598,<=>
79,BSU_00740,Synpcc7942_1003,38.413000000000004,479,261,10,16,462,30,506,6.709999999999999e-100,305.0,470,1.0191489361702128,<=>
82,BSU_00750,Synpcc7942_0400,55.729,192,78,2,1,185,1,192,7.919999999999999e-76,223.0,194,0.9896907216494846,<=>
