,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,SYNPCC7942_RS00005,b3701,26.738000000000003,374,265,5,16,388,1,366,9.15e-40,142.0,390,0.958974358974359,<=>
3,SYNPCC7942_RS00020,b2312,39.232,469,259,13,27,473,2,466,4.3999999999999995e-102,312.0,493,0.95131845841785,<=>
5,SYNPCC7942_RS00045,b3172,29.351,385,245,11,4,368,11,388,3.0699999999999994e-36,134.0,400,0.9625,<=>
12,SYNPCC7942_RS00075,b0804,45.089,224,122,1,1,223,1,224,2.9999999999999994e-57,178.0,223,1.00448430493274,<=>
14,SYNPCC7942_RS00090,b4477,31.791999999999998,173,115,3,14,184,9,180,7.22e-20,80.1,187,0.925133689839572,<=>
15,SYNPCC7942_RS00095,b3559,35.714,714,411,13,4,712,6,676,4.4299999999999975e-124,383.0,728,0.9807692307692311,<=>
16,SYNPCC7942_RS00100,b2763,35.516999999999996,580,331,12,3,569,8,557,2.7299999999999995e-117,358.0,624,0.9294871794871801,<=>
19,SYNPCC7942_RS00135,b1771,32.024,331,187,10,9,315,6,322,2.69e-38,135.0,325,1.01846153846154,<=>
28,SYNPCC7942_RS00140,b0776,39.376999999999995,353,208,4,35,383,30,380,5.1299999999999995e-67,214.0,388,0.9097938144329899,<=>
31,SYNPCC7942_RS00150,b0777,28.017,232,139,11,18,237,18,233,0.00028399999999999996,38.1,273,0.84981684981685,<=>
32,SYNPCC7942_RS00155,b0778,35.071,211,116,7,8,198,3,212,1.8300000000000003e-24,93.6,210,1.0047619047619,<=>
34,SYNPCC7942_RS00160,b0774,39.192,421,232,9,6,417,12,417,3.729999999999999e-89,274.0,424,0.992924528301887,<=>
43,SYNPCC7942_RS00195,b2029,57.839,472,193,5,1,471,1,467,0.0,546.0,471,1.00212314225053,<=>
48,SYNPCC7942_RS00200,b3058,24.793000000000003,121,88,2,1,121,1,118,3.29e-10,51.2,125,0.968,<=>
51,SYNPCC7942_RS00210,b3637,42.254,71,41,0,1,71,1,71,7.4e-13,55.1,78,0.9102564102564101,<=>
71,SYNPCC7942_RS00320,b1718,49.091,165,83,1,18,181,14,178,1.9499999999999999e-44,142.0,184,0.8967391304347829,<=>
166,SYNPCC7942_RS00350,b2253,36.649,382,214,7,24,393,18,383,2.0899999999999994e-63,205.0,399,0.9573934837092729,<=>
170,SYNPCC7942_RS00360,b0029,28.324,346,182,10,55,395,1,285,9.93e-24,97.4,398,0.869346733668342,<=>
171,SYNPCC7942_RS00370,b2908,42.403999999999996,441,237,8,3,437,4,433,2.2499999999999998e-113,337.0,437,1.0091533180778,<=>
175,SYNPCC7942_RS00375,b0811,28.125,256,165,8,4,252,3,246,3.02e-22,89.4,253,1.01185770750988,<=>
182,SYNPCC7942_RS00385,b4056,38.775999999999996,147,78,2,4,149,3,138,7.41e-32,107.0,149,0.9865771812080542,<=>
186,SYNPCC7942_RS00405,b0448,34.17,518,334,3,74,590,60,571,1.3699999999999996e-90,288.0,593,0.873524451939292,<=>
282,SYNPCC7942_RS00425,b3431,46.153999999999996,585,272,16,17,582,7,567,9.109999999999998e-147,439.0,694,0.842939481268011,<=>
