,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
5,b0003,Synpcc7942_1440,33.808,281,171,6,2,279,3,271,1.2699999999999999e-42,145.0,310,0.9064516129032258,<=>
10,b0014,Synpcc7942_2468,56.966,646,255,6,1,635,1,634,0.0,733.0,638,1.0125391849529781,<=>
15,b0015,Synpcc7942_2074,42.037,383,189,8,5,367,4,373,3.219999999999999e-86,262.0,376,1.0186170212765957,<=>
27,b0023,Synpcc7942_1520,34.884,86,49,2,1,79,1,86,9.37e-08,42.4,87,0.9885057471264368,<=>
28,b0025,Synpcc7942_0492,38.225,293,175,5,18,305,14,305,8.329999999999998e-57,182.0,313,0.9361022364217252,<=>
29,b0026,Synpcc7942_2437,44.802,962,486,18,1,930,4,952,0.0,760.0,938,1.0255863539445629,<=>
34,b0027,Synpcc7942_1726,31.506999999999998,146,93,3,20,164,17,156,1.6e-17,71.6,164,0.8902439024390244,<=>
36,b0029,Synpcc7942_0073,28.324,346,182,10,1,285,55,395,4.63e-24,97.4,316,1.0949367088607596,<=>
37,b0031,Synpcc7942_2136,31.111,270,167,7,6,261,5,269,1.7899999999999996e-29,108.0,273,0.989010989010989,<=>
38,b0032,Synpcc7942_2122,49.215,382,180,6,3,380,17,388,2.3299999999999995e-123,358.0,382,1.0,<=>
41,b0033,Synpcc7942_0711,58.53,1102,420,9,1,1071,1,1096,0.0,1280.0,1073,1.027027027027027,<=>
55,b0045,Synpcc7942_2238,28.188000000000002,447,295,8,13,434,22,467,2.9199999999999997e-44,157.0,443,1.0090293453724606,<=>
63,b0051,Synpcc7942_0311,33.582,268,165,5,11,266,3,269,6.289999999999999e-38,131.0,273,0.9816849816849816,<=>
64,b0052,Synpcc7942_0804,36.585,328,181,6,6,314,10,329,3.6299999999999995e-60,193.0,329,0.9969604863221885,<=>
124,b0071,Synpcc7942_2548,37.374,198,117,3,1,197,1,192,2.4e-34,117.0,201,0.9850746268656716,<=>
125,b0072,Synpcc7942_1898,53.896,462,211,2,4,464,5,465,1.7599999999999995e-173,492.0,466,0.9914163090128756,<=>
127,b0073,Synpcc7942_1505,50.42,357,173,4,1,355,1,355,8.289999999999998e-119,345.0,363,0.9834710743801653,<=>
130,b0074,Synpcc7942_1410,48.948,523,249,5,4,510,9,529,1.1699999999999996e-153,446.0,523,1.0,<=>
135,b0077,Synpcc7942_0139,49.281000000000006,556,273,5,5,556,13,563,0.0,551.0,574,0.9686411149825784,<=>
136,b0078,Synpcc7942_2434,41.401,157,91,1,1,157,1,156,5.1899999999999996e-40,129.0,163,0.9631901840490797,<=>
137,b0082,Synpcc7942_0975,44.089,313,140,8,4,311,10,292,1.2199999999999998e-72,223.0,313,1.0,<=>
138,b0084,Synpcc7942_0482,26.491,570,388,12,20,566,26,587,5.0799999999999996e-48,173.0,588,0.9693877551020408,<=>
141,b0085,Synpcc7942_1484,41.532,496,261,7,5,484,2,484,1.2199999999999997e-97,300.0,495,1.002020202020202,<=>
144,b0086,Synpcc7942_1841,35.861999999999995,435,242,11,26,443,31,445,2.0099999999999998e-69,224.0,452,0.9623893805309734,<=>
146,b0087,Synpcc7942_0152,38.73,315,157,8,48,350,68,358,5.569999999999999e-52,173.0,360,0.875,<=>
148,b0088,Synpcc7942_1667,30.369,461,281,15,11,437,6,460,1.28e-36,136.0,438,1.052511415525114,<=>
152,b0089,Synpcc7942_0324,36.461,373,211,9,46,408,22,378,1.38e-52,177.0,414,0.9009661835748792,<=>
154,b0090,Synpcc7942_2312,35.054,368,201,14,1,347,1,351,3.82e-48,162.0,355,1.036619718309859,<=>
155,b0091,Synpcc7942_1741,35.805,472,265,9,20,471,10,463,3.31e-77,246.0,491,0.9613034623217923,<=>
160,b0095,Synpcc7942_2378,48.705,386,167,6,3,381,27,388,1.6699999999999995e-96,290.0,383,1.0078328981723237,<=>
