PCC7942_PG_locus,PCC7942_NCBI-alias,PCC7942_alias,PCC7942_start,PCC7942_end,PCC7942_strand,gene_name,Annotation_description,Additional description,PCC7942_essentiality,PCC7942_regulatory_region_essentiality,PCC7942_uninterupted_upstream_length,cyano_conserved,greencut2_conserved,Notes on PG Annotation
SE_01,SYNPCC7942_RS00005,Synpcc7942_0001,65,1237,Forward,dnaN,"DNA polymerase III, beta subunit",,non-essential,,,yes,no,
SE_02,SYNPCC7942_RS00010,Synpcc7942_0002,1262,2134,Forward,,hypothetical protein,Uncharacterized protein YrrD ,non-essential,,,no,no,
SE_03,SYNPCC7942_RS00015,Synpcc7942_0003,2178,4511,Forward,purL,phosphoribosylformylglycinamidine synthase,,ambiguous,,,yes,no,
SE_04,SYNPCC7942_RS00020,Synpcc7942_0004,4596,6077,Forward,purF,amidophosphoribosyltransferase,,essential,non-essential,0,yes,no,
SE_05,SYNPCC7942_RS00025,Synpcc7942_0005,6111,7706,Reverse,,"putative MFS transporter, AGZA family, xanthine/uracil permease",,non-essential,,,no,no,
SE_06,SYNPCC7942_RS00030,Synpcc7942_0006,7779,8192,Reverse,,hypothetical protein,,non-essential,,,no,yes,
SE_07,SYNPCC7942_RS00035,Synpcc7942_0007,8189,8539,Reverse,,hypothetical protein,Gas vesicle protein; YtxH-like protein,non-essential,,,no,no,
SE_08,SYNPCC7942_RS00040,Synpcc7942_0008,8536,8859,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_09,SYNPCC7942_RS00045,Synpcc7942_0009,8964,10166,Forward,argG,argininosuccinate synthase,,essential,essential,58,yes,no,
SE_10,SYNPCC7942_RS00050,Synpcc7942_0010,10252,10878,Reverse,,DedA family protein,SNARE associated membrane protein,non-essential,,,no,no,
SE_11,SYNPCC7942_RS00055,Synpcc7942_0011,10998,11474,Reverse,,hypothetical protein,,non-essential,,,no,no,UTEX 3055 annotation changed to reflect consensus of cyanobacteria annotations
SE_12,SYNPCC7942_RS00060,Synpcc7942_0012,11641,11964,Reverse,rpsF,30S ribosomal protein S6,,essential,essential,109,yes,no,
SE_13,SYNPCC7942_RS00065,Synpcc7942_0013,12321,13028,Forward,,hypothetical protein,"aminopeptidase N, a subset of the members of the zinc metallopeptidase family M1 (pfam01433)",non-essential,,,no,no,
SE_14,SYNPCC7942_RS00070,Synpcc7942_0014,13067,13411,Reverse,,hypothetical protein,YqfF; Membrane-associated HD superfamily phosphohydrolase ,non-essential,,,no,no,
SE_15,SYNPCC7942_RS00075,Synpcc7942_0015,13577,14248,Reverse,,Fe2+-dependent dioxygenase,,non-essential,,,no,no,
SE_16,SYNPCC7942_RS00080,,14425,14628,Forward,,hypothetical protein,,,,,,,"UTEX 3055 annotation changed (pseudogene); evidence from O'Shea transcript data, PCC 7942 RNAseq data (unpublished)"
SE_17,SYNPCC7942_RS00085,Synpcc7942_0016,15020,15604,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_18,SYNPCC7942_RS00090,Synpcc7942_0017,15630,16193,Reverse,eda,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,,beneficial,,,no,no,
SE_19,SYNPCC7942_RS00095,Synpcc7942_0018,16206,18392,Reverse,glyS,glycyl-tRNA synthetase subunit beta,,essential,non-essential,39,yes,no,
SE_20,SYNPCC7942_RS00100,Synpcc7942_0019,18615,20489,Forward,sir,sulfite reductase,,essential,non-essential,26,yes,no,
SE_21,SYNPCC7942_RS00105,Synpcc7942_0020,20490,21092,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_22,SYNPCC7942_RS00110,Synpcc7942_0021,21134,21874,Reverse,cobK,cobalt-precorrin-6X reductase,,essential,non-essential,5,no,no,
SE_23,SYNPCC7942_RS00115,Synpcc7942_0022,21880,23049,Reverse,,pentapeptide repeat protein,,non-essential,,,no,no,
SE_24,SYNPCC7942_RS00120,Synpcc7942_0023,23057,24121,Reverse,cax,calcium/proton exchanger,,non-essential,,,no,no,
SE_25,SYNPCC7942_RS00125,Synpcc7942_0024,24181,25371,Reverse,,protein of unknown function (DUF4336),DUF4336 domain-containing protein similar to Arabidopsis thaliana lysine-tRNA ligase,non-essential,,,no,yes,"UTEX 2973 annotation changed to reflect consensus of cyanobacteria annotations; using evidence of no conserved domains in the changed region,  O'shea transcript 1279 and a canonical start codon"
SE_26,SYNPCC7942_RS00130,Synpcc7942_0025,25416,27122,Forward,,alpha/beta fold hydrolase,,non-essential,,,no,no,
SE_27,SYNPCC7942_RS00135,Synpcc7942_0026,27082,28059,Reverse,,aldo/keto reductase,,non-essential,,,no,yes,
SE_28,SYNPCC7942_RS00140,Synpcc7942_0027,28184,29350,Forward,bioF,8-amino-7-oxononanoate synthase,,essential,non-essential,2,no,yes,
SE_29,SYNPCC7942_RS00145,Synpcc7942_0028,29347,30015,Forward,,alpha/beta hydrolase,,essential,non-essential,0,no,no,
SE_30,SYNPCC7942_RS00150,Synpcc7942_0029,30012,30833,Forward,,methyltransferase domain-containing protein,,essential,non-essential,0,no,no,
SE_31,SYNPCC7942_RS00155,Synpcc7942_0030,30839,31471,Forward,bioD,dethiobiotin synthetase,,essential,non-essential,3,no,no,
SE_32,SYNPCC7942_RS00160,Synpcc7942_0031,31464,32738,Forward,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,,essential,non-essential,0,no,no,
SE_33,SYNPCC7942_RS00165,Synpcc7942_0032,32849,33202,Reverse,,DUF86 domain-containing protein,,non-essential,,,no,no,
SE_34,SYNPCC7942_RS13645,Synpcc7942_0033,33174,33506,Reverse,,nucleotidyltransferase family protein,Ab resistance group,non-essential,,,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; using evidence of conserved domains from BLAST search, O'shea transcript 445 and PCC 7942 RNAseq data"
SE_35,,Synpcc7942_0034,33685,33798,Forward,,N-acetylornithine aminotransferase ,,non-essential,,,no,no,PCC 6301 and UTEX 2973  annotations added based on conserved domains from BLAST search
SE_36,SYNPCC7942_RS00170,,33960,34289,Forward,,hypothetical protein,,,,,,,
SE_37,SYNPCC7942_RS00175,Synpcc7942_0035,34357,35115,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_38,SYNPCC7942_RS00180,Synpcc7942_0036,35341,36126,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_39,SYNPCC7942_RS00185,Synpcc7942_0037,36123,36326,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_40,SYNPCC7942_RS00190,Synpcc7942_0038,36479,36955,Forward,mutT,DNA mismatch repair protein MutT,,non-essential,,,no,no,
SE_41,SYNPCC7942_RS00195,Synpcc7942_0039,37130,38545,Forward,gnd,6-phosphogluconate dehydrogenase,,non-essential,,,yes,no,
SE_42,SYNPCC7942_RS00200,Synpcc7942_0040,38630,39007,Forward,folB,dihydroneopterin aldolase,,essential,non-essential,8,yes,no,
SE_43,SYNPCC7942_RS00205,Synpcc7942_0041,39441,40745,Forward,,transporter,,non-essential,,,no,no,
SE_44,SYNPCC7942_RS00210,Synpcc7942_0042,40855,41091,Reverse,rpmB,50S ribosomal protein L28,,non-essential,,,yes,yes,
SE_45,SYNPCC7942_RS00215,Synpcc7942_0043,41131,41496,Reverse,,hypothetical protein,,non-essential,,,no,no,
