,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,SYNPCC7942_RS00005,USA300HOU_RS00010,28.721,383,253,9,16,387,2,375,2.8199999999999995e-52,175.0,390,0.982051282051282,<=>
1,SYNPCC7942_RS00015,USA300HOU_RS05325,44.488,762,362,13,18,775,22,726,0.0,607.0,777,0.9806949806949807,<=>
2,SYNPCC7942_RS00020,USA300HOU_RS05330,42.826,460,244,6,24,474,8,457,4.319999999999999e-135,396.0,493,0.9330628803245437,<=>
4,SYNPCC7942_RS00045,USA300HOU_RS04770,52.538000000000004,394,185,1,5,398,3,394,5.6899999999999985e-145,414.0,400,0.985,<=>
6,SYNPCC7942_RS00060,USA300HOU_RS01935,29.348000000000003,92,64,1,6,96,4,95,6.32e-15,61.6,107,0.8598130841121495,<=>
7,SYNPCC7942_RS00135,USA300HOU_RS03190,27.76,317,205,11,7,313,5,307,5.45e-26,101.0,325,0.9753846153846154,<=>
13,SYNPCC7942_RS00140,USA300HOU_RS02890,32.102,352,230,4,36,380,33,382,1.2699999999999998e-64,207.0,388,0.9072164948453608,<=>
16,SYNPCC7942_RS00160,USA300HOU_RS13130,32.952,437,272,9,6,422,14,449,7.869999999999999e-83,258.0,424,1.0306603773584906,<=>
22,SYNPCC7942_RS00195,USA300HOU_RS08075,56.93,469,196,5,4,471,3,466,0.0,543.0,471,0.9957537154989384,<=>
23,SYNPCC7942_RS00200,USA300HOU_RS02640,32.773,119,80,0,2,120,3,121,5.63e-22,80.9,125,0.952,<=>
24,SYNPCC7942_RS00205,USA300HOU_RS09415,22.555999999999997,399,288,9,25,416,25,409,4.88e-19,85.1,434,0.9193548387096774,<=>
36,SYNPCC7942_RS00320,USA300HOU_RS08905,46.29600000000001,162,87,0,18,179,10,171,3.65e-46,146.0,184,0.8804347826086957,<=>
37,SYNPCC7942_RS00335,USA300HOU_RS14835,33.074,257,166,3,8,262,14,266,1.1899999999999997e-48,161.0,317,0.8107255520504731,<=>
106,SYNPCC7942_RS00370,USA300HOU_RS09055,28.125,384,209,14,47,425,26,347,2.59e-29,114.0,437,0.8787185354691075,<=>
111,SYNPCC7942_RS00405,USA300HOU_RS10125,38.398,487,298,2,105,590,91,576,5.959999999999999e-115,350.0,593,0.821247892074199,<=>
188,SYNPCC7942_RS00470,USA300HOU_RS02455,36.126,191,109,6,6,194,4,183,4.06e-35,120.0,215,0.8883720930232558,<=>
204,SYNPCC7942_RS00500,USA300HOU_RS09005,45.172,580,311,3,8,581,2,580,2.909999999999999e-174,503.0,594,0.9764309764309764,<=>
206,SYNPCC7942_RS00515,USA300HOU_RS04665,29.487,390,256,8,7,389,5,382,7.329999999999998e-45,157.0,444,0.8783783783783784,<=>
212,SYNPCC7942_RS00555,USA300HOU_RS11550,31.25,144,99,0,23,166,3,146,3.45e-21,80.9,168,0.8571428571428571,<=>
215,SYNPCC7942_RS00585,USA300HOU_RS10985,26.603,312,219,5,8,313,4,311,6.36e-26,101.0,324,0.9629629629629629,<=>
217,SYNPCC7942_RS00590,USA300HOU_RS10315,51.037,482,224,2,11,492,3,472,6.319999999999998e-172,489.0,494,0.9757085020242915,<=>
220,SYNPCC7942_RS00635,USA300HOU_RS14530,44.443999999999996,189,100,3,22,209,7,191,1.96e-52,164.0,209,0.9043062200956937,<=>
221,SYNPCC7942_RS00640,USA300HOU_RS05010,50.196000000000005,255,122,3,1,253,1,252,9.029999999999997e-80,237.0,258,0.9883720930232558,<=>
228,SYNPCC7942_RS00645,USA300HOU_RS14300,19.512,205,154,4,21,217,33,234,4.95e-06,42.4,222,0.9234234234234234,<=>
232,SYNPCC7942_RS00695,USA300HOU_RS09790,27.217,327,202,11,3,319,4,304,5.4699999999999996e-30,114.0,387,0.8449612403100775,<=>
238,SYNPCC7942_RS00705,USA300HOU_RS11065,43.718,581,305,9,2,576,25,589,6.919999999999998e-173,500.0,612,0.9493464052287581,<=>
