,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,Synpcc7942_0001,USA300HOU_RS00010,28.721,383,253,9,16,387,2,375,2.85e-52,175.0,390,0.982051282051282,<=>
1,Synpcc7942_0003,USA300HOU_RS05325,44.488,762,362,13,18,775,22,726,0.0,607.0,777,0.9806949806949807,<=>
2,Synpcc7942_0004,USA300HOU_RS05330,42.826,460,244,6,24,474,8,457,4.359999999999999e-135,396.0,493,0.9330628803245437,<=>
4,Synpcc7942_0009,USA300HOU_RS04770,52.538000000000004,394,185,1,5,398,3,394,5.7399999999999975e-145,414.0,400,0.985,<=>
6,Synpcc7942_0012,USA300HOU_RS01935,29.348000000000003,92,64,1,6,96,4,95,6.3700000000000006e-15,61.6,107,0.8598130841121495,<=>
7,Synpcc7942_0026,USA300HOU_RS03190,27.76,317,205,11,7,313,5,307,5.499999999999999e-26,101.0,325,0.9753846153846154,<=>
13,Synpcc7942_0027,USA300HOU_RS02890,32.102,352,230,4,36,380,33,382,1.2799999999999998e-64,207.0,388,0.9072164948453608,<=>
16,Synpcc7942_0031,USA300HOU_RS13130,32.952,437,272,9,6,422,14,449,7.94e-83,258.0,424,1.0306603773584906,<=>
22,Synpcc7942_0039,USA300HOU_RS08075,56.93,469,196,5,4,471,3,466,0.0,543.0,471,0.9957537154989384,<=>
23,Synpcc7942_0040,USA300HOU_RS02640,32.773,119,80,0,2,120,3,121,5.68e-22,80.9,125,0.952,<=>
24,Synpcc7942_0041,USA300HOU_RS09415,22.555999999999997,399,288,9,25,416,25,409,4.93e-19,85.1,434,0.9193548387096774,<=>
36,Synpcc7942_0065,USA300HOU_RS08905,46.29600000000001,162,87,0,18,179,10,171,3.69e-46,146.0,184,0.8804347826086957,<=>
106,Synpcc7942_0075,USA300HOU_RS09055,28.125,384,209,14,47,425,26,347,2.61e-29,114.0,437,0.8787185354691075,<=>
111,Synpcc7942_0082,USA300HOU_RS10125,38.398,487,298,2,94,579,91,576,6.22e-115,350.0,582,0.8367697594501718,<=>
188,Synpcc7942_0093,USA300HOU_RS02455,36.126,191,109,6,6,194,4,183,4.1e-35,120.0,215,0.8883720930232558,<=>
204,Synpcc7942_0098,USA300HOU_RS09005,45.172,580,311,3,8,581,2,580,2.939999999999999e-174,503.0,594,0.9764309764309764,<=>
206,Synpcc7942_0101,USA300HOU_RS04665,29.487,390,256,8,7,389,5,382,7.4e-45,157.0,444,0.8783783783783784,<=>
212,Synpcc7942_0109,USA300HOU_RS11550,31.25,144,99,0,23,166,3,146,3.48e-21,80.9,168,0.8571428571428571,<=>
215,Synpcc7942_0116,USA300HOU_RS10985,26.603,312,219,5,8,313,4,311,6.419999999999999e-26,101.0,324,0.9629629629629629,<=>
217,Synpcc7942_0118,USA300HOU_RS10315,51.037,482,224,2,11,492,3,472,6.369999999999998e-172,489.0,494,0.9757085020242915,<=>
220,Synpcc7942_0125,USA300HOU_RS14530,44.443999999999996,189,100,3,22,209,7,191,1.9799999999999997e-52,164.0,209,0.9043062200956937,<=>
221,Synpcc7942_0126,USA300HOU_RS05010,50.196000000000005,255,122,3,1,253,1,252,9.109999999999999e-80,237.0,258,0.9883720930232558,<=>
228,Synpcc7942_0127,USA300HOU_RS14300,19.512,205,154,4,21,217,33,234,5e-06,42.4,222,0.9234234234234234,<=>
232,Synpcc7942_0137,USA300HOU_RS09790,27.217,327,202,11,3,319,4,304,5.5199999999999996e-30,114.0,387,0.8449612403100775,<=>
238,Synpcc7942_0139,USA300HOU_RS11065,43.718,581,305,9,2,576,25,589,6.979999999999997e-173,500.0,612,0.9493464052287581,<=>
245,Synpcc7942_0143,USA300HOU_RS08105,43.827,324,179,3,1,321,1,324,3.82e-89,266.0,326,0.9938650306748467,<=>
272,Synpcc7942_0152,USA300HOU_RS05940,42.902,317,161,7,47,356,7,310,2.5299999999999996e-70,219.0,365,0.8684931506849315,<=>
280,Synpcc7942_0160,USA300HOU_RS08360,43.493,292,162,2,16,306,5,294,3.8899999999999994e-87,259.0,311,0.9389067524115756,<=>
366,Synpcc7942_0184,USA300HOU_RS03590,32.353,340,206,9,22,358,14,332,1.67e-39,139.0,363,0.9366391184573003,<=>
367,Synpcc7942_0185,USA300HOU_RS01070,26.866,536,350,15,2,503,13,540,7.379999999999999e-33,129.0,508,1.0551181102362204,<=>
370,Synpcc7942_0189,USA300HOU_RS02070,55.854,521,218,3,56,575,4,513,0.0,609.0,575,0.9060869565217391,<=>
374,Synpcc7942_0191,USA300HOU_RS09140,36.828,372,230,4,6,374,7,376,2.3099999999999997e-83,256.0,382,0.9738219895287958,<=>
375,Synpcc7942_0194,USA300HOU_RS08955,34.828,959,526,20,8,953,4,876,6.279999999999997e-166,504.0,953,1.006295907660021,<=>
380,Synpcc7942_0203,USA300HOU_RS09400,32.075,318,202,4,9,323,1,307,1.19e-55,182.0,368,0.8641304347826086,<=>
384,Synpcc7942_0212,USA300HOU_RS07500,33.784,370,217,8,9,355,1,365,4.94e-49,166.0,362,1.022099447513812,<=>
385,Synpcc7942_0216,USA300HOU_RS11850,29.395,347,215,10,6,336,1,333,1.34e-35,128.0,338,1.0266272189349113,<=>
396,Synpcc7942_0227,USA300HOU_RS02575,37.824,193,110,5,8,198,3,187,4.179999999999999e-42,137.0,208,0.9278846153846154,<=>
398,Synpcc7942_0231,USA300HOU_RS13710,29.518,166,103,9,5,163,1,159,7.77e-08,46.2,174,0.9540229885057471,<=>
399,Synpcc7942_0232,USA300HOU_RS07490,44.523999999999994,420,228,5,28,446,13,428,6.589999999999998e-102,307.0,448,0.9375,<=>
403,Synpcc7942_0241,USA300HOU_RS10300,34.889,450,285,4,11,454,6,453,3.5999999999999993e-103,311.0,455,0.989010989010989,<=>
415,Synpcc7942_0249,USA300HOU_RS09925,50.622,241,118,1,21,261,3,242,1.0699999999999998e-88,259.0,261,0.9233716475095786,<=>
488,Synpcc7942_0254,USA300HOU_RS00030,47.75899999999999,848,408,10,4,848,6,821,0.0,769.0,856,0.9906542056074766,<=>
492,Synpcc7942_0256,USA300HOU_RS12605,37.958,382,213,6,32,406,6,370,1.98e-74,233.0,408,0.9362745098039216,<=>
496,Synpcc7942_0260,USA300HOU_RS02760,58.475,826,325,8,1,820,2,815,0.0,973.0,824,1.0024271844660195,<=>
503,Synpcc7942_0262,USA300HOU_RS07130,37.442,430,251,9,34,456,1,419,7.15e-103,310.0,464,0.9267241379310345,<=>
505,Synpcc7942_0263,USA300HOU_RS11665,33.603,247,159,4,19,264,15,257,5e-41,140.0,306,0.8071895424836601,<=>
506,Synpcc7942_0264,USA300HOU_RS06350,45.992,237,128,0,15,251,18,254,1.3799999999999998e-81,241.0,251,0.9442231075697212,<=>
508,Synpcc7942_0267,USA300HOU_RS14705,38.667,225,132,3,19,241,16,236,2.9899999999999994e-49,158.0,242,0.9297520661157025,<=>
514,Synpcc7942_0273,USA300HOU_RS08945,36.649,191,119,2,14,203,5,194,3.7599999999999996e-37,125.0,209,0.9138755980861244,<=>
516,Synpcc7942_0277,USA300HOU_RS10340,43.328,667,361,4,13,672,4,660,0.0,561.0,679,0.9823269513991163,<=>
518,Synpcc7942_0281,USA300HOU_RS04040,39.799,299,167,4,13,311,4,289,1.7499999999999996e-69,218.0,357,0.8375350140056023,<=>
520,Synpcc7942_0282,USA300HOU_RS11410,64.146,410,145,2,8,416,3,411,0.0,544.0,427,0.9601873536299765,<=>
522,Synpcc7942_0288,USA300HOU_RS02555,44.144,444,242,3,6,445,7,448,1.5899999999999995e-129,379.0,452,0.9823008849557522,<=>
530,Synpcc7942_0290,USA300HOU_RS14040,33.604,369,221,7,7,372,4,351,1.4899999999999997e-64,206.0,378,0.9761904761904762,<=>
531,Synpcc7942_0292,USA300HOU_RS06085,37.783,397,238,5,10,403,2,392,3.4499999999999995e-82,254.0,408,0.9730392156862745,<=>
533,Synpcc7942_0297,USA300HOU_RS02620,50.696999999999996,574,267,7,39,602,37,604,0.0,575.0,613,0.9363784665579119,<=>
550,Synpcc7942_0310,USA300HOU_RS02530,33.452,281,171,3,7,287,5,269,1.3900000000000001e-49,163.0,314,0.8949044585987261,<=>
551,Synpcc7942_0311,USA300HOU_RS02520,33.829,269,167,4,4,266,25,288,7.04e-39,134.0,279,0.96415770609319,<=>
552,Synpcc7942_0315,USA300HOU_RS10360,50.467,428,211,1,1,428,1,427,8.999999999999997e-163,462.0,431,0.9930394431554525,<=>
559,Synpcc7942_0331,USA300HOU_RS11390,31.131999999999998,212,125,7,60,255,36,242,6.250000000000001e-23,90.5,261,0.8122605363984674,<=>
562,Synpcc7942_0335,USA300HOU_RS11375,26.22,164,119,2,9,171,6,168,6.71e-17,70.9,180,0.9111111111111111,<=>
563,Synpcc7942_0336,USA300HOU_RS11370,61.4,500,191,1,2,501,1,498,0.0,628.0,505,0.9900990099009901,<=>
566,Synpcc7942_0337,USA300HOU_RS11365,29.618000000000002,314,194,4,1,314,1,287,1.6600000000000001e-49,163.0,316,0.9936708860759493,<=>
575,Synpcc7942_0348,USA300HOU_RS06475,62.769,325,120,1,11,334,4,328,7.569999999999999e-156,438.0,356,0.9129213483146067,<=>
645,Synpcc7942_0353,USA300HOU_RS12565,39.13,299,178,3,6,304,10,304,6.999999999999999e-61,193.0,320,0.934375,<=>
646,Synpcc7942_0355,USA300HOU_RS06400,33.036,112,73,1,6,117,5,114,1.5799999999999998e-22,82.4,137,0.8175182481751825,<=>
647,Synpcc7942_0358,USA300HOU_RS09285,25.424,177,122,5,32,204,35,205,8.18e-14,64.3,213,0.8309859154929577,<=>
650,Synpcc7942_0368,USA300HOU_RS08140,30.068,439,258,7,48,440,5,440,1.67e-60,200.0,450,0.9755555555555555,<=>
652,Synpcc7942_0370,USA300HOU_RS02320,30.986,426,239,8,6,428,4,377,9.350000000000001e-54,180.0,434,0.9815668202764977,<=>
665,Synpcc7942_0396,USA300HOU_RS05345,46.184,511,255,6,3,513,2,492,8.249999999999997e-161,462.0,513,0.9961013645224172,<=>
666,Synpcc7942_0400,USA300HOU_RS03850,42.051,195,107,3,1,195,1,189,7.98e-48,152.0,200,0.975,<=>
672,Synpcc7942_0404,USA300HOU_RS04080,52.265,287,136,1,9,294,40,326,6.569999999999999e-108,313.0,304,0.944078947368421,<=>
675,Synpcc7942_0408,USA300HOU_RS06980,31.131999999999998,212,129,9,3,208,1,201,1.46e-27,100.0,217,0.9769585253456221,<=>
676,Synpcc7942_0411,USA300HOU_RS06990,34.979,243,153,4,19,261,5,242,2.5299999999999995e-48,157.0,266,0.9135338345864662,<=>
678,Synpcc7942_0419,USA300HOU_RS13125,31.596,307,201,7,9,313,17,316,1.6899999999999998e-49,164.0,320,0.959375,<=>
756,Synpcc7942_0440,USA300HOU_RS03790,31.464000000000002,321,213,5,12,331,43,357,9.389999999999999e-52,174.0,375,0.856,<=>
766,Synpcc7942_0446,USA300HOU_RS06795,45.0,100,44,1,1,100,1,89,1.1999999999999998e-23,83.2,100,1.0,<=>
768,Synpcc7942_0447,USA300HOU_RS07430,40.887,203,118,2,9,210,4,205,1.7499999999999997e-53,168.0,228,0.8903508771929824,<=>
773,Synpcc7942_0449,USA300HOU_RS00045,45.958,433,222,6,16,443,1,426,3.739999999999999e-137,397.0,443,0.9774266365688488,<=>
774,Synpcc7942_0450,USA300HOU_RS04640,54.93,71,32,0,11,81,10,80,3.72e-26,88.6,81,0.8765432098765432,<=>
775,Synpcc7942_0451,USA300HOU_RS13655,23.529,187,134,6,17,198,15,197,5.93e-06,41.6,209,0.8947368421052632,<=>
786,Synpcc7942_0455,USA300HOU_RS08720,55.068000000000005,365,161,1,10,371,1,365,1.4899999999999995e-156,442.0,384,0.9505208333333334,<=>
787,Synpcc7942_0459,USA300HOU_RS00275,39.153,378,217,5,1,369,1,374,9.24e-85,258.0,369,1.024390243902439,<=>
793,Synpcc7942_0463,USA300HOU_RS10205,32.704,159,98,6,3,160,2,152,1.1000000000000001e-23,87.4,163,0.9754601226993865,<=>
797,Synpcc7942_0469,USA300HOU_RS04200,48.047,512,252,3,7,515,4,504,9.789999999999996e-176,501.0,532,0.9624060150375939,<=>
798,Synpcc7942_0471,USA300HOU_RS01105,28.0,275,188,6,8,276,9,279,9.41e-37,128.0,276,0.9963768115942029,<=>
800,Synpcc7942_0473,USA300HOU_RS04740,30.699,329,204,11,17,335,19,333,7.13e-35,128.0,368,0.8940217391304348,<=>
805,Synpcc7942_0479,USA300HOU_RS08450,63.255,596,219,0,8,603,12,607,0.0,803.0,604,0.9867549668874173,<=>
837,Synpcc7942_0487,USA300HOU_RS04790,33.898,177,90,5,31,189,13,180,9.570000000000001e-27,98.2,220,0.8045454545454546,<=>
839,Synpcc7942_0488,USA300HOU_RS06035,32.333,433,262,10,6,422,4,421,2.05e-61,202.0,442,0.9796380090497737,<=>
841,Synpcc7942_0489,USA300HOU_RS10435,48.533,443,226,1,17,457,12,454,1.0699999999999997e-154,443.0,459,0.9651416122004357,<=>
848,Synpcc7942_0492,USA300HOU_RS06410,32.372,312,187,8,10,310,16,314,5.439999999999999e-51,168.0,315,0.9904761904761905,<=>
852,Synpcc7942_0501,USA300HOU_RS11575,25.455,220,142,7,1,207,1,211,2.0799999999999998e-10,54.7,216,1.0185185185185186,<=>
855,Synpcc7942_0502,USA300HOU_RS03675,41.176,170,95,2,10,175,6,174,1.59e-39,129.0,188,0.9042553191489362,<=>
858,Synpcc7942_0504,USA300HOU_RS08855,33.793,435,273,5,1,433,1,422,2.4599999999999997e-71,228.0,438,0.9931506849315068,<=>
859,Synpcc7942_0506,USA300HOU_RS06340,58.19,232,96,1,16,246,7,238,1.3999999999999998e-99,287.0,253,0.9169960474308301,<=>
861,Synpcc7942_0507,USA300HOU_RS06345,47.222,180,95,0,3,182,5,184,1e-58,178.0,182,0.989010989010989,<=>
932,Synpcc7942_0525,USA300HOU_RS07495,31.405,363,235,7,3,365,1,349,1.6699999999999996e-59,192.0,368,0.9864130434782609,<=>
938,Synpcc7942_0534,USA300HOU_RS11625,38.39,646,348,13,1,641,1,601,8.359999999999996e-123,373.0,641,1.0078003120124805,<=>
940,Synpcc7942_0536,USA300HOU_RS06195,60.563,71,28,0,7,77,4,74,4.66e-23,80.5,80,0.8875,<=>
941,Synpcc7942_0537,USA300HOU_RS04880,57.663999999999994,411,173,1,6,416,4,413,6.009999999999998e-175,491.0,417,0.9856115107913669,<=>
942,Synpcc7942_0538,USA300HOU_RS06830,53.846000000000004,663,295,8,9,666,6,662,0.0,699.0,668,0.9925149700598802,<=>
943,Synpcc7942_0542,USA300HOU_RS04580,50.0,292,143,3,4,293,11,301,4.239999999999999e-99,290.0,297,0.9831649831649831,<=>
947,Synpcc7942_0552,USA300HOU_RS11400,46.575,365,193,2,7,370,3,366,3.599999999999999e-120,349.0,372,0.9811827956989247,<=>
950,Synpcc7942_0554,USA300HOU_RS01925,56.318999999999996,364,156,3,2,363,3,365,1.6499999999999995e-145,412.0,363,1.002754820936639,<=>
969,Synpcc7942_0559,USA300HOU_RS02625,37.884,293,176,6,3,293,4,292,2.0799999999999997e-64,201.0,297,0.9865319865319865,<=>
1040,Synpcc7942_0563,USA300HOU_RS04105,59.422,658,261,3,3,659,6,658,0.0,816.0,666,0.987987987987988,<=>
1053,Synpcc7942_0564,USA300HOU_RS12770,40.952,210,121,2,16,224,12,219,1.5699999999999996e-42,140.0,237,0.8860759493670886,<=>
1122,Synpcc7942_0572,USA300HOU_RS12625,27.82,133,77,4,10,141,2,116,5.76e-07,42.7,146,0.910958904109589,<=>
1134,Synpcc7942_0584,USA300HOU_RS12640,37.719,228,138,3,10,236,1,225,3.4899999999999993e-45,147.0,241,0.946058091286307,<=>
1143,Synpcc7942_0587,USA300HOU_RS08810,43.66,907,475,8,7,909,2,876,0.0,831.0,909,0.9977997799779978,<=>
1151,Synpcc7942_0592,USA300HOU_RS09010,34.375,320,188,6,3,319,1,301,9.819999999999999e-54,176.0,360,0.8888888888888888,<=>
1155,Synpcc7942_0597,USA300HOU_RS05200,64.158,279,94,2,1,279,1,273,1.0599999999999998e-134,378.0,279,1.0,<=>
1167,Synpcc7942_0604,USA300HOU_RS06140,48.095,210,109,0,28,237,4,213,1.8199999999999997e-70,212.0,247,0.8502024291497976,<=>
1174,Synpcc7942_0611,USA300HOU_RS05720,33.209,807,486,19,9,792,3,779,2.989999999999999e-129,400.0,796,1.013819095477387,<=>
1177,Synpcc7942_0612,USA300HOU_RS08985,42.105,380,208,6,4,379,1,372,8.609999999999997e-100,297.0,386,0.9844559585492227,<=>
1181,Synpcc7942_0616,USA300HOU_RS08435,27.41,332,226,6,6,337,2,318,5.42e-34,124.0,353,0.9405099150141643,<=>
1183,Synpcc7942_0619,USA300HOU_RS13610,31.683000000000003,202,137,1,1,202,1,201,2.41e-41,135.0,211,0.957345971563981,<=>
1244,Synpcc7942_0626,USA300HOU_RS11060,44.66,618,278,11,5,616,2,561,1.0699999999999997e-168,489.0,619,0.9983844911147012,<=>
1245,Synpcc7942_0631,USA300HOU_RS02840,50.0,126,58,2,3,128,2,122,5.75e-20,75.9,128,0.984375,<=>
1246,Synpcc7942_0632,USA300HOU_RS02835,32.278,158,106,1,1,158,1,157,1.53e-26,95.5,175,0.9028571428571428,<=>
1247,Synpcc7942_0633,USA300HOU_RS02830,47.368,228,119,1,4,230,3,230,4.059999999999999e-78,231.0,237,0.9620253164556962,<=>
1248,Synpcc7942_0634,USA300HOU_RS02825,72.66199999999999,139,38,0,1,139,1,139,2.4299999999999994e-74,214.0,141,0.9858156028368794,<=>
1249,Synpcc7942_0635,USA300HOU_RS02820,42.857,182,95,3,22,203,9,181,8.209999999999999e-47,149.0,205,0.8878048780487805,<=>
1257,Synpcc7942_0639,USA300HOU_RS04205,61.373999999999995,422,154,2,9,421,4,425,0.0,512.0,430,0.9813953488372092,<=>
1320,Synpcc7942_0641,USA300HOU_RS05745,35.974000000000004,606,349,14,36,634,6,579,2.8299999999999997e-111,343.0,635,0.9543307086614173,<=>
1335,Synpcc7942_0645,USA300HOU_RS08830,57.746,426,179,1,28,453,2,426,9.139999999999998e-176,496.0,453,0.9403973509933775,<=>
1341,Synpcc7942_0649,USA300HOU_RS08330,51.585,347,117,5,58,398,66,367,9.469999999999998e-114,333.0,399,0.8696741854636592,<=>
1344,Synpcc7942_0651,USA300HOU_RS06090,38.246,821,454,14,11,803,3,798,0.0,540.0,806,1.0186104218362282,<=>
1353,Synpcc7942_0669,USA300HOU_RS12680,27.749000000000002,191,114,10,9,180,3,188,2.7e-09,51.2,194,0.9845360824742269,<=>
1354,Synpcc7942_0670,USA300HOU_RS06030,35.714,322,169,7,7,325,2,288,6.910000000000001e-60,191.0,338,0.9526627218934911,<=>
