,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,BSU_00010,SYNPCC7942_RS05640,47.02,453,222,4,7,445,28,476,1.9799999999999997e-151,435.0,446,1.015695067264574,<=>
1,BSU_00020,SYNPCC7942_RS00005,28.721,383,255,8,1,376,16,387,1.15e-49,168.0,378,1.0132275132275133,<=>
2,BSU_00030,SYNPCC7942_RS00400,40.678000000000004,59,35,0,5,63,1,59,3.17e-09,44.7,71,0.8309859154929577,<=>
3,BSU_00040,SYNPCC7942_RS11435,35.294000000000004,374,229,5,1,368,1,367,7.419999999999999e-57,187.0,370,1.0108108108108107,<=>
5,BSU_00060,SYNPCC7942_RS12640,58.571000000000005,630,253,4,6,627,3,632,0.0,718.0,638,0.987460815047022,<=>
6,BSU_00070,SYNPCC7942_RS01295,48.888999999999996,855,398,8,1,821,1,850,0.0,829.0,821,1.0414129110840438,<=>
14,BSU_00130,SYNPCC7942_RS02295,50.698,430,205,4,1,425,1,428,3.299999999999999e-154,439.0,425,1.011764705882353,<=>
20,BSU_00180,SYNPCC7942_RS09415,40.411,146,87,0,7,152,20,165,3.1399999999999995e-37,122.0,161,0.906832298136646,<=>
26,BSU_00210,SYNPCC7942_RS07005,53.571000000000005,196,90,1,3,198,5,199,3.319999999999999e-72,214.0,198,0.98989898989899,<=>
27,BSU_00270,SYNPCC7942_RS03625,34.946999999999996,475,268,16,1,453,1,456,3.809999999999999e-69,225.0,480,0.9895833333333334,<=>
28,BSU_00280,SYNPCC7942_RS00470,31.308000000000003,214,138,3,3,209,4,215,7.42e-37,124.0,212,1.009433962264151,<=>
31,BSU_00360,SYNPCC7942_RS00885,43.382,272,144,3,17,285,9,273,2.689999999999999e-77,234.0,292,0.9315068493150684,<=>
41,BSU_00390,SYNPCC7942_RS07775,35.798,257,159,4,2,254,3,257,1.55e-53,171.0,255,1.007843137254902,<=>
42,BSU_00420,SYNPCC7942_RS01585,34.444,270,166,4,23,287,4,267,7.27e-39,134.0,292,0.9246575342465754,<=>
43,BSU_00460,SYNPCC7942_RS01580,35.165,273,161,4,7,263,8,280,1.48e-44,150.0,289,0.9446366782006921,<=>
45,BSU_00480,SYNPCC7942_RS04995,58.14,129,49,5,1,124,1,129,1.1999999999999998e-44,138.0,125,1.032,<=>
47,BSU_00500,SYNPCC7942_RS01465,41.441,444,254,2,8,449,6,445,1.3199999999999996e-119,353.0,456,0.9736842105263158,<=>
53,BSU_00510,SYNPCC7942_RS10710,55.449,312,137,2,7,316,19,330,3.119999999999999e-127,363.0,317,0.9842271293375394,<=>
54,BSU_00530,SYNPCC7942_RS01155,43.75,192,101,3,3,187,8,199,2.0199999999999998e-57,176.0,188,1.0212765957446808,<=>
55,BSU_00550,SYNPCC7942_RS06780,37.976,1077,615,16,30,1090,31,1070,0.0,733.0,1177,0.9150382327952421,<=>
67,BSU_00690,SYNPCC7942_RS01515,51.55,613,278,8,1,603,1,604,0.0,621.0,637,0.9623233908948194,<=>
75,BSU_00710,SYNPCC7942_RS02845,40.484,289,165,5,2,285,3,289,9.389999999999998e-66,204.0,291,0.993127147766323,<=>
76,BSU_00730,SYNPCC7942_RS07500,58.199,311,124,5,1,306,14,323,4.4499999999999995e-105,306.0,308,1.0097402597402598,<=>
81,BSU_00740,SYNPCC7942_RS05145,38.413000000000004,479,261,10,16,462,30,506,6.829999999999999e-100,305.0,470,1.0191489361702128,<=>
84,BSU_00750,SYNPCC7942_RS02040,55.729,192,78,2,1,185,1,192,8.05e-76,223.0,194,0.9896907216494846,<=>
89,BSU_00770,SYNPCC7942_RS11705,44.68899999999999,273,141,5,17,279,5,277,2.3199999999999995e-68,210.0,285,0.9578947368421052,<=>
90,BSU_00780,SYNPCC7942_RS00200,31.092,119,82,0,1,119,1,119,5.52e-19,73.2,120,0.9916666666666667,<=>
92,BSU_00810,SYNPCC7942_RS01440,36.335,322,196,5,2,322,19,332,1.02e-56,184.0,333,0.9669669669669669,<=>
94,BSU_00820,SYNPCC7942_RS12270,53.226000000000006,496,221,4,11,497,1,494,0.0,543.0,499,0.9939879759519038,<=>
98,BSU_00860,SYNPCC7942_RS01325,62.068999999999996,812,296,8,2,803,1,810,0.0,1000.0,810,1.002469135802469,<=>
102,BSU_00870,SYNPCC7942_RS07430,49.21,443,208,4,1,427,1,442,7.869999999999997e-150,432.0,458,0.9672489082969432,<=>
105,BSU_00890,SYNPCC7942_RS12110,38.978,372,207,6,1,365,25,383,6.429999999999998e-79,243.0,366,1.0163934426229508,<=>
