,"gene","target","PID","alnLength","mismatchCount","gapOpenCount","queryStart","queryEnd","subjectStart","subjectEnd","eVal","bitScore","gene_length","COV","BBH"
0,"SYNPCC7942_RS00005","b3701",26.738,374,265,5,16,388,1,366,9.15E-40,142,390,0.958974358974359,"<=>"
3,"SYNPCC7942_RS00020","b2312",39.232,469,259,13,27,473,2,466,4.4E-102,312,493,0.95131845841785,"<=>"
5,"SYNPCC7942_RS00045","b3172",29.351,385,245,11,4,368,11,388,3.07E-36,134,400,0.9625,"<=>"
12,"SYNPCC7942_RS00075","b0804",45.089,224,122,1,1,223,1,224,3E-57,178,223,1.00448430493274,"<=>"
14,"SYNPCC7942_RS00090","b4477",31.792,173,115,3,14,184,9,180,7.22E-20,80.1,187,0.925133689839572,"<=>"
15,"SYNPCC7942_RS00095","b3559",35.714,714,411,13,4,712,6,676,4.43E-124,383,728,0.980769230769231,"<=>"
16,"SYNPCC7942_RS00100","b2763",35.517,580,331,12,3,569,8,557,2.73E-117,358,624,0.92948717948718,"<=>"
19,"SYNPCC7942_RS00135","b1771",32.024,331,187,10,9,315,6,322,2.69E-38,135,325,1.01846153846154,"<=>"
28,"SYNPCC7942_RS00140","b0776",39.377,353,208,4,35,383,30,380,5.13E-67,214,388,0.90979381443299,"<=>"
31,"SYNPCC7942_RS00150","b0777",28.017,232,139,11,18,237,18,233,0.000284,38.1,273,0.84981684981685,"<=>"
32,"SYNPCC7942_RS00155","b0778",35.071,211,116,7,8,198,3,212,1.83E-24,93.6,210,1.0047619047619,"<=>"
34,"SYNPCC7942_RS00160","b0774",39.192,421,232,9,6,417,12,417,3.73E-89,274,424,0.992924528301887,"<=>"
43,"SYNPCC7942_RS00195","b2029",57.839,472,193,5,1,471,1,467,0,546,471,1.00212314225053,"<=>"
48,"SYNPCC7942_RS00200","b3058",24.793,121,88,2,1,121,1,118,3.29E-10,51.2,125,0.968,"<=>"
51,"SYNPCC7942_RS00210","b3637",42.254,71,41,0,1,71,1,71,7.4E-13,55.1,78,0.91025641025641,"<=>"
71,"SYNPCC7942_RS00320","b1718",49.091,165,83,1,18,181,14,178,1.95E-44,142,184,0.896739130434783,"<=>"
166,"SYNPCC7942_RS00350","b2253",36.649,382,214,7,24,393,18,383,2.09E-63,205,399,0.957393483709273,"<=>"
