locus_tag,old_locus_tag,marie_annot,marie_gene_name,marie_product,gene_name,cycbio_gene_product,old_gene_name,old_gene_product,COG,uniprot,operon,accession,start,stop,strand
SYNPCC7942_RS00005,Synpcc7942_0001,SE_01,dnaN,"DNA polymerase III, beta subunit",SYNPCC7942_RS00005,SYNPCC7942_RS00005,SYNPCC7942_RS00005,DNA polymerase III subunit beta,"Replication, recombination and repair",UPI000049B79B,Op1,NC_007604.1,65,1237,+
SYNPCC7942_RS00010,Synpcc7942_0002,SE_02,SE_02,hypothetical protein,SYNPCC7942_0002,hypothetical protein,SYNPCC7942_RS00010,hypothetical protein,Function unknown,A0A0H3K3Q0,Op1,NC_007604.1,1262,2134,+
SYNPCC7942_RS00015,Synpcc7942_0003,SE_03,purL,phosphoribosylformylglycinamidine synthase,purL,phosphoribosylformylglycinamidine synthase II,purL,phosphoribosylformylglycinamidine synthase subunit PurL,Nucleotide transport and metabolism,Q55041,Op2,NC_007604.1,2178,4511,+
SYNPCC7942_RS00020,Synpcc7942_0004,SE_04,purF,amidophosphoribosyltransferase,purF,amidophosphoribosyltransferase,SYNPCC7942_RS00020,amidophosphoribosyltransferase,Nucleotide transport and metabolism,A0A0H3K6A8,Op2,NC_007604.1,4596,6077,+
SYNPCC7942_RS00025,Synpcc7942_0005,SE_05,SE_05,"putative MFS transporter, AGZA family, xanthine/uracil permease",SYNPCC7942_0005,conserved hypothetical protein,SYNPCC7942_RS00025,permease,Inorganic ion transport and metabolism,Q31SD2,Op3,NC_007604.1,6111,7706,-
SYNPCC7942_RS00030,Synpcc7942_0006,SE_06,SE_06,hypothetical protein,SYNPCC7942_0006,hypothetical protein,SYNPCC7942_RS00030,hypothetical protein,No COG annotation,A0A0H3K345,Op4,NC_007604.1,7779,8192,-
SYNPCC7942_RS00035,Synpcc7942_0007,SE_07,SE_07,hypothetical protein,SYNPCC7942_0007,hypothetical protein,SYNPCC7942_RS00035,YtxH domain-containing protein,Function unknown,Q31SD0,Op4,NC_007604.1,8189,8539,-
SYNPCC7942_RS00040,Synpcc7942_0008,SE_08,SE_08,hypothetical protein,SYNPCC7942_0008,conserved hypothetical protein,SYNPCC7942_RS00040,hypothetical protein,No COG annotation,Q31SC9,Op4,NC_007604.1,8536,8859,-
SYNPCC7942_RS00045,Synpcc7942_0009,SE_09,argG,argininosuccinate synthase,argG,argininosuccinate synthase,SYNPCC7942_RS00045,argininosuccinate synthase,Nucleotide transport and metabolism,Q31SC8,Op5,NC_007604.1,8964,10166,+
SYNPCC7942_RS00050,Synpcc7942_0010,SE_10,SE_10,DedA family protein,SYNPCC7942_0010,conserved hypothetical protein,SYNPCC7942_RS00050,DedA family protein,Function unknown,A0A0H3K6A2,Op6,NC_007604.1,10252,10878,-
