,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
5,SYNPCC7942_RS00320,MPN_RS00655,28.313000000000002,166,118,1,17,181,35,200,2.6400000000000002e-24,89.7,184,0.9021739130434783,<=>
6,SYNPCC7942_RS00335,MPN_RS01870,24.739,287,195,8,1,271,6,287,4.14e-30,111.0,317,0.9053627760252366,<=>
27,SYNPCC7942_RS00405,MPN_RS00110,32.634,524,334,6,74,585,111,627,4.11e-85,273.0,593,0.8836424957841484,<=>
59,SYNPCC7942_RS00590,MPN_RS01325,33.263000000000005,475,295,9,11,482,4,459,1.8499999999999996e-93,287.0,494,0.9615384615384616,<=>
60,SYNPCC7942_RS00725,MPN_RS02205,37.003,327,200,4,1,322,1,326,2.67e-57,183.0,326,1.0030674846625767,<=>
62,SYNPCC7942_RS00810,MPN_RS03255,27.586,290,188,10,20,297,6,285,1.94e-22,90.1,311,0.932475884244373,<=>
68,SYNPCC7942_RS00885,MPN_RS00390,32.0,275,178,5,9,278,4,274,6.659999999999999e-40,135.0,292,0.9417808219178082,<=>
92,SYNPCC7942_RS01045,MPN_RS00245,32.516999999999996,449,244,14,3,410,12,442,1.68e-61,202.0,462,0.9718614718614719,<=>
95,SYNPCC7942_RS01155,MPN_RS01240,41.243,177,95,3,4,180,2,169,2.8800000000000003e-43,139.0,208,0.8509615384615384,<=>
122,SYNPCC7942_RS01295,MPN_RS00020,42.604,845,449,7,3,846,16,825,0.0,697.0,856,0.9871495327102804,<=>
132,SYNPCC7942_RS01410,MPN_RS01995,38.16,663,388,9,16,667,3,654,4.9099999999999985e-148,440.0,679,0.9764359351988218,<=>
134,SYNPCC7942_RS01435,MPN_RS03295,54.3,407,182,1,13,419,2,404,4.549999999999998e-162,457.0,427,0.9531615925058547,<=>
141,SYNPCC7942_RS01585,MPN_RS03825,27.636,275,178,6,2,272,6,263,5.84e-22,87.4,279,0.985663082437276,<=>
142,SYNPCC7942_RS01630,MPN_RS01420,36.308,325,191,10,4,318,6,324,1.11e-52,172.0,332,0.9789156626506024,<=>
145,SYNPCC7942_RS01710,MPN_RS03420,52.906000000000006,499,234,1,7,505,6,503,0.0,553.0,505,0.9881188118811881,<=>
147,SYNPCC7942_RS01715,MPN_RS03415,23.779,307,197,8,1,305,1,272,8.800000000000001e-19,79.7,316,0.9715189873417721,<=>
148,SYNPCC7942_RS01770,MPN_RS02795,44.755,286,156,2,43,326,37,322,3.389999999999999e-88,264.0,356,0.8033707865168539,<=>
171,SYNPCC7942_RS01805,MPN_RS00890,22.881,118,87,3,1,118,1,114,1.3800000000000002e-05,37.0,137,0.8613138686131386,<=>
208,SYNPCC7942_RS02295,MPN_RS00025,39.675,431,245,6,1,428,1,419,6.589999999999998e-104,310.0,428,1.0070093457943925,<=>
210,SYNPCC7942_RS02340,MPN_RS03235,26.074,349,227,12,29,369,26,351,1.21e-17,77.8,369,0.94579945799458,<=>
211,SYNPCC7942_RS02390,MPN_RS03565,42.023,514,276,6,9,514,5,504,8.559999999999997e-138,404.0,532,0.9661654135338346,<=>
213,SYNPCC7942_RS02440,MPN_RS01540,52.098,572,272,2,8,579,5,574,0.0,628.0,604,0.9470198675496688,<=>
218,SYNPCC7942_RS02505,MPN_RS00900,30.363000000000003,303,169,12,15,312,4,269,5.179999999999999e-23,91.3,315,0.9619047619047619,<=>
220,SYNPCC7942_RS02570,MPN_RS03585,30.666999999999998,225,153,3,7,229,4,227,1.6399999999999998e-33,116.0,242,0.9297520661157025,<=>
221,SYNPCC7942_RS02575,MPN_RS03600,32.044000000000004,181,107,3,9,182,13,184,9.46e-29,100.0,182,0.9945054945054945,<=>
243,SYNPCC7942_RS02675,MPN_RS00780,25.436,287,175,12,9,275,28,295,4.9100000000000005e-15,68.9,293,0.9795221843003413,<=>
244,SYNPCC7942_RS02725,MPN_RS02300,32.5,80,45,3,1,72,1,79,0.000113,32.3,80,1.0,<=>
245,SYNPCC7942_RS02735,MPN_RS00445,34.551,657,409,14,15,666,6,646,7.489999999999998e-117,359.0,668,0.9835329341317365,<=>
247,SYNPCC7942_RS02820,MPN_RS00145,43.466,352,192,6,1,347,1,350,3.47e-90,270.0,363,0.9696969696969697,<=>
272,SYNPCC7942_RS02865,MPN_RS01190,47.59,664,326,7,4,665,11,654,0.0,616.0,666,0.996996996996997,<=>
