,"gene","target","PID","alnLength","mismatchCount","gapOpenCount","queryStart","queryEnd","subjectStart","subjectEnd","eVal","bitScore","gene_length","COV","BBH"
21,"SCO0086","SYNPCC7942_RS07970",32.646,291,170,7,4,284,7,281,2.76E-30,112,312,0.932692307692308,"<=>"
104,"SCO0163","SYNPCC7942_RS00750",28.266,467,311,7,17,467,28,486,2.44E-39,146,508,0.919291338582677,"<=>"
131,"SCO0184","SYNPCC7942_RS06005",35.976,492,291,9,3,482,6,485,5.37E-99,307,604,0.814569536423841,"<=>"
136,"SCO0186","SYNPCC7942_RS08770",25.202,496,296,22,31,483,30,493,6.88E-07,47.8,523,0.948374760994264,"<=>"
142,"SCO0189","SYNPCC7942_RS07730",23.636,495,321,19,37,492,3,479,4.62E-06,45.1,522,0.948275862068966,"<=>"
155,"SCO0194","SYNPCC7942_RS10165",36.257,171,101,3,23,189,22,188,4.76E-27,98.6,202,0.846534653465347,"<=>"
279,"SCO0304","SYNPCC7942_RS12925",28.125,128,75,5,1,120,1,119,4.28E-05,37,122,1.04918032786885,"<=>"
375,"SCO0333","SYNPCC7942_RS00995",30.544,478,278,19,61,501,26,486,1.09E-41,152,503,0.950298210735586,"<=>"
471,"SCO0392","SYNPCC7942_RS00285",47.912,407,201,5,4,405,5,405,7.7E-128,372,416,0.978365384615385,"<=>"
472,"SCO0393","SYNPCC7942_RS00310",35.472,265,154,6,1,256,1,257,7.77E-51,164,269,0.985130111524164,"<=>"
485,"SCO0400","SYNPCC7942_RS00290",41.279,172,98,3,9,177,10,181,4.77E-35,118,183,0.939890710382513,"<=>"
494,"SCO0419","anL16",41.441,333,181,6,1,328,1,324,4.29E-62,197,329,1.01215805471125,"<=>"
553,"SCO0470","SYNPCC7942_RS01370",33.333,267,139,11,48,285,22,278,5.94E-21,87,302,0.884105960264901,"<=>"
818,"SCO0549","SYNPCC7942_RS02725",37.037,81,46,2,7,85,3,80,5.31E-12,52.8,92,0.880434782608696,"<=>"
846,"SCO0560","SYNPCC7942_RS08445",57.634,727,286,6,20,739,8,719,0,840,740,0.982432432432432,"<=>"
886,"SCO0617","SYNPCC7942_RS10545",61.381,782,295,4,36,813,16,794,0,978,817,0.957160342717258,"<=>"
889,"SCO0619","SYNPCC7942_RS04810",35.16,219,129,4,31,237,29,246,1.08E-12,62.4,247,0.88663967611336,"<=>"
892,"SCO0621","SYNPCC7942_RS04815",36.313,179,101,6,2,177,12,180,1.5E-27,99.4,194,0.922680412371134,"<=>"
900,"SCO0628","SYNPCC7942_RS00220",28.247,616,294,23,6,503,35,620,1.28E-35,137,532,1.15789473684211,"<=>"
990,"SCO0648","SYNPCC7942_RS05605",24.752,202,139,4,23,220,17,209,1.08E-10,55.8,231,0.874458874458875,"<=>"
1016,"SCO0674","SYNPCC7942_RS07165",32.329,365,215,10,5,340,6,367,4.76E-61,199,450,0.811111111111111,"<=>"
1202,"SCO0741","SYNPCC7942_RS02340",37.568,370,214,9,6,362,4,369,1.04E-65,209,362,1.02209944751381,"<=>"
1248,"SCO0749","SYNPCC7942_RS10645",42.69,342,173,6,1,321,1,340,8.45E-85,256,324,1.05555555555556,"<=>"
1358,"SCO0771","SYNPCC7942_RS05335",63.448,145,50,1,2,143,3,147,5.66E-59,176,145,1,"<=>"
1379,"SCO0801","SYNPCC7942_RS06995",28.188,447,273,19,30,463,2,413,3.12E-24,101,527,0.84819734345351,"<=>"
1611,"SCO0842","SYNPCC7942_RS00570",32.914,477,283,13,1,452,1,465,1E-69,226,458,1.04148471615721,"<=>"
1618,"SCO0852","SYNPCC7942_RS00090",39.011,182,109,2,2,182,4,184,1.78E-33,115,210,0.866666666666667,"<=>"
1630,"SCO0870","SYNPCC7942_RS06930",47.857,140,70,1,9,145,6,145,1.88E-42,134,149,0.939597315436242,"<=>"
1740,"SCO0907","SYNPCC7942_RS09420",28.269,283,191,6,9,286,5,280,6.96E-21,86.7,296,0.956081081081081,"<=>"
1765,"SCO0922","SYNPCC7942_RS07835",57.202,243,103,1,1,242,6,248,4.17E-102,293,248,0.979838709677419,"<=>"
1766,"SCO0923","SYNPCC7942_RS03290",62.107,636,238,2,13,648,2,634,0,796,649,0.979969183359014,"<=>"
1769,"SCO0925","SYNPCC7942_RS06365",35.254,295,182,5,1,289,1,292,2.74E-37,131,294,1.00340136054422,"<=>"
1808,"SCO0948","SYNPCC7942_RS08670",30.058,855,497,20,214,1004,191,1008,1.93E-101,338,1007,0.849056603773585,"<=>"
1809,"SCO0950","SYNPCC7942_RS02405",41.434,251,147,0,56,306,26,276,7.69E-67,207,306,0.820261437908497,"<=>"
1813,"SCO0951","SYNPCC7942_RS02675",46.619,281,140,5,29,303,9,285,2.07E-71,219,310,0.906451612903226,"<=>"
1816,"SCO0952","SYNPCC7942_RS12280",32.378,349,223,7,40,381,28,370,1.24E-48,167,430,0.811627906976744,"<=>"
1817,"SCO0954","SYNPCC7942_RS01175",40.625,160,94,1,2,160,5,164,1.68E-40,130,160,1,"<=>"
1821,"SCO0961","SYNPCC7942_RS03095",31.151,443,242,12,7,406,3,425,1.82E-62,204,406,1.09113300492611,"<=>"
1851,"SCO0975","SYNPCC7942_RS00195",52.35,468,218,5,6,470,5,470,1.11E-178,506,479,0.977035490605428,"<=>"
1991,"SCO1050","SYNPCC7942_RS11035",32.727,165,106,3,30,192,7,168,1.08E-21,84,200,0.825,"<=>"
2044,"SCO1073","SYNPCC7942_RS02580",33.616,354,198,12,16,357,3,331,1.15E-28,112,422,0.838862559241706,"<=>"
2053,"SCO1085","SYNPCC7942_RS06110",27.727,220,131,8,1,205,28,234,5.49E-10,54.3,242,0.909090909090909,"<=>"
2054,"SCO1086","SYNPCC7942_RS03615",46.073,191,89,5,18,199,6,191,2.98E-48,153,199,0.959798994974874,"<=>"
2056,"SCO1092","SYNPCC7942_RS03275",30.579,121,73,4,9,118,6,126,7.82E-06,39.3,130,0.930769230769231,"<=>"
2069,"SCO1103","SYNPCC7942_RS12730",29.851,201,125,6,4,196,7,199,7.71E-17,72.8,229,0.877729257641921,"<=>"
2071,"SCO1106","SYNPCC7942_RS05895",27.189,217,117,7,16,215,18,210,3.89E-14,65.1,218,0.995412844036697,"<=>"
