,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,USA300HOU_RS00005,Synpcc7942_1100,43.45,458,245,6,2,450,24,476,5.259999999999999e-132,386.0,453,1.011037527593819,<=>
1,USA300HOU_RS00010,Synpcc7942_0001,28.721,383,253,9,2,375,16,387,2.6699999999999997e-52,175.0,377,1.0159151193633953,<=>
3,USA300HOU_RS00020,Synpcc7942_2250,36.927,371,227,4,1,368,1,367,1.4799999999999998e-62,201.0,370,1.0027027027027027,<=>
5,USA300HOU_RS00025,Synpcc7942_2491,56.032,630,270,4,12,634,3,632,0.0,664.0,644,0.9782608695652174,<=>
6,USA300HOU_RS00030,Synpcc7942_0254,47.75899999999999,848,408,10,6,821,4,848,0.0,769.0,887,0.9560315670800451,<=>
9,USA300HOU_RS00045,Synpcc7942_0449,45.958,433,222,6,1,426,16,443,3.499999999999999e-137,397.0,428,1.0116822429906542,<=>
11,USA300HOU_RS00075,Synpcc7942_2559,35.616,146,92,2,1,145,5,149,6.71e-24,87.4,148,0.9864864864864865,<=>
12,USA300HOU_RS00080,Synpcc7942_1325,43.871,465,239,6,1,463,7,451,2.939999999999999e-132,386.0,466,0.9978540772532188,<=>
13,USA300HOU_RS00085,Synpcc7942_2409,47.059,425,225,0,1,425,1,425,4.0199999999999996e-151,432.0,427,0.9953161592505855,<=>
58,USA300HOU_RS00275,Synpcc7942_0459,39.153,378,217,5,1,374,1,369,9.109999999999997e-85,258.0,375,1.008,<=>
69,USA300HOU_RS00365,Synpcc7942_1169,22.669,472,283,22,1,409,11,463,7.34e-19,85.9,517,0.9129593810444874,<=>
176,USA300HOU_RS00480,Synpcc7942_1980,24.285999999999998,280,197,6,2,270,10,285,2.43e-14,68.6,286,0.9790209790209791,<=>
205,USA300HOU_RS00675,Synpcc7942_1149,30.421,309,195,12,4,304,1,297,3.18e-33,121.0,326,0.9478527607361963,<=>
275,USA300HOU_RS00835,Synpcc7942_0704,33.333,174,92,4,45,195,19,191,8.93e-22,85.5,208,0.8365384615384616,<=>
286,USA300HOU_RS00910,Synpcc7942_1236,40.773,233,125,4,12,231,31,263,1.3600000000000001e-61,191.0,246,0.9471544715447154,<=>
334,USA300HOU_RS00920,Synpcc7942_1489,32.046,259,161,5,3,249,21,276,3.929999999999999e-37,128.0,253,1.023715415019763,<=>
345,USA300HOU_RS00960,Synpcc7942_1496,32.7,263,166,7,2,254,30,291,1.1599999999999999e-41,141.0,254,1.0354330708661417,<=>
346,USA300HOU_RS00965,Synpcc7942_1896,44.581,406,213,4,19,413,10,414,9.67e-94,284.0,413,0.9830508474576272,<=>
347,USA300HOU_RS00970,Synpcc7942_1433,38.728,346,208,3,2,343,7,352,3.2399999999999997e-80,245.0,343,1.0087463556851313,<=>
348,USA300HOU_RS00975,Synpcc7942_0943,36.455999999999996,395,231,8,8,386,20,410,2.0699999999999998e-79,247.0,394,1.00253807106599,<=>
352,USA300HOU_RS01010,Synpcc7942_2577,41.667,288,168,0,6,293,13,300,6.839999999999999e-72,220.0,298,0.9664429530201343,<=>
354,USA300HOU_RS01050,Synpcc7942_2236,41.379,551,287,7,4,525,5,548,5.189999999999999e-141,414.0,530,1.039622641509434,<=>
447,USA300HOU_RS01070,Synpcc7942_0185,26.866,536,350,15,13,540,2,503,3.55e-33,130.0,668,0.8023952095808383,<=>
453,USA300HOU_RS01090,Synpcc7942_0960,41.927,384,191,5,7,364,37,414,7.719999999999998e-95,285.0,365,1.0520547945205478,<=>
503,USA300HOU_RS01105,Synpcc7942_0471,29.008000000000003,262,176,6,22,279,21,276,3.42e-36,127.0,279,0.9390681003584229,<=>
537,USA300HOU_RS01325,Synpcc7942_0681,27.236,246,133,7,6,232,5,223,2.3300000000000003e-18,77.4,238,1.0336134453781514,<=>
566,USA300HOU_RS01400,Synpcc7942_2339,24.921,317,185,10,4,290,29,322,4.92e-13,65.1,304,1.042763157894737,<=>
570,USA300HOU_RS01440,Synpcc7942_2150,20.629,286,192,9,2,279,25,283,4.4800000000000004e-08,50.1,330,0.8666666666666667,<=>
621,USA300HOU_RS01640,Synpcc7942_1223,20.8,375,258,12,3,343,15,384,9.72e-14,67.8,349,1.0744985673352436,<=>
670,USA300HOU_RS01690,Synpcc7942_2464,38.35,206,121,5,5,207,13,215,1.4899999999999998e-28,103.0,222,0.9279279279279279,<=>
674,USA300HOU_RS01835,Synpcc7942_1578,23.932,234,170,4,3,233,46,274,6.27e-17,74.3,233,1.0042918454935623,<=>
726,USA300HOU_RS01925,Synpcc7942_0554,56.318999999999996,364,156,3,3,365,2,363,1.6099999999999995e-145,412.0,365,0.9972602739726028,<=>
729,USA300HOU_RS01935,Synpcc7942_0012,29.348000000000003,92,64,1,4,95,6,96,5.6600000000000005e-15,61.6,98,0.9387755102040817,<=>
738,USA300HOU_RS02020,Synpcc7942_2309,37.423,163,99,1,22,181,24,186,1.6e-41,135.0,189,0.8624338624338624,<=>
748,USA300HOU_RS02070,Synpcc7942_0189,55.854,521,218,3,4,513,56,575,0.0,609.0,513,1.0155945419103314,<=>
755,USA300HOU_RS02265,Synpcc7942_0956,30.17,411,186,11,4,375,19,367,3.86e-53,177.0,400,1.0275,<=>
769,USA300HOU_RS02320,Synpcc7942_0370,30.516,426,241,8,4,377,6,428,5.78e-46,159.0,380,1.1210526315789473,<=>
827,USA300HOU_RS02375,Synpcc7942_0890,42.422,1511,782,26,15,1454,22,1515,0.0,1131.0,1499,1.008005336891261,<=>
836,USA300HOU_RS02425,Synpcc7942_1369,51.531000000000006,196,94,1,3,198,16,210,1.7899999999999994e-71,212.0,198,0.98989898989899,<=>
837,USA300HOU_RS02450,Synpcc7942_0707,29.019000000000002,479,293,14,1,440,1,471,3.4200000000000003e-44,157.0,445,1.0764044943820226,<=>
838,USA300HOU_RS02455,Synpcc7942_0093,36.126,191,109,6,4,183,6,194,3.79e-35,120.0,205,0.9317073170731708,<=>
842,USA300HOU_RS02505,Synpcc7942_1142,40.26,539,280,14,5,523,4,520,1.2599999999999995e-133,399.0,657,0.8203957382039574,<=>
850,USA300HOU_RS02510,Synpcc7942_1521,35.769,260,160,5,2,257,3,259,1.7999999999999996e-46,152.0,257,1.0116731517509727,<=>
851,USA300HOU_RS02520,Synpcc7942_0311,33.829,269,167,4,25,288,4,266,3.02e-35,125.0,297,0.9057239057239057,<=>
852,USA300HOU_RS02530,Synpcc7942_0310,33.452,281,171,3,5,269,7,287,2.96e-47,157.0,282,0.9964539007092199,<=>
855,USA300HOU_RS02540,Synpcc7942_0972,45.161,124,64,4,2,121,4,127,8.529999999999999e-35,113.0,126,0.9841269841269841,<=>
857,USA300HOU_RS02555,Synpcc7942_0288,44.144,444,242,3,7,448,6,445,1.5299999999999996e-129,379.0,450,0.9866666666666667,<=>
863,USA300HOU_RS02560,Synpcc7942_2113,55.238,315,136,3,8,320,19,330,3.8999999999999994e-122,350.0,321,0.9813084112149533,<=>
864,USA300HOU_RS02575,Synpcc7942_0227,37.824,193,110,5,3,187,8,198,3.6999999999999995e-42,137.0,190,1.0157894736842106,<=>
865,USA300HOU_RS02580,Synpcc7942_1326,37.355,1119,587,21,24,1098,34,1082,0.0,704.0,1168,0.9580479452054794,<=>
873,USA300HOU_RS02620,Synpcc7942_0297,48.693000000000005,612,296,9,1,604,1,602,0.0,588.0,697,0.8780487804878049,<=>
880,USA300HOU_RS02625,Synpcc7942_0559,37.543,293,177,6,4,292,3,293,2.64e-60,190.0,293,1.0,<=>
881,USA300HOU_RS02630,Synpcc7942_1466,53.618,304,135,5,8,306,20,322,6.949999999999999e-92,273.0,310,0.9806451612903225,<=>
884,USA300HOU_RS02635,Synpcc7942_2303,39.313,262,148,3,3,254,12,272,7.720000000000001e-47,154.0,267,0.9812734082397003,<=>
885,USA300HOU_RS02640,Synpcc7942_0040,32.773,119,80,0,3,121,2,120,5.33e-22,80.9,121,0.9834710743801653,<=>
886,USA300HOU_RS02645,Synpcc7942_2272,42.953,149,84,1,6,154,14,161,8.289999999999999e-32,108.0,158,0.9430379746835443,<=>
887,USA300HOU_RS02655,Synpcc7942_2415,52.61,498,223,4,5,493,1,494,0.0,530.0,495,1.006060606060606,<=>
891,USA300HOU_RS02725,Synpcc7942_1725,26.396,394,266,13,2,378,11,397,1.0499999999999999e-27,111.0,460,0.8565217391304348,<=>
894,USA300HOU_RS02760,Synpcc7942_0260,58.475,826,325,8,2,815,1,820,0.0,956.0,818,1.0097799511002445,<=>
898,USA300HOU_RS02770,Synpcc7942_1452,46.875,448,213,4,1,426,1,445,1.1899999999999997e-142,413.0,454,0.986784140969163,<=>
901,USA300HOU_RS02775,Synpcc7942_2383,34.444,360,211,12,1,345,29,378,7.9e-58,188.0,351,1.0256410256410255,<=>
902,USA300HOU_RS02780,Synpcc7942_2393,41.213,478,252,10,5,471,3,462,3.0499999999999997e-116,347.0,484,0.987603305785124,<=>
904,USA300HOU_RS02785,Synpcc7942_2420,54.106,207,87,2,3,202,1,206,1.7499999999999996e-71,214.0,215,0.9627906976744186,<=>
907,USA300HOU_RS02790,Synpcc7942_1662,42.917,480,253,9,2,465,3,477,6.909999999999997e-135,394.0,466,1.0300429184549356,<=>
912,USA300HOU_RS02805,Synpcc7942_1640,27.451,153,99,4,6,153,5,150,3.14e-12,58.2,174,0.8793103448275862,<=>
914,USA300HOU_RS02820,Synpcc7942_0635,42.857,182,95,3,9,181,22,203,7.07e-47,149.0,182,1.0,<=>
915,USA300HOU_RS02825,Synpcc7942_0634,72.66199999999999,139,38,0,1,139,1,139,2.3399999999999997e-74,214.0,140,0.9928571428571429,<=>
916,USA300HOU_RS02830,Synpcc7942_0633,47.368,228,119,1,3,230,4,230,3.8199999999999993e-78,231.0,230,0.991304347826087,<=>
917,USA300HOU_RS02835,Synpcc7942_0632,32.278,158,106,1,1,157,1,158,1.4e-26,95.5,166,0.9518072289156626,<=>
918,USA300HOU_RS02840,Synpcc7942_0631,51.586999999999996,126,56,2,2,122,3,128,5.08e-21,78.6,122,1.0327868852459017,<=>
927,USA300HOU_RS02865,Synpcc7942_0887,66.176,136,33,1,1,136,1,123,2.1e-61,181.0,137,0.9927007299270073,<=>
928,USA300HOU_RS02870,Synpcc7942_0886,58.974,156,64,0,1,156,1,156,2.3099999999999997e-68,201.0,156,1.0,<=>
929,USA300HOU_RS02875,Synpcc7942_0885,59.339,696,275,4,1,692,1,692,0.0,867.0,693,1.0043290043290043,<=>
938,USA300HOU_RS02880,Synpcc7942_0884,71.149,409,103,3,1,394,1,409,0.0,571.0,394,1.0380710659898478,<=>
947,USA300HOU_RS02890,Synpcc7942_0027,32.102,352,230,4,33,382,36,380,4.329999999999999e-59,193.0,395,0.8911392405063291,<=>
950,USA300HOU_RS02910,Synpcc7942_1029,30.063000000000002,316,179,10,47,351,13,297,1.89e-32,119.0,358,0.88268156424581,<=>
954,USA300HOU_RS02930,Synpcc7942_1856,45.205,146,80,0,7,152,20,165,8.079999999999999e-39,126.0,156,0.9358974358974359,<=>
970,USA300HOU_RS02985,Synpcc7942_1103,34.321999999999996,236,149,3,1,235,1,231,1.9699999999999998e-35,123.0,252,0.9365079365079365,<=>
971,USA300HOU_RS03000,Synpcc7942_2613,25.570999999999998,219,128,6,7,211,66,263,1.28e-14,67.4,215,1.0186046511627906,<=>
