locus_tag,old_locus_tag,new_annot,gene_name,new_product,cycbio_gene_name,cycbio_gene_product,COG,uniprot,start,end,strand,operon,accession
SYNPCC7942_RS00005,Synpcc7942_0001,SE_01,dnaN,"DNA polymerase III, beta subunit",SYNPCC7942_RS00005,SYNPCC7942_RS00005,"Replication, recombination and repair",UPI000049B79B,65,1237,+,,
SYNPCC7942_RS00010,Synpcc7942_0002,SE_02,SE_02,hypothetical protein,SYNPCC7942_0002,hypothetical protein,Function unknown,A0A0H3K3Q0,1262,2134,+,,
SYNPCC7942_RS00015,Synpcc7942_0003,SE_03,purL,phosphoribosylformylglycinamidine synthase,purL,phosphoribosylformylglycinamidine synthase II,Nucleotide transport and metabolism,Q55041,2178,4511,+,,
SYNPCC7942_RS00020,Synpcc7942_0004,SE_04,purF,amidophosphoribosyltransferase,purF,amidophosphoribosyltransferase,Nucleotide transport and metabolism,A0A0H3K6A8,4596,6077,+,,
SYNPCC7942_RS00025,Synpcc7942_0005,SE_05,SE_05,"putative MFS transporter, AGZA family, xanthine/uracil permease",SYNPCC7942_0005,conserved hypothetical protein,Inorganic ion transport and metabolism,Q31SD2,6111,7706,-,,
SYNPCC7942_RS00030,Synpcc7942_0006,SE_06,SE_06,hypothetical protein,SYNPCC7942_0006,hypothetical protein,No COG annotation,A0A0H3K345,7779,8192,-,,
SYNPCC7942_RS00035,Synpcc7942_0007,SE_07,SE_07,hypothetical protein,SYNPCC7942_0007,hypothetical protein,Function unknown,Q31SD0,8189,8539,-,,
SYNPCC7942_RS00040,Synpcc7942_0008,SE_08,SE_08,hypothetical protein,SYNPCC7942_0008,conserved hypothetical protein,No COG annotation,Q31SC9,8536,8859,-,,
SYNPCC7942_RS00045,Synpcc7942_0009,SE_09,argG,argininosuccinate synthase,argG,argininosuccinate synthase,Nucleotide transport and metabolism,Q31SC8,8964,10166,+,,
SYNPCC7942_RS00050,Synpcc7942_0010,SE_10,SE_10,DedA family protein,SYNPCC7942_0010,conserved hypothetical protein,Function unknown,A0A0H3K6A2,10252,10878,-,,
SYNPCC7942_RS00055,Synpcc7942_0011,SE_11,SE_11,hypothetical protein,SYNPCC7942_0011,conserved hypothetical protein,No COG annotation,UPI00003A077D,10998,11489,-,,
SYNPCC7942_RS00060,Synpcc7942_0012,SE_12,rpsF,30S ribosomal protein S6,rpsF,30S ribosomal subunit protein S6,"Translation, ribosomal structure and biogenesis",Q31SC5,11641,11964,-,,
SYNPCC7942_RS00065,Synpcc7942_0013,SE_13,SE_13,hypothetical protein,SYNPCC7942_0013,conserved hypothetical protein,No COG annotation,A0A0H3K340,12321,13028,+,,
