,new_locus_tag,old_locus_tag,start,end,strand,ncbi_gene_name,gene_name,biocyc_gene_name,Deutschbauer_gene,gene_product_old,gene_product,Deutschbauer_product,KEGG_ko
0,SYNPCC7942_RS00005,Synpcc7942_0001,65,1237,+,SYNPCC7942_RS00005,SYNPCC7942_RS00005,SYNPCC7942_RS00005,,DNA polymerase III subunit beta,SYNPCC7942_RS00005,,K02338
1,SYNPCC7942_RS00010,Synpcc7942_0002,1262,2134,+,SYNPCC7942_RS00010,SYNPCC7942_RS00010,SYNPCC7942_RS00010,,hypothetical protein,hypothetical protein,,
2,SYNPCC7942_RS00015,Synpcc7942_0003,2178,4511,+,purL,purL,purL,,phosphoribosylformylglycinamidine synthase subunit PurL,phosphoribosylformylglycinamidine synthase II,,K01952
3,SYNPCC7942_RS00020,Synpcc7942_0004,4596,6077,+,SYNPCC7942_RS00020,purF,purF,purF,amidophosphoribosyltransferase,amidophosphoribosyltransferase,amidophosphoribosyltransferase,K00764
4,SYNPCC7942_RS00025,Synpcc7942_0005,6111,7706,-,SYNPCC7942_RS00025,SYNPCC7942_RS00025,SYNPCC7942_RS00025,,permease,conserved hypothetical protein,,K06901
5,SYNPCC7942_RS00030,Synpcc7942_0006,7779,8192,-,SYNPCC7942_RS00030,SYNPCC7942_RS00030,SYNPCC7942_RS00030,,hypothetical protein,hypothetical protein,,
6,SYNPCC7942_RS00035,Synpcc7942_0007,8189,8539,-,SYNPCC7942_RS00035,SYNPCC7942_RS00035,SYNPCC7942_RS00035,,hypothetical protein,hypothetical protein,,
7,SYNPCC7942_RS00040,Synpcc7942_0008,8536,8859,-,SYNPCC7942_RS00040,SYNPCC7942_RS00040,SYNPCC7942_RS00040,,hypothetical protein,conserved hypothetical protein,,
8,SYNPCC7942_RS00045,Synpcc7942_0009,8964,10166,+,SYNPCC7942_RS00045,argG,argG,argG,argininosuccinate synthase,argininosuccinate synthase,argininosuccinate synthase,K01940
9,SYNPCC7942_RS00050,Synpcc7942_0010,10252,10878,-,SYNPCC7942_RS00050,SYNPCC7942_RS00050,SYNPCC7942_RS00050,,DedA family protein,conserved hypothetical protein,,
10,SYNPCC7942_RS00055,Synpcc7942_0011,10998,11489,-,SYNPCC7942_RS00055,SYNPCC7942_RS00055,SYNPCC7942_RS00055,,hypothetical protein,conserved hypothetical protein,,
11,SYNPCC7942_RS00060,Synpcc7942_0012,11641,11964,-,SYNPCC7942_RS00060,rpsF,rpsF,rpsF,30S ribosomal protein S6,30S ribosomal subunit protein S6,30S ribosomal protein S6,K02990
12,SYNPCC7942_RS00065,Synpcc7942_0013,12321,13028,+,SYNPCC7942_RS00065,SYNPCC7942_0013,SYNPCC7942_0013,,hypothetical protein,conserved hypothetical protein,,
13,SYNPCC7942_RS00070,Synpcc7942_0014,13067,13411,-,SYNPCC7942_RS00070,SYNPCC7942_0014,SYNPCC7942_0014,,hypothetical protein,conserved hypothetical protein,,
14,SYNPCC7942_RS00075,Synpcc7942_0015,13577,14248,-,SYNPCC7942_RS00075,phyA1,phyA1,,Fe2+-dependent dioxygenase,prolyl 4-hydroxylase,,K07336
15,SYNPCC7942_RS00080,,14425,14628,+,SYNPCC7942_RS00080,SYNPCC7942_RS00080,SYNPCC7942_RS00080,,hypothetical protein,SYNPCC7942_RS00080,,
16,SYNPCC7942_RS00085,Synpcc7942_0016,15020,15604,+,SYNPCC7942_RS00085,SYNPCC7942_0016,SYNPCC7942_0016,,hypothetical protein,conserved hypothetical protein,,
17,SYNPCC7942_RS00090,Synpcc7942_0017,15630,16193,-,SYNPCC7942_RS00090,eda,eda,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,2-dehydro-3-deoxyphosphogluconate aldolase,,K01625
18,SYNPCC7942_RS00095,Synpcc7942_0018,16206,18392,-,SYNPCC7942_RS00095,glyS,glyS,glyS,glycine--tRNA ligase subunit beta,"glycyl-tRNA synthetase, beta subunit",glycyl-tRNA synthetase subunit beta,K01879
19,SYNPCC7942_RS00100,Synpcc7942_0019,18615,20489,+,SYNPCC7942_RS00100,sir,sir,sir,sulfite reductase%2C ferredoxin dependent,"Sulfite reductase, ferredoxin dependent","Sulfite reductase, ferredoxin dependent",K00392
20,SYNPCC7942_RS00105,Synpcc7942_0020,20490,21092,+,SYNPCC7942_RS00105,SYNPCC7942_0020,SYNPCC7942_0020,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00105,
21,SYNPCC7942_RS00110,Synpcc7942_0021,21134,21874,-,SYNPCC7942_RS00110,cobK,cobK,cobK,cobalt-precorrin-6A reductase,precorrin-6x reductase,cobalt-precorrin-6x reductase,K05895
22,SYNPCC7942_RS00115,Synpcc7942_0022,21880,23049,-,SYNPCC7942_RS00115,SYNPCC7942_0022,SYNPCC7942_0022,,pentapeptide repeat-containing protein,conserved hypothetical protein,SYNPCC7942_RS00115,
23,SYNPCC7942_RS00120,Synpcc7942_0023,23057,24121,-,cax,cax,cax,,calcium/proton exchanger,calcium/proton exchanger,SYNPCC7942_RS00120,K07300
