,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,Synpcc7942_0001,BSU_00020,28.721,383,255,8,16,387,1,376,1.8199999999999996e-49,168.0,390,0.982051282051282,<=>
1,Synpcc7942_0003,BSU_06480,51.852,756,318,14,18,770,22,734,0.0,742.0,777,0.972972972972973,<=>
2,Synpcc7942_0004,BSU_06490,45.887,462,236,6,25,480,10,463,8.069999999999998e-151,436.0,493,0.9371196754563894,<=>
6,Synpcc7942_0009,BSU_29450,56.708999999999996,395,169,2,1,395,1,393,5.679999999999998e-161,455.0,400,0.9875,<=>
10,Synpcc7942_0012,BSU_40910,38.461999999999996,91,56,0,6,96,4,94,1.19e-21,79.0,107,0.8504672897196262,<=>
11,Synpcc7942_0017,BSU_22100,38.857,175,105,2,9,183,10,182,1.3899999999999997e-34,118.0,187,0.9358288770053476,<=>
12,Synpcc7942_0018,BSU_25260,36.238,723,409,10,4,725,6,677,1.3899999999999993e-154,461.0,728,0.9931318681318682,<=>
13,Synpcc7942_0019,BSU_33430,39.759,581,308,11,2,569,8,559,1.1599999999999996e-143,426.0,624,0.9310897435897436,<=>
14,Synpcc7942_0023,BSU_07920,40.936,342,191,4,15,350,13,349,2.1099999999999996e-72,226.0,354,0.9661016949152542,<=>
18,Synpcc7942_0026,BSU_02770,32.5,320,189,10,6,313,4,308,3.55e-35,127.0,325,0.9846153846153847,<=>
24,Synpcc7942_0027,BSU_30220,39.64,333,200,1,49,380,44,376,1.7099999999999998e-78,244.0,388,0.8582474226804123,<=>
27,Synpcc7942_0031,BSU_30230,38.724000000000004,439,248,11,3,424,9,443,8.309999999999999e-93,284.0,424,1.0353773584905661,<=>
35,Synpcc7942_0039,BSU_23860,59.873000000000005,471,186,3,1,471,1,468,0.0,592.0,471,1.0,<=>
40,Synpcc7942_0040,BSU_00780,31.092,119,82,0,1,119,1,119,8.790000000000001e-19,73.2,125,0.952,<=>
42,Synpcc7942_0041,BSU_36030,23.058000000000003,412,283,9,30,421,24,421,5.48e-08,51.6,434,0.9493087557603687,<=>
70,Synpcc7942_0062,BSU_07270,43.191,257,142,3,1,256,1,254,3.849999999999999e-73,221.0,257,1.0,<=>
76,Synpcc7942_0065,BSU_28870,48.765,162,83,0,19,180,8,169,7.52e-54,166.0,184,0.8804347826086957,<=>
161,Synpcc7942_0071,BSU_37890,40.827,387,201,8,24,396,16,388,3.599999999999999e-86,264.0,399,0.9699248120300752,<=>
167,Synpcc7942_0073,BSU_25160,27.679000000000002,336,181,13,64,394,10,288,4.1600000000000007e-17,78.2,398,0.8442211055276382,<=>
171,Synpcc7942_0076,BSU_23980,29.018,224,151,3,32,253,38,255,4.04e-34,120.0,253,0.8853754940711462,<=>
175,Synpcc7942_0078,BSU_31280,27.703000000000003,148,84,5,6,148,3,132,1.41e-14,63.2,149,0.9932885906040269,<=>
176,Synpcc7942_0080,BSU_14370,33.75,400,255,5,7,405,5,395,1.1399999999999998e-52,177.0,407,0.9828009828009828,<=>
179,Synpcc7942_0081,BSU_00030,40.678000000000004,59,35,0,1,59,5,63,4.7100000000000005e-09,44.7,69,0.855072463768116,<=>
180,Synpcc7942_0082,BSU_37230,35.727,557,347,3,34,580,14,569,2.8999999999999993e-120,364.0,582,0.9570446735395189,<=>
282,Synpcc7942_0093,BSU_00280,31.308000000000003,214,138,3,4,215,3,209,1.1499999999999998e-36,124.0,215,0.9953488372093023,<=>
313,Synpcc7942_0098,BSU_29180,48.966,580,289,4,8,581,2,580,0.0,531.0,594,0.9764309764309764,<=>
323,Synpcc7942_0106,BSU_25640,22.772,202,123,9,3,187,4,189,1.9199999999999998e-10,54.7,192,1.0520833333333333,<=>
328,Synpcc7942_0109,BSU_32990,35.714,140,90,0,27,166,13,152,1.46e-24,90.5,168,0.8333333333333334,<=>
333,Synpcc7942_0116,BSU_06170,28.354,328,208,8,4,317,2,316,1.3799999999999998e-26,103.0,324,1.0123456790123457,<=>
337,Synpcc7942_0117,BSU_20960,25.0,452,308,12,5,443,4,437,7.94e-38,139.0,443,1.020316027088036,<=>
338,Synpcc7942_0118,BSU_06690,53.83,483,212,2,11,493,3,474,0.0,525.0,494,0.9777327935222672,<=>
339,Synpcc7942_0120,BSU_13170,46.753,154,77,3,7,157,4,155,2.22e-44,140.0,161,0.9565217391304348,<=>
345,Synpcc7942_0125,BSU_34900,50.515,194,95,1,16,209,2,194,1.5299999999999997e-66,200.0,209,0.9282296650717703,<=>
346,Synpcc7942_0126,BSU_11720,50.391000000000005,256,122,2,2,255,3,255,3.3199999999999996e-87,257.0,258,0.9922480620155039,<=>
373,Synpcc7942_0137,BSU_10130,27.914,326,207,11,3,322,5,308,3.74e-32,120.0,387,0.8423772609819121,<=>
375,Synpcc7942_0139,BSU_28310,51.13,575,255,10,10,576,16,572,0.0,565.0,612,0.9395424836601307,<=>
382,Synpcc7942_0143,BSU_24040,46.541000000000004,318,167,3,7,321,7,324,1.6099999999999998e-95,283.0,326,0.9754601226993865,<=>
432,Synpcc7942_0152,BSU_15190,42.105,323,167,7,43,357,3,313,1.1099999999999999e-71,223.0,365,0.8849315068493151,<=>
443,Synpcc7942_0160,BSU_25290,45.515,301,155,3,13,309,4,299,9.999999999999997e-95,280.0,311,0.9678456591639871,<=>
458,Synpcc7942_0174,BSU_00360,43.382,272,144,3,9,273,17,285,5.71e-72,220.0,292,0.9315068493150684,<=>
543,Synpcc7942_0179,BSU_19040,50.476000000000006,105,52,0,12,116,5,109,6.100000000000001e-27,93.2,117,0.8974358974358975,<=>
546,Synpcc7942_0184,BSU_12840,33.945,327,189,9,24,347,16,318,6.14e-34,125.0,363,0.9008264462809917,<=>
547,Synpcc7942_0185,BSU_18410,25.865,549,347,15,1,503,43,577,2.29e-45,164.0,508,1.080708661417323,<=>
556,Synpcc7942_0189,BSU_06360,56.897,522,216,1,54,575,1,513,0.0,624.0,575,0.9078260869565218,<=>
563,Synpcc7942_0194,BSU_29090,35.766,959,518,21,8,953,7,880,5.749999999999998e-177,533.0,953,1.006295907660021,<=>
569,Synpcc7942_0198,BSU_32100,32.061,393,245,12,6,389,2,381,2.14e-44,157.0,478,0.8221757322175732,<=>
572,Synpcc7942_0203,BSU_23280,37.921,356,216,3,5,356,2,356,1.5499999999999996e-83,255.0,368,0.967391304347826,<=>
576,Synpcc7942_0209,BSU_28050,34.078,179,114,3,10,188,1,175,1.51e-24,92.4,208,0.8605769230769231,<=>
577,Synpcc7942_0212,BSU_22710,38.15,346,188,11,9,331,1,343,7.090000000000001e-57,187.0,362,0.9558011049723757,<=>
593,Synpcc7942_0227,BSU_00530,43.75,192,101,3,8,199,3,187,3.41e-57,176.0,208,0.9230769230769231,<=>
595,Synpcc7942_0232,BSU_22600,51.428999999999995,420,199,4,28,446,9,424,2.959999999999999e-147,423.0,448,0.9375,<=>
601,Synpcc7942_0241,BSU_06730,35.099000000000004,453,284,5,11,455,9,459,3.5899999999999986e-101,307.0,455,0.9956043956043956,<=>
604,Synpcc7942_0244,BSU_30940,45.063,790,419,7,49,836,21,797,0.0,693.0,844,0.9360189573459715,<=>
626,Synpcc7942_0249,BSU_27430,58.091,241,100,1,21,261,1,240,2.8099999999999994e-101,292.0,261,0.9233716475095786,<=>
717,Synpcc7942_0254,BSU_00070,49.405,840,386,8,1,835,1,806,0.0,823.0,856,0.9813084112149533,<=>
719,Synpcc7942_0256,BSU_10070,46.281000000000006,363,190,4,32,392,20,379,2.9599999999999995e-108,321.0,408,0.8897058823529411,<=>
724,Synpcc7942_0260,BSU_00860,62.068999999999996,812,296,8,1,810,2,803,0.0,993.0,824,0.9854368932038835,<=>
730,Synpcc7942_0262,BSU_23380,45.266000000000005,433,218,7,35,456,6,430,3.339999999999999e-127,373.0,464,0.9331896551724138,<=>
733,Synpcc7942_0264,BSU_16530,52.227,247,117,1,2,248,13,258,3.45e-92,269.0,251,0.9840637450199203,<=>
735,Synpcc7942_0267,BSU_41000,35.983000000000004,239,147,3,7,241,1,237,1.3699999999999998e-49,159.0,242,0.987603305785124,<=>
746,Synpcc7942_0272,BSU_28140,30.651,261,152,11,5,253,6,249,2.7200000000000003e-17,76.3,264,0.9886363636363636,<=>
748,Synpcc7942_0273,BSU_29060,42.553000000000004,188,105,2,14,199,5,191,1.57e-43,141.0,209,0.8995215311004785,<=>
749,Synpcc7942_0276,BSU_28680,38.986999999999995,454,275,2,16,468,6,458,1.13e-115,346.0,490,0.926530612244898,<=>
