Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Object_ID	Accession-2
SYNPCC7942_1171		1204598	1206109	conserved hypothetical protein	lnt // SYNPCC7942_1171	SYNPCC7942_1171	SYNPCC7942_RS06005
SYNPCC7942_1076		1086581	1086997	osmotic signal transduction related protein	SYNPCC7942_1076	SYNPCC7942_1076	SYNPCC7942_RS05520
SYNPCC7942_2133		2212970	2213476	conserved hypothetical protein	SYNPCC7942_2133	SYNPCC7942_2133	SYNPCC7942_RS10820
SYNPCC7942_0081		78987	79196	RNA-binding S4	SYNPCC7942_0081	SYNPCC7942_0081	SYNPCC7942_RS00400
rpsO		2369596	2369904	30S ribosomal subunit protein S15	SYNPCC7942_2300 // rpsO // SYNPCC7942_2298	SYNPCC7942_2299	SYNPCC7942_RS11685
SYNPCC7942_0274		269329	269667	conserved hypothetical protein	SYNPCC7942_0275 // SYNPCC7942_0274 // coaE	SYNPCC7942_0274	SYNPCC7942_RS01395
SYNPCC7942_1643		1710353	1711873	diguanylate cyclase (GGDEF domain) with GAF sensor	SYNPCC7942_1643	SYNPCC7942_1643	SYNPCC7942_RS08380
SYNPCC7942_1146		1171215	1171481	conserved hypothetical protein	SYNPCC7942_1146	SYNPCC7942_1146	SYNPCC7942_RS05870
rplV		2296333	2296686	50S ribosomal subunit protein L22	rplD // rplW // rplB // rpsS // rplV // rpsC // rplP // rpmC // rpsQ // rplN // rplX	SYNPCC7942_2227	SYNPCC7942_RS11310
pdxA		797288	798349	4-hydroxythreonine-4-phosphate dehydrogenase	SYNPCC7942_0807 // SYNPCC7942_0806 // SYNPCC7942_0805 // pdxA	SYNPCC7942_0804	SYNPCC7942_RS04160
SYNPCC7942_2068		2144549	2145103	conserved hypothetical protein	pilT1 // pilC // SYNPCC7942_2068	SYNPCC7942_2068	SYNPCC7942_RS10485
dprA		694072	695280	DNA processing protein DprA, putative	SYNPCC7942_0705 // cat // dprA // SYNPCC7942_0702 // SYNPCC7942_0701	SYNPCC7942_0703	SYNPCC7942_RS03605
SYNPCC7942_0228		225284	225544	conserved hypothetical protein	SYNPCC7942_0228 // pth // tatA	SYNPCC7942_0228	SYNPCC7942_RS01160
cpcC2		1062357	1063226	phycobilisome rod linker polypeptide	cpcC2	SYNPCC7942_1050	SYNPCC7942_RS05385
rpmG		1140801	1140995	50S ribosomal subunit protein L33	rpmG	SYNPCC7942_1122	
SYNPCC7942_1102		1119830	1120258	conserved hypothetical protein	SYNPCC7942_1102 // SYNPCC7942_1101	SYNPCC7942_1102	SYNPCC7942_RS05650
SYNPCC7942_0057		59072	60304	putative C-3 methyl transferase	SYNPCC7942_0059 // rfbC1 // SYNPCC7942_0057 // rfbE // SYNPCC7942_0055 // SYNPCC7942_0054	SYNPCC7942_0057	SYNPCC7942_RS00285
SYNPCC7942_2031		2100423	2101004	conserved hypothetical protein	SYNPCC7942_2031	SYNPCC7942_2031	SYNPCC7942_RS10305
rpmH		1682665	1682802	50S ribosomal subunit protein L34	SYNPCC7942_1616 // rnpA // rpmH	SYNPCC7942_1614	SYNPCC7942_RS08235
hisB		124738	125367	Imidazoleglycerol-phosphate dehydratase	fabI // hisB	SYNPCC7942_0125	SYNPCC7942_RS00635
SYNPCC7942_0195		195630	196058	conserved hypothetical protein	SYNPCC7942_0195	SYNPCC7942_0195	SYNPCC7942_RS00990
rpsM		2288243	2288620	30S ribosomal subunit protein S13	rpsM	SYNPCC7942_2211	SYNPCC7942_RS11235
SYNPCC7942_1067		1078734	1079282	conserved hypothetical protein	SYNPCC7942_1067 // SYNPCC7942_1066 // SYNPCC7942_1065 // hsdS	SYNPCC7942_1067	SYNPCC7942_RS05475
hemF		669347	670300	Coproporphyrinogen oxidase	hemF	SYNPCC7942_0674	SYNPCC7942_RS03450
mrr		1758418	1759329	mrr restriction system protein	mrr	SYNPCC7942_1692	SYNPCC7942_RS08615
SYNPCC7942_1990		2060865	2061527	conserved hypothetical protein	SYNPCC7942_1990	SYNPCC7942_1990	SYNPCC7942_RS10090
malQ		1033300	1034799	4-alpha-glucanotransferase	menE // menC // malQ	SYNPCC7942_1019	SYNPCC7942_RS05240
SYNPCC7942_0161		162764	163306	conserved hypothetical protein	SYNPCC7942_0161	SYNPCC7942_0161	SYNPCC7942_RS00815
SYNPCC7942_0028		29347	30015	conserved hypothetical protein	bioA // bioD // bioC // SYNPCC7942_0028 // bioF	SYNPCC7942_0028	SYNPCC7942_RS00145
SYNPCC7942_2270		2337973	2339007	glucanase	folK // nudF // SYNPCC7942_2270 // SYNPCC7942_2269 // cobU	SYNPCC7942_2270	SYNPCC7942_RS11535
SYNPCC7942_1028		1042384	1043340	conserved hypothetical protein	SYNPCC7942_1028	SYNPCC7942_1028	SYNPCC7942_RS05280
rpsA2		1658135	1659022	30S ribosomal subunit protein S1	rpsA2 // SYNPCC7942_1590 // pmbA2	SYNPCC7942_1591	SYNPCC7942_RS08125
SYNPCC7942_0982		991553	992167	conserved hypothetical protein	SYNPCC7942_0985 // recO // deoC // SYNPCC7942_0982	SYNPCC7942_0982	SYNPCC7942_RS05045
msrB2		2267935	2268357	Methionine sulfoxide reductase B	msrB2	SYNPCC7942_2190	SYNPCC7942_RS11125
SYNPCC7942_0779		770131	772593	metal dependent phosphohydrolase	SYNPCC7942_0779	SYNPCC7942_0779	SYNPCC7942_RS04040
narM		940410	940925	conserved hypothetical protein	narM	SYNPCC7942_0933	SYNPCC7942_RS04800
hemL		639397	640758	glutamate-1-semialdehyde-2,1-aminomutase	SYNPCC7942_0646 // hemL	SYNPCC7942_0645	SYNPCC7942_RS03310
SYNPCC7942_1946		2021493	2021972	conserved hypothetical protein	SYNPCC7942_1946	SYNPCC7942_1946	SYNPCC7942_RS09875
ftsH3		1005621	1007519	ATP-dependent metalloprotease FtsH	ftsH3	SYNPCC7942_0998	SYNPCC7942_RS05125
menG		1116261	1116962	2-phytyl-1,4-naphtoquinone methyltransferase	menG // SYNPCC7942_1098	SYNPCC7942_1099	SYNPCC7942_RS05635
SYNPCC7942_0895		905485	906657	conserved hypothetical protein	SYNPCC7942_0895	SYNPCC7942_0895	SYNPCC7942_RS04610
anL27		44507	44749	hypothetical protein		G490-5	
SYNPCC7942_1895		1967770	1968582	conserved hypothetical protein	SYNPCC7942_1895	SYNPCC7942_1895	SYNPCC7942_RS09610
SYNPCC7942_1571		1630063	1630872	MIP family channel proteins	SYNPCC7942_1571	SYNPCC7942_1571	SYNPCC7942_RS08025
ndbA		101259	102593	type 2 NADH dehydrogenase NdbA monomer	ndbA	SYNPCC7942_0101	SYNPCC7942_RS00515
SYNPCC7942_0862		865596	865973	conserved hypothetical protein	SYNPCC7942_0862	SYNPCC7942_0862	SYNPCC7942_RS04445
SYNPCC7942_2150		2232979	2234022	probable hydrolase	SYNPCC7942_2150	SYNPCC7942_2150	SYNPCC7942_RS10925
SYNPCC7942_1844		1911034	1911558	conserved hypothetical protein	SYNPCC7942_1844 // SYNPCC7942_1843	SYNPCC7942_1844	SYNPCC7942_RS09355
SYNPCC7942_0625		616419	618185	Single-stranded nucleic acid binding protein R3H	SYNPCC7942_0625 // ldpA // trxB	SYNPCC7942_0625	SYNPCC7942_RS03205
SYNPCC7942_1665		1733989	1735104	probable oxidoreductase	SYNPCC7942_1665 // SYNPCC7942_1664	SYNPCC7942_1665	SYNPCC7942_RS08490
SYNPCC7942_0825		819956	820654	conserved hypothetical protein	SYNPCC7942_0825	SYNPCC7942_0825	SYNPCC7942_RS04265
SYNPCC7942_0972		979369	979761	YjgF-like protein	SYNPCC7942_0972	SYNPCC7942_0972	SYNPCC7942_RS04995
SYNPCC7942_1818		1891891	1892208	conserved hypothetical protein	SYNPCC7942_1818	SYNPCC7942_1818	SYNPCC7942_RS09230
SYNPCC7942_1543		1600652	1600777	putative ribonuclease II	SYNPCC7942_1545 // SYNPCC7942_1544 // SYNPCC7942_1543	SYNPCC7942_1543	
proA1		2308253	2309497	Glutamate-5-semialdehyde dehydrogenase	proA1 // SYNPCC7942_2242	SYNPCC7942_2243	SYNPCC7942_RS11385
SYNPCC7942_0786		782076	782942	conserved hypothetical protein	SYNPCC7942_0786	SYNPCC7942_0786	SYNPCC7942_RS04070
trpD		2203801	2204847	anthranilate phosphoribosyltransferase	trpD	SYNPCC7942_2123	SYNPCC7942_RS10765
SYNPCC7942_1773		1839008	1839325	hypothetical protein	SYNPCC7942_1773 // rpsP	SYNPCC7942_1773	SYNPCC7942_RS09010
SYNPCC7942_0598		585701	587473	Peptidoglycan-binding LysM	SYNPCC7942_0598	SYNPCC7942_0598	SYNPCC7942_RS03065
SYNPCC7942_0733		727691	729154	phage portal protein, lambda	SYNPCC7942_0734 // SYNPCC7942_0733 // SYNPCC7942_0732	SYNPCC7942_0733	SYNPCC7942_RS03790
SYNPCC7942_0757		751277	751957	hypothetical protein	SYNPCC7942_0758 // SYNPCC7942_0757	SYNPCC7942_0757	
SYNPCC7942_0948		956719	957546	sugar ABC transporter, permease subunit	SYNPCC7942_0950 // SYNPCC7942_0949 // SYNPCC7942_0948 // SYNPCC7942_0947	SYNPCC7942_0948	SYNPCC7942_RS04875
SYNPCC7942_1747		1817778	1818962	conserved hypothetical protein	SYNPCC7942_1750 // petF4 // SYNPCC7942_1748 // SYNPCC7942_1747	SYNPCC7942_1747	SYNPCC7942_RS08890
rpsT		1572486	1572782	30S ribosomal subunit protein S20	rpsT	SYNPCC7942_1520	SYNPCC7942_RS07770
pdhC		1079478	1080773	pyruvate dehydrogenase complex E2 component monomer	pdhC	SYNPCC7942_1068	SYNPCC7942_RS05480
anL25		43298	43888	transcriptional regulator	anL26 // anL25	SYNPCC7942_B2650	SYNPCC7942_RS13575
rmlA		2182941	2183825	glucose-1-phosphate thymidylyltransferase	SYNPCC7942_2102 // rmlA // rfbB2 // rfbD // rfbC2	SYNPCC7942_2101	SYNPCC7942_RS10650
SYNPCC7942_0732		727482	727691	conserved hypothetical protein	SYNPCC7942_0734 // SYNPCC7942_0733 // SYNPCC7942_0732	SYNPCC7942_0732	SYNPCC7942_RS03785
SYNPCC7942_0571		553324	554697	sugar (Glycoside-Pentoside-Hexuronide) transporter	SYNPCC7942_0572 // SYNPCC7942_0571	SYNPCC7942_0571	SYNPCC7942_RS02905
SYNPCC7942_0077		75928	76617	transcriptional regulator, XRE family	SYNPCC7942_0077	SYNPCC7942_0077	SYNPCC7942_RS00380
SYNPCC7942_1691		1757155	1758315	hypothetical protein	SYNPCC7942_1691 // SYNPCC7942_1690 // rdhA	SYNPCC7942_1691	SYNPCC7942_RS08610
purC		934021	934746	phosphoribosylaminoimidazole-succinocarboxamide synthase	purC // SYNPCC7942_0926	SYNPCC7942_0927	SYNPCC7942_RS04770
srpF		17149	17676	conserved hypothetical protein	srpM // srpL // srpK // srpJ // srpF	SYNPCC7942_B2625	SYNPCC7942_RS13435
petF3		1548631	1548930	Ferredoxin 1	petF3	SYNPCC7942_1499	SYNPCC7942_RS07660
somB(2)		1702823	1704469	probable porin; major outer membrane protein	somB(2)	SYNPCC7942_1635	SYNPCC7942_RS08340
ubiB1		698708	700459	conserved hypothetical protein	ubiB1	SYNPCC7942_0708	SYNPCC7942_RS03630
SYNPCC7942_2081		2160557	2161507	probable glycosyl transferase	SYNPCC7942_2081	SYNPCC7942_2081	SYNPCC7942_RS10550
SYNPCC7942_1655		1725260	1725829	hypothetical protein	SYNPCC7942_1655 // SYNPCC7942_1654	SYNPCC7942_1655	SYNPCC7942_RS08440
tktA		521502	523508	transketolase	tktA	SYNPCC7942_0538	SYNPCC7942_RS02735
rpsQ		2294657	2294905	30S ribosomal subunit protein S17	rplD // rplW // rplB // rpsS // rplV // rpsC // rplP // rpmC // rpsQ // rplN // rplX	SYNPCC7942_2223	SYNPCC7942_RS11290
SYNPCC7942_2587		2670866	2671393	conserved hypothetical protein	ubiD // SYNPCC7942_2587	SYNPCC7942_2587	SYNPCC7942_RS13175
mnhB2		1522138	1522719	putative multicomponent Na+:H+ antiporter subunit B	mnhC // mnhD // SYNPCC7942_1472 // SYNPCC7942_1471 // SYNPCC7942_1470 // mnhB2 // mnhB1	SYNPCC7942_1469	SYNPCC7942_RS07515
SYNPCC7942_0668		664306	664446	conserved hypothetical protein	SYNPCC7942_0668	SYNPCC7942_0668	
ylmE		2137504	2138169	Protein of unknown function UPF0001	pipX // ylmE	SYNPCC7942_2060	SYNPCC7942_RS10450
psbT		689050	689145	PsbT	psbT	SYNPCC7942_0696	SYNPCC7942_RS03570
SYNPCC7942_1623		1692265	1692957	conserved hypothetical protein	SYNPCC7942_1623	SYNPCC7942_1623	SYNPCC7942_RS08280
mtnX		495930	496580	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	ccsA // mtnX	SYNPCC7942_0510	SYNPCC7942_RS02590
SYNPCC7942_2532		2612990	2613889	conserved hypothetical protein	SYNPCC7942_2532	SYNPCC7942_2532	SYNPCC7942_RS12855
srpK		18745	19557	sulfonate ABC transporter, ATP-binding protein, putative	srpM // srpL // srpK // srpJ // srpF	SYNPCC7942_B2628	SYNPCC7942_RS13445
lytB		1057543	1059114	amidase enhancer-like	lytB	SYNPCC7942_1045	SYNPCC7942_RS05360
SYNPCC7942_0621		610715	611893	conserved hypothetical protein	SYNPCC7942_0622 // SYNPCC7942_0621	SYNPCC7942_0621	SYNPCC7942_RS03185
